Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Оловяннинская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25863	146	540	464	153	378	279	346	89	56	161	535	76	436	117	585	1448	485	1169	192	263	332	775	454	846	256	352	1577	1771	2044	2416	1971	781	1495	936	909	1030									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25980	145	535	465	155	385	280	355	95	55	160	540	75	445	115	595	1450	495	1175	195	265	325	775	450	840	265	370	1630	1810	2045	2430	1935	770	1490	930	915	1020									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	44	0	0	0	0	0	0	4	0	0	0	0	0	0	0	15	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9888	67	183	165	70	160	111	135	36	44	111	173	42	138	67	132	417	196	388	91	85	190	303	240	408	92	137	478	555	901	1095	765	274	598	350	340	351									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1141	8	26	47	10	10	32	26	8	0	20	49	5	31	24	64	23	28	12	10	10	16	60	4	48	25	46	126	19	38	82	63	24	29	30	49	39									
6	Число погашенных избирательных бюллетеней	14907	70	326	253	75	215	137	190	51	11	29	318	28	276	24	384	1010	271	775	94	170	94	412	206	384	148	187	1026	1236	1106	1253	1107	472	863	550	526	630									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1185	8	26	47	10	10	32	30	8	0	20	49	5	31	24	79	23	28	12	10	10	41	60	4	48	25	46	126	19	38	82	63	24	29	30	49	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9888	67	183	165	70	160	111	135	36	44	111	173	42	138	67	132	417	196	388	91	85	190	303	240	408	92	137	478	555	901	1095	765	274	598	350	340	351									
9	Число недействительных избирательных бюллетеней	280	2	9	8	0	4	1	2	0	2	2	6	0	7	0	1	7	3	12	10	0	1	4	3	10	0	3	32	27	10	44	19	6	15	10	9	11									
10	Число действительных избирательных бюллетеней	10793	73	200	204	80	166	142	163	44	42	129	216	47	162	91	210	433	221	388	91	95	230	359	241	446	117	180	572	547	929	1133	809	292	612	370	380	379									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	366	3	7	6	3	6	5	5	2	2	2	7	2	6	2	8	20	6	15	4	4	6	10	6	11	4	5	22	25	28	35	28	10	21	13	13	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	127	0	5	2	0	6	0	0	0	0	2	0	0	0	0	2	3	5	5	0	1	6	1	1	0	0	0	4	11	17	17	19	1	5	7	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	1	1	3	0	0	0	1	1	0	0	5	0	1	1	4	2	3	2	0	0	12	1	0	1	0	2	1	3	4	4	8	0	0	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	239	3	2	4	3	0	5	5	2	2	0	7	2	6	2	6	17	1	10	4	3	0	9	5	11	4	5	18	14	11	18	9	9	16	6	8	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	4	4	1	2	8	5	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	131	2	3	0	0	0	2	0	0	0	1	3	1	0	0	2	3	1	4	0	1	2	9	1	2	0	1	15	20	8	20	9	1	7	4	5	4									
