Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Каменская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430					
1	"Число избирателей, внесенных в список"	22477	1250	1904	501	1731	456	453	992	208	152	347	1000	147	315	640	131	193	990	2005	276	372	1065	1400	352	1757	833	175	125	556	856	682	335	278					
2	Число полученных избирательных бюллетеней	20205	1130	1725	445	1530	410	400	900	197	154	300	900	147	280	565	131	191	891	1785	240	325	950	1250	310	1600	750	176	123	500	750	615	300	235					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11234	649	1088	259	873	234	201	512	114	97	129	533	103	235	373	78	91	496	972	92	161	460	743	162	795	376	101	63	210	429	352	153	100					
5	"Число избирательных бюллетеней, выданных вне помещения"	2007	16	26	31	88	46	112	116	30	12	121	107	11	13	25	15	26	73	162	68	53	123	38	31	98	75	19	25	136	102	57	31	121					
6	Число погашенных избирательных бюллетеней	6964	465	611	155	569	130	87	272	53	45	50	260	33	32	167	38	74	322	651	80	111	367	469	117	707	299	56	35	154	219	206	116	14					
7	Число избирательных бюллетеней в переносных ящиках	2007	16	26	31	88	46	112	116	30	12	121	107	11	13	25	15	26	73	162	68	53	123	38	31	98	75	19	25	136	102	57	31	121					
8	Число бюллетеней в стационарных ящиках для голосования	11234	649	1088	259	873	234	201	512	114	97	129	533	103	235	373	78	91	496	972	92	161	460	743	162	795	376	101	63	210	429	352	153	100					
9	Число недействительных избирательных бюллетеней	179	6	14	9	14	2	0	7	0	3	6	15	0	4	7	0	4	15	16	5	3	6	2	2	20	1	0	0	6	1	9	2	0					
10	Число действительных избирательных бюллетеней	13062	659	1100	281	947	278	313	621	144	106	244	625	114	244	391	93	113	554	1118	155	211	577	779	191	873	450	120	88	340	530	400	182	221					
11	Число полученных открепительных  удостоверений	500	20	50	10	50	10	10	20	5	5	10	30	5	10	20	5	5	20	50	5	5	20	20	5	25	20	5	5	10	20	15	5	5					
12	Число выданных открепительных удостоверений	82	6	8	0	7	0	4	13	0	1	0	5	0	2	2	0	0	6	1	0	0	4	3	0	16	0	0	0	1	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	120	3	5	2	10	0	9	2	6	2	1	7	3	2	2	1	0	3	13	3	1	4	5	4	0	3	0	2	5	8	5	4	5					
14	Число неиспользованных открепительных удостоверений	418	14	42	10	43	10	6	7	5	4	10	25	5	8	18	5	5	14	49	5	5	16	17	5	9	20	5	5	9	20	12	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	246	12	21	7	12	6	5	10	2	0	3	14	2	1	6	0	1	11	35	4	4	7	18	3	13	4	6	3	4	20	5	3	4					
		1.86%	1.80%	1.89%	2.41%	1.25%	2.14%	1.60%	1.59%	1.39%	0.00%	1.20%	2.19%	1.75%	0.40%	1.51%	0.00%	0.85%	1.93%	3.09%	2.50%	1.87%	1.20%	2.30%	1.55%	1.46%	0.89%	5.00%	3.41%	1.16%	3.77%	1.22%	1.63%	1.81%					
19	. Малышкин Олег Александрович	327	14	29	6	20	8	8	17	7	1	6	12	5	9	6	0	3	8	35	3	6	19	20	4	22	7	0	4	9	15	9	6	9					
		2.47%	2.11%	2.60%	2.07%	2.08%	2.86%	2.56%	2.71%	4.86%	0.92%	2.40%	1.88%	4.39%	3.63%	1.51%	0.00%	2.56%	1.41%	3.09%	1.88%	2.80%	3.26%	2.56%	2.07%	2.46%	1.55%	0.00%	4.55%	2.60%	2.82%	2.20%	3.26%	4.07%					
20	. Миронов Сергей Михайлович	104	6	12	0	5	1	1	1	1	3	2	6	0	1	7	0	1	4	14	1	3	1	7	1	13	3	1	2	0	4	2	1	0					
		0.79%	0.90%	1.08%	0.00%	0.52%	0.36%	0.32%	0.16%	0.69%	2.75%	0.80%	0.94%	0.00%	0.40%	1.76%	0.00%	0.85%	0.70%	1.23%	0.62%	1.40%	0.17%	0.90%	0.52%	1.46%	0.67%	0.83%	2.27%	0.00%	0.75%	0.49%	0.54%	0.00%					
21	. Путин Владимир Владимирович	10476	527	857	227	782	230	253	501	117	94	222	524	92	214	325	87	100	427	827	125	182	461	614	168	639	381	103	72	293	402	310	146	174					
		79.12%	79.25%	76.93%	78.28%	81.37%	82.14%	80.83%	79.78%	81.25%	86.24%	88.80%	81.88%	80.70%	86.29%	81.66%	93.55%	85.47%	75.04%	72.93%	78.12%	85.05%	79.07%	78.62%	87.05%	71.56%	84.48%	85.83%	81.82%	84.68%	75.71%	75.79%	79.35%	78.73%					
22	. Хакамада Ирина Муцуовна	447	32	50	17	32	3	12	10	3	2	2	19	2	3	12	1	1	24	59	8	0	27	38	2	34	13	2	0	11	7	11	5	5					
		3.38%	4.81%	4.49%	5.86%	3.33%	1.07%	3.83%	1.59%	2.08%	1.83%	0.80%	2.97%	1.75%	1.21%	3.02%	1.08%	0.85%	4.22%	5.20%	5.00%	0.00%	4.63%	4.87%	1.04%	3.81%	2.88%	1.67%	0.00%	3.18%	1.32%	2.69%	2.72%	2.26%					
23	. Харитонов Николай Михайлович	1192	45	91	18	82	22	32	71	10	4	8	41	9	14	31	4	4	69	126	13	13	44	65	11	118	28	4	5	22	79	61	20	28					
		9.00%	6.77%	8.17%	6.21%	8.53%	7.86%	10.22%	11.31%	6.94%	3.67%	3.20%	6.41%	7.89%	5.65%	7.79%	4.30%	3.42%	12.13%	11.11%	8.12%	6.07%	7.55%	8.32%	5.70%	13.21%	6.21%	3.33%	5.68%	6.36%	14.88%	14.91%	10.87%	12.67%					
																																							
24	Против всех	270	23	40	6	14	8	2	11	4	2	1	9	4	2	4	1	3	11	22	1	3	18	17	2	34	14	4	2	1	3	2	1	1					
		2.04%	3.46%	3.59%	2.07%	1.46%	2.86%	0.64%	1.75%	2.78%	1.83%	0.40%	1.41%	3.51%	0.81%	1.01%	1.08%	2.56%	1.93%	1.94%	0.62%	1.40%	3.09%	2.18%	1.04%	3.81%	3.10%	3.33%	2.27%	0.29%	0.56%	0.49%	0.54%	0.45%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
