Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Хунзахская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19196	2579	232	232	269	155	179	137	640	857	99	664	437	195	413	184	487	390	256	440	498	194	274	530	283	86	385	135	221	284	453	140	58	339	230	196	167	129	220	305	190	81	284	280	856	40	737	79	924	67	334	330	253	218	71	272	208									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18161	2509	227	228	258	152	161	134	606	822	93	538	401	193	403	175	479	365	239	440	466	175	234	494	254	85	365	128	221	279	401	130	49	320	225	174	164	117	217	267	167	71	274	278	802	38	713	64	885	67	334	319	248	190	68	261	194									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15003	1238	208	201	159	79	135	108	568	766	90	501	371	173	346	165	465	365	229	247	431	165	215	490	214	72	187	81	221	229	401	128	45	251	220	96	154	104	144	227	163	62	264	266	742	33	527	57	845	61	320	275	232	171	53	249	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	246	130	0	0	0	10	5	0	9	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	9	0	5	0	0	0	0	4	17	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	16	0	2	0	0									
6	Число погашенных избирательных бюллетеней	2912	1141	19	27	99	63	21	26	29	56	3	37	30	9	57	10	14	0	10	183	35	10	19	4	40	13	178	38	0	45	0	2	4	69	1	61	10	13	73	37	4	9	10	12	60	5	186	7	40	6	14	29	0	19	13	12	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	246	130	0	0	0	10	5	0	9	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	9	0	5	0	0	0	0	4	17	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	16	0	2	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15003	1238	208	201	159	79	135	108	568	766	90	501	371	173	346	165	465	365	229	247	431	165	215	490	214	72	187	81	221	229	401	128	45	251	220	96	154	104	144	227	163	62	264	266	742	33	527	57	845	61	320	275	232	171	53	249	194									
9	Число недействительных избирательных бюллетеней	379	46	61	0	0	0	0	0	52	0	0	105	0	0	0	6	0	11	0	10	0	0	0	8	5	0	8	3	0	0	9	1	0	0	1	2	0	0	0	50	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	14870	1322	147	201	159	89	140	108	525	766	90	396	371	184	346	159	465	354	229	247	431	165	215	482	209	72	179	87	221	234	392	127	45	251	223	111	154	104	144	180	163	62	263	266	742	33	527	57	845	61	320	290	248	171	55	249	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	124	10	2	2	2	2	2	2	2	2	1	3	2	3	2	2	3	2	2	2	3	2	2	3	2	2	3	2	2	2	3	2	1	2	2	2	2	2	2	2	2	1	2	2	3	1	3	1	3	2	2	2	2	2	1	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	124	10	2	2	2	2	2	2	2	2	1	3	2	3	2	2	3	2	2	2	3	2	2	3	2	2	3	2	2	2	3	2	1	2	2	2	2	2	2	2	2	1	2	2	3	1	3	1	3	2	2	2	2	2	1	2	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	13	0	5	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.20%	0.95%	0.00%	2.49%	0.00%	0.00%	0.71%	0.00%	0.52%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.14%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	137	25	0	1	4	0	4	7	14	0	0	2	0	0	20	0	0	0	0	12	0	0	0	0	7	0	4	1	1	2	0	1	0	0	3	2	1	1	2	1	2	0	2	0	1	0	0	0	0	4	0	10	0	0	0	0	3									
		0.90%	1.83%	0.00%	0.50%	2.52%	0.00%	2.86%	6.48%	2.43%	0.00%	0.00%	0.40%	0.00%	0.00%	5.78%	0.00%	0.00%	0.00%	0.00%	4.67%	0.00%	0.00%	0.00%	0.00%	3.27%	0.00%	2.14%	1.11%	0.45%	0.85%	0.00%	0.78%	0.00%	0.00%	1.34%	1.77%	0.65%	0.96%	1.39%	0.43%	1.23%	0.00%	0.76%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	6.56%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	1.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	50	15	0	0	0	2	0	0	13	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0									
		0.33%	1.10%	0.00%	0.00%	0.00%	2.25%	0.00%	0.00%	2.25%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.67%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.45%	0.88%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13279	800	99	177	142	74	128	101	376	712	88	334	365	165	311	152	453	354	229	207	431	165	215	435	148	67	141	61	212	202	377	111	41	200	215	93	134	102	131	166	152	62	249	266	719	33	508	33	845	55	300	258	236	171	51	249	178									
		87.08%	58.48%	47.60%	88.06%	89.31%	83.15%	91.43%	93.52%	65.16%	92.95%	97.78%	66.67%	98.38%	89.67%	89.88%	92.12%	97.42%	96.99%	100.00%	80.54%	100.00%	100.00%	100.00%	88.78%	69.16%	93.06%	75.40%	67.78%	95.93%	86.32%	94.01%	86.72%	91.11%	79.68%	95.98%	82.30%	87.01%	98.08%	90.97%	72.17%	93.25%	100.00%	94.32%	100.00%	96.90%	100.00%	96.39%	57.89%	100.00%	90.16%	93.75%	88.97%	95.16%	100.00%	92.73%	100.00%	91.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	26	3	3	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2									
		0.31%	1.90%	1.44%	1.49%	0.00%	1.12%	0.00%	0.00%	0.69%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.43%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	1.03%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	1									
		0.11%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	183	36	3	1	0	1	2	0	33	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	20	6	1	0	2	0	0	0	10	17	0	8	7	5	0	0	0	0	0	0	11	0	0	0	5	0	0	1	0	0									
		1.20%	2.63%	1.44%	0.50%	0.00%	1.12%	1.43%	0.00%	5.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.72%	0.00%	0.00%	0.00%	0.00%	3.27%	0.00%	0.00%	22.22%	2.71%	0.43%	0.00%	1.56%	0.00%	0.00%	0.00%	8.85%	11.04%	0.00%	5.56%	3.04%	3.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	19.30%	0.00%	0.00%	0.00%	1.72%	0.00%	0.00%	1.82%	0.00%	0.00%									
