Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Лебяжьевская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605					
1	"Число избирателей, внесенных в список избирателей"	14298	78	347	782	523	975	1049	818	647	704	428	140	616	193	293	675	167	37	268	92	484	128	54	312	683	280	157	101	50	366	320	425	235	141	243	59	58	367	138	62	359	402	42					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14725	85	355	790	540	990	1060	845	645	700	435	160	635	225	305	685	195	34	300	107	510	128	57	315	715	285	165	108	61	370	325	430	250	145	260	65	60	370	142	58	365	405	45					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7552	70	227	392	219	434	524	353	332	348	252	81	290	135	202	289	147	28	202	72	244	79	44	136	295	194	114	77	39	180	152	198	118	78	140	46	32	194	114	49	209	190	33					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	966	8	18	50	38	22	29	18	15	34	38	30	36	12	24	85	15	4	22	3	44	11	5	15	77	13	8	3	3	60	61	22	46	4	16	5	0	11	8	2	20	29	2					
6	Число погашенных избирательных бюллетеней	6207	7	110	348	283	534	507	474	298	318	145	49	309	78	79	311	33	2	76	32	222	38	8	164	343	78	43	28	19	130	112	210	86	63	104	14	28	165	20	7	136	186	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	966	8	18	50	38	22	29	18	15	34	38	30	36	12	24	85	15	4	22	3	44	11	5	15	77	13	8	3	3	60	61	22	46	4	16	5	0	11	8	2	20	29	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7552	70	227	392	219	434	524	353	332	348	252	81	290	135	202	289	147	28	202	72	244	79	44	136	295	194	114	77	39	180	152	198	118	78	140	46	32	194	114	49	209	190	33					
9	Число недействительных избирательных бюллетеней	120	0	3	6	4	1	11	12	5	2	4	0	5	1	0	4	2	0	8	4	11	5	0	4	4	0	1	1	0	3	0	4	1	2	2	0	1	2	0	1	5	1	0					
10	Число действительных избирательных бюллетеней	8398	78	242	436	253	455	542	359	342	380	286	111	321	146	226	370	160	32	216	71	277	85	49	147	368	207	121	79	42	237	213	216	163	80	154	51	31	203	122	50	224	218	35					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	474	0	7	8	5	9	18	15	13	17	20	20	7	25	15	10	30	1	31	21	28	8	4	8	25	2	10	7	11	10	6	10	20	5	15	8	2	5	3	4	6	4	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	372	0	7	6	1	6	14	13	8	14	15	18	0	25	15	3	30	0	31	21	28	1	4	0	25	1	5	7	11	10	6	0	12	0	14	8	2	1	2	3	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	4	7	3	1	6	8	3	2	3	1	1	3	3	2	1	2	1	7	2	3	1	1	1	3	0	2	2	0	3	3	1	2	2	2	1	2	5	0	1	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	102	0	0	2	4	3	4	2	5	3	5	2	7	0	0	7	0	1	0	0	0	7	0	8	0	1	5	0	0	0	0	10	8	5	1	0	0	4	1	1	4	1	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	1	2	0	0	1	1	0	0	0	0	1	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	991	4	21	53	37	57	71	39	36	47	33	12	44	9	20	43	9	3	29	9	36	9	8	14	58	20	15	7	7	31	26	29	17	12	21	11	6	34	14	2	21	17	0					
		11.63%	5.13%	8.57%	11.99%	14.40%	12.50%	12.84%	10.51%	10.37%	12.30%	11.38%	10.81%	13.50%	6.12%	8.85%	11.50%	5.56%	9.38%	12.95%	12.00%	12.50%	10.00%	16.33%	9.27%	15.59%	9.66%	12.30%	8.75%	16.67%	12.92%	12.21%	13.18%	10.37%	14.63%	13.46%	21.57%	18.75%	16.59%	11.48%	3.92%	9.17%	7.76%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1443	10	49	83	47	88	96	75	63	48	47	18	62	18	35	79	21	2	15	17	33	8	1	13	68	16	16	20	7	64	42	48	28	12	13	11	3	37	20	13	33	49	15					
		16.94%	12.82%	20.00%	18.78%	18.29%	19.30%	17.36%	20.22%	18.16%	12.57%	16.21%	16.22%	19.02%	12.24%	15.49%	21.12%	12.96%	6.25%	6.70%	22.67%	11.46%	8.89%	2.04%	8.61%	18.28%	7.73%	13.11%	25.00%	16.67%	26.67%	19.72%	21.82%	17.07%	14.63%	8.33%	21.57%	9.38%	18.05%	16.39%	25.49%	14.41%	22.37%	42.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	0	3	2	1	1	3	3	0	1	1	2	3	0	0	1	1	0	0	3	1	2	0	2	2	0	2	0	0	3	1	2	0	0	1	1	1	3	1	1	2	0	0					
		0.59%	0.00%	1.22%	0.45%	0.39%	0.22%	0.54%	0.81%	0.00%	0.26%	0.34%	1.80%	0.92%	0.00%	0.00%	0.27%	0.62%	0.00%	0.00%	4.00%	0.35%	2.22%	0.00%	1.32%	0.54%	0.00%	1.64%	0.00%	0.00%	1.25%	0.47%	0.91%	0.00%	0.00%	0.64%	1.96%	3.13%	1.46%	0.82%	1.96%	0.87%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1406	6	38	71	15	67	117	50	47	70	85	24	66	25	23	73	49	6	29	8	47	8	3	27	95	14	26	10	6	49	28	31	15	4	30	5	1	39	7	10	42	37	3					
		16.51%	7.69%	15.51%	16.06%	5.84%	14.69%	21.16%	13.48%	13.54%	18.32%	29.31%	21.62%	20.25%	17.01%	10.18%	19.52%	30.25%	18.75%	12.95%	10.67%	16.32%	8.89%	6.12%	17.88%	25.54%	6.76%	21.31%	12.50%	14.29%	20.42%	13.15%	14.09%	9.15%	4.88%	19.23%	9.80%	3.13%	19.02%	5.74%	19.61%	18.34%	16.89%	8.57%					
