Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Лебяжьевская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605					
1	"Число избирателей, внесенных в списки избирателей"	15187	71	117	69	376	469	417	1123	943	690	742	588	1010	868	341	444	178	598	235	305	678	51	282	108	223	35	482	142	64	294	674	275	47	170	336	327	47	277	137	276	71	68	394	145					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15050	70	115	69	380	470	435	1060	870	660	720	565	1000	820	340	443	190	575	265	295	695	52	295	110	230	34	520	157	62	285	695	285	48	183	313	342	48	280	145	278	77	67	375	132					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9258	56	87	46	302	241	264	558	488	376	430	263	507	461	250	257	99	390	168	225	418	38	232	76	171	31	305	98	62	187	447	230	46	125	168	206	36	173	99	174	55	50	236	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1047	1	7	6	17	71	26	33	36	22	50	55	30	28	15	20	31	48	22	35	83	8	17	8	24	0	44	15	0	17	49	11	0	7	68	46	3	35	5	19	7	0	28	0					
6	Число погашенных избирательных бюллетеней	4745	13	21	17	61	158	145	469	346	262	240	247	463	331	75	166	60	137	75	35	194	6	46	26	35	3	171	44	0	81	199	44	2	51	77	90	9	72	41	85	15	17	111	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1047	1	7	6	17	71	26	33	36	22	50	55	30	28	15	20	31	48	22	35	83	8	17	8	24	0	44	15	0	17	49	11	0	7	68	46	3	35	5	19	7	0	28	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9256	56	87	46	302	241	264	557	488	376	430	263	507	461	250	257	99	389	168	225	418	38	232	76	171	31	305	98	62	187	447	230	46	125	168	206	36	173	99	174	55	50	236	127					
9	Число недействительных избирательных бюллетеней	77	1	0	2	8	4	0	7	2	2	6	2	5	2	6	3	1	4	2	0	0	0	0	1	0	0	1	2	0	3	1	0	0	1	2	1	0	2	1	1	0	0	3	1					
10	Число действительных избирательных бюллетеней	10226	56	94	50	311	308	290	583	522	396	474	316	532	487	259	274	129	433	188	260	501	46	249	83	195	31	348	111	62	201	495	241	46	131	234	251	39	206	103	192	62	50	261	126					
