Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Кичменгско-городецкая																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579					
1	"Число избирателей, внесенных в списки избирателей"	15093	603	73	580	2043	2357	325	398	345	604	206	176	750	235	326	307	221	326	211	473	242	817	208	173	250	390	299	138	256	327	585	849					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15650	590	90	580	2020	2100	320	415	345	630	220	185	840	300	370	340	240	380	220	500	300	840	240	190	275	415	330	140	305	400	630	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9025	385	48	313	1123	1261	223	274	203	475	123	91	324	94	251	104	149	251	169	199	158	488	134	131	214	314	164	89	179	256	255	583					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1949	33	5	52	155	138	7	9	52	9	39	60	242	141	9	161	16	27	16	143	38	39	45	19	14	31	82	29	39	12	226	61					
6	Число погашенных избирательных бюллетеней	4676	172	37	215	742	701	90	132	90	146	58	34	274	65	110	75	75	102	35	158	104	313	61	40	47	70	84	22	87	132	149	256					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1949	33	5	52	155	138	7	9	52	9	39	60	242	141	9	161	16	27	16	143	38	39	45	19	14	31	82	29	39	12	226	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9025	385	48	313	1123	1261	223	274	203	475	123	91	324	94	251	104	149	251	169	199	158	488	134	131	214	314	164	89	179	256	255	583					
9	Число недействительных избирательных бюллетеней	56	1	1	2	7	8	0	0	4	4	0	2	6	0	1	0	0	0	0	4	0	2	1	1	0	0	5	0	0	4	1	2					
10	Число действительных избирательных бюллетеней	10918	417	52	363	1271	1391	230	283	251	480	162	149	560	235	259	265	165	278	185	338	196	525	178	149	228	345	241	118	218	264	480	642					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	745	30	10	30	50	50	20	30	20	30	20	20	30	20	10	20	20	40	15	30	10	20	15	15	20	20	20	10	30	10	30	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	610	30	10	30	15	25	15	3	20	30	14	7	30	20	10	20	15	35	15	30	10	20	15	15	20	20	20	0	26	10	30	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	116	4	0	5	27	20	0	5	3	3	1	2	7	2	0	7	2	0	5	4	0	3	1	1	0	3	1	2	2	1	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	135	0	0	0	35	25	5	27	0	0	6	13	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	10	4	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	702	39	0	21	94	74	16	13	14	18	21	13	31	17	14	18	9	22	3	20	12	66	11	16	3	23	9	5	33	16	33	18					
		6.40%	9.33%	0.00%	5.75%	7.36%	5.29%	6.96%	4.59%	5.49%	3.72%	12.96%	8.61%	5.48%	7.23%	5.38%	6.79%	5.45%	7.91%	1.62%	5.85%	6.12%	12.52%	6.15%	10.67%	1.32%	6.67%	3.66%	4.24%	15.14%	5.97%	6.86%	2.80%					
