Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Коченевская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507					
1	"Число избирателей, внесенных в список избирателей"	35553	944	304	218	59	1044	174	53	466	249	757	86	45	975	41	99	469	145	878	44	74	2504	878	1098	222	377	464	184	202	281	198	283	86	366	588	38	58	666	206	147	66	183	543	522	633	162	149	2026	1154	2880	2114	1814	1864	1815	1718	1940					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36217	980	310	220	58	1090	178	57	510	255	800	100	50	1010	46	100	480	145	870	50	74	2550	895	1100	230	380	465	190	205	280	200	275	88	420	610	39	58	680	210	158	76	187	550	530	665	165	158	2090	1170	2850	2150	1860	1890	1790	1730	1940					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17592	442	215	172	51	635	102	38	238	130	381	71	35	458	33	70	297	52	447	42	55	1235	339	403	150	190	236	84	128	152	124	145	55	283	389	33	50	322	146	123	37	142	301	319	315	102	102	762	502	1669	864	657	714	775	909	871					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2301	98	20	11	0	108	25	1	102	30	65	9	7	136	3	0	53	35	145	0	0	105	66	46	9	34	27	33	17	16	15	33	2	16	87	3	2	40	24	2	8	12	33	22	38	15	13	57	37	56	125	115	131	84	50	80					
6	Число погашенных избирательных бюллетеней	16324	440	75	37	7	347	51	18	170	95	354	20	8	416	10	30	130	58	278	8	19	1210	490	651	71	156	202	73	60	112	61	97	31	121	134	3	6	318	40	33	31	33	216	189	312	48	43	1271	631	1125	1161	1088	1045	931	771	989					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2301	98	20	11	0	108	25	1	102	30	65	9	7	136	3	0	53	35	145	0	0	105	66	46	9	34	27	33	17	16	15	33	2	16	87	3	2	40	24	2	8	12	33	22	38	15	13	57	37	56	125	115	131	84	50	80					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17590	442	215	172	51	635	102	38	238	130	381	71	35	458	33	70	297	52	447	42	55	1235	339	403	150	190	236	84	128	152	124	145	55	283	389	33	50	322	146	123	37	142	301	319	315	102	102	762	502	1669	864	657	714	773	909	871					
9	Число недействительных избирательных бюллетеней	347	16	1	0	0	12	1	0	11	7	8	2	1	9	0	0	8	1	7	0	1	18	8	16	2	2	3	3	3	3	3	6	2	3	18	0	1	9	0	0	2	3	9	4	6	2	1	14	10	13	19	7	17	17	14	24					
10	Число действительных избирательных бюллетеней	19544	524	234	183	51	731	126	39	329	153	438	78	41	585	36	70	342	86	585	42	54	1322	397	433	157	222	260	114	142	165	136	172	55	296	458	36	51	353	170	125	43	151	325	337	347	115	114	805	529	1712	970	765	828	840	945	927					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	814	38	7	3	1	48	2	1	37	8	43	10	6	47	5	5	10	0	15	5	2	35	19	16	7	10	17	5	5	4	4	3	1	7	10	2	2	10	4	4	8	3	12	12	22	2	5	34	23	69	28	24	28	20	39	27					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	814	38	7	3	1	48	2	1	37	8	43	10	6	47	5	5	10	0	15	5	2	35	19	16	7	10	17	5	5	4	4	3	1	7	10	2	2	10	4	4	8	3	12	12	22	2	5	34	23	69	28	24	28	20	39	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	4	1	1	4	0	2	0	1	0	7	2	4	9	2	0	2	1	4	1	3	7	2	4	1	5	11	0	1	3	4	6	0	7	6	3	1	1	1	0	1	1	4	3	0	2	1	17	5	26	13	5	11	12	9	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
