Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Дергачевская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18110	969	666	1016	636	1035	973	265	1063	1192	626	595	630	623	136	438	472	438	934	480	765	542	485	825	212	296	416	100	75	469	738									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18299	1000	690	1035	660	1048	940	265	1068	1214	640	600	640	625	137	445	477	430	930	511	770	540	480	830	216	290	420	100	75	470	753									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13064	702	392	683	434	613	566	180	790	793	528	553	446	487	105	337	425	343	683	362	431	446	388	625	148	227	356	90	23	330	578									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2111	100	71	63	85	222	113	39	98	167	40	20	70	21	17	35	39	59	141	59	255	26	25	38	26	33	25	1	21	99	103									
6	Число погашенных избирательных бюллетеней	3124	198	227	289	141	213	261	46	180	254	72	27	124	117	15	73	13	28	106	90	84	68	67	167	42	30	39	9	31	41	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2111	100	71	63	85	222	113	39	98	167	40	20	70	21	17	35	39	59	141	59	255	26	25	38	26	33	25	1	21	99	103									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13062	701	391	683	434	613	566	180	790	793	528	553	446	487	105	337	425	343	683	362	431	446	388	625	148	227	356	90	23	330	578									
9	Число недействительных избирательных бюллетеней	132	18	10	0	17	20	22	0	0	9	14	0	0	3	0	0	0	2	0	7	4	0	0	4	0	0	2	0	0	0	0									
10	Число действительных избирательных бюллетеней	15041	783	452	746	502	815	657	219	888	951	554	573	516	505	122	372	464	400	824	414	682	472	413	659	174	260	379	91	44	429	681									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	362	15	15	15	15	20	20	5	20	26	10	10	10	10	5	10	10	10	15	10	15	10	10	15	5	8	10	5	3	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	170	4	9	15	6	11	9	0	5	26	5	4	10	7	0	1	3	0	11	3	1	1	1	15	1	1	10	1	3	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	3	1	0	0	1	2	0	1	4	2	2	2	0	0	0	2	0	1	0	1	0	3	2	0	1	0	0	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	192	11	6	0	9	9	11	5	15	0	5	6	0	3	5	9	7	10	4	7	14	9	9	0	4	7	0	4	0	8	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	1	0	3	1	7	4	0	3	2	2	3	1	0	0	0	0	0	0	0	5	2	2	0	0	0	1	2	0	1	12									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
