Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
"Наименование Избирательной комиссии:    Пенза, Железнодорожная"																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83					
1	"Число избирателей, внесенных в списки"	84630	2119	1363	1625	2493	2443	2583	2582	2439	2163	2436	1804	1932	1731	2510	2690	2313	2429	2631	2689	1645	1937	2051	2397	1647	2075	2780	3057	2803	1421	1812	1393	1716	2680	1618	1615	2677	2596	930	2805					
2	"Число бюллетеней, полученных участковыми комиссиями"	75258	1852	1239	1467	2243	2240	2319	2285	2203	1962	2133	1560	1725	1579	2202	2347	2089	2148	2377	2470	1469	1701	1846	2143	1512	1839	2508	2588	2591	1250	1608	1229	1525	2446	1428	1412	2111	2282	828	2502					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41653	938	649	852	1450	1462	1456	1379	1335	1203	1327	899	970	1077	1003	1193	1173	1239	1097	1333	769	869	949	1181	698	788	1418	1200	1318	576	739	548	872	1110	903	922	1545	1172	526	1515					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1414	14	22	24	47	31	32	32	57	22	46	52	20	36	36	108	26	7	24	22	47	30	44	21	34	44	39	184	39	17	16	19	12	14	12	15	38	47	38	46					
6	Число погашенных бюллетеней	32191	900	568	591	746	747	831	874	811	737	760	609	735	466	1163	1046	890	902	1256	1115	653	802	853	941	780	1007	1051	1204	1234	657	853	662	641	1322	513	475	528	1063	264	941					
7	Число бюллетеней в переносных ящиках для голосования	1414	14	22	24	47	31	32	32	57	22	46	52	20	36	36	108	26	7	24	22	47	30	44	21	34	44	39	184	39	17	16	19	12	14	12	15	38	47	38	46					
8	Число бюллетеней в стационарных ящиках для голосования	41612	938	649	852	1445	1461	1456	1379	1335	1203	1311	899	970	1076	1003	1193	1173	1238	1095	1333	769	868	948	1178	698	788	1418	1196	1316	575	739	548	872	1110	903	922	1545	1169	526	1515					
9	Число недействительных бюллетеней	710	20	12	17	9	29	26	17	25	20	12	23	16	20	24	29	18	19	17	18	16	14	14	15	13	32	24	27	25	10	22	17	7	7	10	7	13	15	16	35					
10	Число действительных бюллетеней	42316	932	659	859	1483	1463	1462	1394	1367	1205	1345	928	974	1092	1015	1272	1181	1226	1102	1337	800	884	978	1184	719	800	1433	1353	1330	582	733	550	877	1117	905	930	1570	1201	548	1526					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1000	30	15	25	35	35	30	30	30	30	30	25	25	25	30	30	30	30	30	30	15	15	30	30	15	30	40	40	30	15	15	15	15	30	15	25	30	10	10	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	667	17	8	9	30	32	26	21	23	15	14	19	22	16	10	19	20	23	23	17	7	11	24	15	11	7	33	32	30	5	13	7	12	21	11	24	13	5	4	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	920	13	6	4	19	8	14	14	16	2	33	17	28	7	10	93	6	8	6	3	7	6	14	3	4	11	11	161	13	5	7	3	4	2	6	8	293	44	4	7					
14	Число погашенных открепительных удостоверений	333	13	7	16	5	3	4	9	7	15	16	6	3	9	20	11	10	7	7	13	8	4	6	15	4	23	7	8	0	10	2	8	3	9	4	1	17	5	6	12					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	430	6	6	10	13	12	17	17	19	9	9	5	10	7	14	17	10	12	9	16	14	8	15	11	8	6	16	17	11	9	10	5	12	12	5	5	12	5	3	28					
		0.99%	0.63%	0.89%	1.14%	0.87%	0.80%	1.14%	1.20%	1.36%	0.73%	0.66%	0.52%	1.01%	0.62%	1.34%	1.30%	0.83%	0.96%	0.80%	1.18%	1.71%	0.89%	1.51%	0.91%	1.09%	0.72%	1.09%	1.23%	0.81%	1.52%	1.32%	0.88%	1.35%	1.06%	0.54%	0.53%	0.75%	0.41%	0.53%	1.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	916	6	10	18	44	41	31	31	31	39	34	30	20	31	16	32	29	27	13	19	15	15	12	34	14	11	32	31	22	13	26	13	25	30	26	29	25	21	6	14					
		2.12%	0.63%	1.49%	2.05%	2.94%	2.74%	2.08%	2.19%	2.22%	3.18%	2.50%	3.15%	2.02%	2.78%	1.53%	2.45%	2.41%	2.16%	1.16%	1.40%	1.83%	1.67%	1.20%	2.83%	1.91%	1.32%	2.19%	2.24%	1.62%	2.19%	3.44%	2.29%	2.82%	2.66%	2.84%	3.09%	1.57%	1.72%	1.06%	0.89%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2094	25	16	43	94	105	63	70	99	58	96	55	63	70	72	68	63	32	57	66	32	58	50	53	31	51	75	54	89	22	35	32	34	19	36	44	49	54	14	47					
		4.86%	2.62%	2.38%	4.90%	6.30%	7.03%	4.23%	4.96%	7.11%	4.73%	7.07%	5.78%	6.36%	6.29%	6.92%	5.22%	5.25%	2.57%	5.09%	4.87%	3.92%	6.45%	5.04%	4.42%	4.23%	6.12%	5.14%	3.91%	6.56%	3.71%	4.63%	5.64%	3.84%	1.69%	3.93%	4.69%	3.09%	4.44%	2.48%	3.01%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1801	21	26	27	71	83	94	69	66	63	82	57	62	74	56	46	47	60	40	39	21	26	38	37	20	28	52	65	46	10	26	13	31	70	57	36	45	47	18	32					
		4.18%	2.20%	3.87%	3.08%	4.75%	5.56%	6.31%	4.89%	4.74%	5.14%	6.04%	5.99%	6.26%	6.65%	5.38%	3.53%	3.91%	4.81%	3.57%	2.87%	2.57%	2.89%	3.83%	3.08%	2.73%	3.36%	3.56%	4.71%	3.39%	1.68%	3.44%	2.29%	3.50%	6.22%	6.22%	3.84%	2.84%	3.86%	3.19%	2.04%					
22	"5. ""За Русь Святую"""	219	6	5	5	7	6	11	4	9	7	4	5	2	9	3	4	1	7	6	7	3	2	7	3	6	9	10	6	5	4	5	5	3	6	3	6	7	5	5	11					
		0.50%	0.63%	0.74%	0.57%	0.46%	0.40%	0.73%	0.28%	0.64%	0.57%	0.29%	0.52%	0.20%	0.80%	0.28%	0.30%	0.08%	0.56%	0.53%	0.51%	0.36%	0.22%	0.70%	0.25%	0.81%	1.08%	0.68%	0.43%	0.36%	0.67%	0.66%	0.88%	0.33%	0.53%	0.32%	0.64%	0.44%	0.41%	0.88%	0.70%					
23	"6. ""Объединенная Российская партия ""Русь"""	105	3	4	0	1	3	6	0	2	2	2	2	3	2	2	5	1	6	2	1	1	4	5	3	3	6	4	2	6	1	0	2	1	6	2	1	4	2	4	1					
		0.24%	0.31%	0.59%	0.0%	0.06%	0.20%	0.40%	0.0%	0.14%	0.16%	0.14%	0.21%	0.30%	0.17%	0.19%	0.38%	0.08%	0.48%	0.17%	0.07%	0.12%	0.44%	0.50%	0.25%	0.40%	0.72%	0.27%	0.14%	0.44%	0.16%	0.0%	0.35%	0.11%	0.53%	0.21%	0.10%	0.25%	0.16%	0.70%	0.06%					
24	"7. ""Новый курс - Автомобильная Россия"""	442	10	6	5	18	13	17	11	16	17	13	5	6	7	12	18	14	13	15	17	8	14	8	10	6	8	8	15	7	5	12	6	13	21	13	18	8	4	10	15					
		1.02%	1.05%	0.89%	0.57%	1.20%	0.87%	1.14%	0.77%	1.14%	1.38%	0.95%	0.52%	0.60%	0.62%	1.15%	1.38%	1.16%	1.04%	1.34%	1.25%	0.98%	1.55%	0.80%	0.83%	0.81%	0.96%	0.54%	1.08%	0.51%	0.84%	1.58%	1.05%	1.47%	1.86%	1.42%	1.92%	0.50%	0.32%	1.77%	0.96%					
