Выборы Президента Российской Федерации																																							
																																							
"Наименование Избирательной комиссии:    Черновская, Чита"																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107					
1	"Число избирателей, внесенных в список"	63988	2447	2855	2628	2769	2843	2788	2074	2313	1794	2519	2181	2357	2916	2889	1962	2330	2041	2607	1242	714	2283	2473	2618	1223	1514	1044	1616	1570	687	1336	867	488					
2	Число полученных избирательных бюллетеней	61350	2400	2800	2600	2700	2800	2700	2000	2200	1700	2400	2100	2200	2800	2800	1900	2300	2000	2500	1200	650	2200	2400	2500	1100	1400	1000	1500	1300	650	1300	800	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29646	1213	1312	1335	1430	1426	1412	978	1221	733	1123	1126	1146	1482	1488	996	1134	1073	1255	522	258	1127	892	1029	451	753	333	532	817	217	365	252	215					
5	"Число избирательных бюллетеней, выданных вне помещения"	1068	39	36	28	33	20	17	26	19	41	17	24	20	36	44	31	10	23	16	53	98	35	87	45	9	19	34	17	41	61	20	48	21					
6	Число погашенных избирательных бюллетеней	30636	1148	1452	1237	1237	1354	1271	996	960	926	1260	950	1034	1282	1268	873	1156	904	1229	625	294	1038	1421	1426	640	628	633	951	442	372	915	500	214					
7	Число избирательных бюллетеней в переносных ящиках	1068	39	36	28	33	20	17	26	19	41	17	24	20	36	44	31	10	23	16	53	98	35	87	45	9	19	34	17	41	61	20	48	21					
8	Число бюллетеней в стационарных ящиках для голосования	29640	1213	1312	1335	1430	1426	1412	978	1220	731	1123	1126	1146	1481	1488	996	1134	1072	1255	522	258	1127	892	1029	451	753	333	532	817	216	365	252	215					
9	Число недействительных избирательных бюллетеней	207	5	12	4	12	6	10	5	10	5	17	5	12	3	7	4	4	7	3	9	3	6	10	10	6	6	5	6	3	1	8	3	0					
10	Число действительных избирательных бюллетеней	30501	1247	1336	1359	1451	1440	1419	999	1229	767	1123	1145	1154	1514	1525	1023	1140	1088	1268	566	353	1156	969	1064	454	766	362	543	855	276	377	297	236					
