Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Усть-Кутская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1915									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40258	55	68	53	90	80	958	1283	1175	405	324	914	944	1299	837	833	1959	1450	1017	1942	1091	1560	1243	1017	1338	1173	1926	1671	2096	584	1110	1419	1509	1562	1539	678	268	49	777	378	770	738	76									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37445	55	70	55	90	75	900	1000	1000	400	300	900	900	1000	800	800	1900	1400	1000	1900	1000	1500	1000	1000	1000	1000	1900	1500	2000	500	1000	1400	1500	1500	1500	600	250	50	800	350	750	700	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9916	26	38	26	27	29	242	322	254	147	91	179	191	209	181	164	422	437	240	548	200	375	324	265	425	288	421	472	532	130	311	318	303	332	350	143	91	15	207	84	263	222	72									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	533	1	0	0	0	0	13	21	18	12	11	10	29	50	7	48	5	4	3	9	24	46	6	9	16	12	12	3	31	8	4	16	6	1	15	35	4	14	15	0	7	8	0									
6	Число погашенных избирательных бюллетеней	26987	28	32	29	63	46	645	657	728	241	198	711	680	741	612	588	1473	959	757	1343	776	1079	670	726	559	700	1467	1025	1437	362	685	1066	1191	1167	1135	413	155	21	578	266	480	470	28									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	542	1	0	0	0	0	13	21	18	12	11	10	29	50	7	48	5	4	3	9	24	46	6	9	16	12	12	3	31	8	4	16	6	1	15	44	4	14	15	0	7	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9916	26	38	26	27	29	242	322	254	147	91	179	191	209	181	164	422	437	240	548	200	375	324	265	425	288	421	472	532	130	311	318	303	332	350	143	91	15	207	84	263	222	72									
9	Число недействительных избирательных бюллетеней	211	0	0	0	1	4	9	13	4	4	3	3	3	3	2	5	17	9	2	14	3	13	7	3	9	2	7	11	11	1	3	1	9	6	4	2	3	0	4	2	6	5	3									
10	Число действительных избирательных бюллетеней	10247	27	38	26	26	25	246	330	268	155	99	186	217	256	186	207	410	432	241	543	221	408	323	271	432	298	426	464	552	137	312	333	300	327	361	185	92	29	218	82	264	225	69									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	590	5	5	5	5	5	10	20	15	5	5	15	15	15	10	10	20	20	15	20	15	15	15	20	25	20	25	25	25	10	15	20	20	20	20	20	10	5	15	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	0	2	3	1	0	5	13	5	0	3	2	3	1	2	1	2	3	2	7	0	2	4	1	17	2	7	6	8	0	7	6	1	0	2	0	0	0	10	2	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	0	0	0	0	4	1	4	4	2	6	2	2	2	0	1	0	17	1	2	5	3	4	3	3	4	2	4	6	2	7	2	2	2	1	2	0	1	1	3	0	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	457	5	3	2	4	5	5	7	10	5	2	13	12	14	8	9	18	17	13	13	15	13	11	19	8	18	18	19	17	10	8	14	19	20	18	20	10	5	5	8	7	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	2	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
