Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
"Наименование Избирательной комиссии:    Ростов-на-Дону, Ленинская"																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51594	1458	1746	1140	1224	2103	1588	2128	1753	1604	1475	1760	1925	2308	2306	1891	2772	2334	2798	2418	2393	2578	2466	2185	2661	2580									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47500	1300	1600	1100	1100	2000	1500	1900	1600	1500	1300	1600	1700	2200	2200	1700	2500	2100	2700	2200	2200	2400	2300	2000	2400	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25800	629	1035	629	369	1179	661	998	751	774	484	969	595	828	1002	706	1501	1605	1616	1558	1247	1320	1301	1112	1728	1203									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3503	8	136	113	49	202	108	44	159	124	177	192	64	15	124	77	107	129	203	282	333	214	196	128	189	130									
6	Число погашенных избирательных бюллетеней	18197	663	429	358	682	619	731	858	690	602	639	439	1041	1357	1074	917	892	366	881	360	620	866	803	760	483	1067									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3502	8	136	113	49	202	108	44	159	124	177	192	64	15	124	77	107	129	203	282	333	214	196	127	189	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25649	629	1035	629	361	1177	661	998	751	774	484	969	595	815	878	704	1501	1605	1616	1558	1247	1320	1301	1111	1728	1202									
9	Число недействительных избирательных бюллетеней	237	7	9	4	10	11	15	0	0	18	0	10	6	1	24	12	8	18	0	0	6	23	11	10	17	17									
10	Число действительных избирательных бюллетеней	28914	630	1162	738	400	1368	754	1042	910	880	661	1151	653	829	978	769	1600	1716	1819	1840	1574	1511	1486	1228	1900	1315									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1950	50	60	40	40	80	60	80	60	60	50	60	70	90	90	70	100	80	90	160	90	100	90	80	100	100									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	907	16	22	16	16	34	15	42	20	22	19	33	26	30	35	29	30	35	80	112	88	51	25	34	30	47									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	24	24	17	15	4	18	5	13	6	14	31	13	9	26	38	17	12	3	6	0	6	4	9	24	15									
14	Число погашенных неиспользованных открепительных удостоверений	1043	34	38	24	24	46	45	38	40	38	31	27	44	60	55	41	70	45	10	48	2	49	65	46	70	53									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	118	0	1	3	0	1	3	6	5	2	0	5	4	1	4	2	3	1	6	58	1	2	4	3	1	2									
