Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Кяхтинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28443	598	223	165	117	92	260	999	68	56	478	110	138	213	77	74	367	228	569	269	146	286	333	109	795	72	108	103	129	305	160	526	621	233	139	203	1308	1477	2381	1637	1194	1308	1083	1377	1321	1128	1318	3141	308	93									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27500	600	220	160	115	90	265	1000	70	60	475	110	130	210	75	70	350	230	550	280	150	280	330	100	770	65	90	100	120	300	160	520	630	230	135	200	1300	1450	2340	1600	1200	1300	1040	1300	1250	1150	1200	2800	250	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12209	260	93	79	45	50	123	432	28	38	168	58	79	94	53	45	143	85	215	105	89	149	155	58	312	34	57	51	71	113	51	215	252	136	74	116	539	593	933	574	408	465	424	482	389	471	546	1965	230	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	933	18	15	8	12	1	15	64	4	3	20	10	5	18	7	5	7	17	40	18	0	12	27	12	28	4	0	0	0	13	3	31	14	14	10	5	35	34	94	34	23	40	76	5	6	12	59	39	0	16									
6	Число погашенных избирательных бюллетеней	14358	322	112	73	58	39	127	504	38	19	287	42	46	98	15	20	200	128	295	157	61	119	148	30	430	27	33	49	49	174	106	274	364	80	51	79	726	823	1313	992	769	795	540	813	855	667	595	796	20	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	933	18	15	8	12	1	15	64	4	3	20	10	5	18	7	5	7	17	40	18	0	12	27	12	28	4	0	0	0	13	3	31	14	14	10	5	35	34	94	34	23	40	76	5	6	12	59	39	0	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12209	260	93	79	45	50	123	432	28	38	168	58	79	94	53	45	143	85	215	105	89	149	155	58	312	34	57	51	71	113	51	215	252	136	74	116	539	593	933	574	408	465	424	482	389	471	546	1965	230	64									
9	Число недействительных избирательных бюллетеней	343	2	9	6	1	0	1	12	2	1	1	3	2	3	0	1	11	5	3	2	0	0	3	2	12	0	0	5	2	1	1	1	2	7	4	1	8	13	22	19	10	12	9	11	11	19	17	76	7	3									
10	Число действительных избирательных бюллетеней	12799	276	99	81	56	51	137	484	30	40	187	65	82	109	60	49	139	97	252	121	89	161	179	68	328	38	57	46	69	125	53	245	264	143	80	120	566	614	1005	589	421	493	491	476	384	464	588	1928	223	77									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	701	20	10	10	10	10	15	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	26	10	10	10	30	20	20	40	20	35	30	25	15	10	20	15	25	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	526	20	1	3	0	8	15	17	10	10	5	0	2	6	10	10	10	6	8	10	10	6	10	10	6	10	7	10	3	8	10	15	26	0	2	10	11	11	20	40	8	35	22	21	12	6	11	10	25	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	314	6	3	3	1	0	3	17	1	0	4	3	4	0	2	4	1	1	2	2	4	5	3	3	21	0	3	1	1	0	0	5	4	0	1	4	3	6	23	19	1	10	6	7	25	23	29	29	14	7									
14	Число погашенных неиспользованных открепительных удостоверений	175	0	9	7	10	2	0	3	0	0	5	10	8	4	0	0	0	4	2	0	0	4	0	0	4	0	3	0	7	2	0	0	0	10	8	0	19	9	0	0	12	0	8	4	3	4	9	5	0	0									
