Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №12																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489					
1	"Число избирателей, внесенных в список избирателей"	209210	1035	1326	2270	2735	2744	2797	2185	2768	2147	1379	2341	2131	2562	2633	2198	2820	2347	2669	2700	2250	2558	1710	3008	2591	2501	2571	1182	2188	2139	2757	2740	2639	2720	2566	2577	2501	2980	2839	3088	2611	2187	2456	2144	1695	1680	2327	2397	2284	2343	2656	2911	2349	2573	2368	2955	3130	3026	2577	2761	2852	3059	2498	2724	2751	2186	2484	2651	2537	3043	2968	2373	2395	1358	1658	2410	2468	2797	2504	2485	2406	2122	2640	2590	2914	3015					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	195000	1000	1200	2000	2300	2300	2600	2000	2500	2000	2700	2100	2100	2200	2300	2000	2500	2000	2500	1900	2000	2000	1500	1800	2000	2300	2500	1000	1900	2100	2500	2500	2500	2500	2500	2500	2300	2700	2600	2800	2500	2100	2300	2000	2000	2000	2300	2400	2300	2200	2500	3000	2500	2200	2000	2700	2200	2700	2500	2500	2700	2600	2300	2500	2500	2200	2400	2500	2300	3000	3000	2300	2300	1300	2000	2400	2400	2700	2500	2500	2500	2300	2500	2500	2500	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	105167	458	705	1069	1460	1665	1427	1115	1288	1093	1362	1165	1053	1408	1333	983	1395	1129	1249	1272	869	1289	677	1606	1264	1331	1352	642	1074	1137	1305	1286	1219	1399	1254	1211	1267	1501	1518	1359	1224	1176	1571	901	972	945	1230	1136	1283	1120	1259	1475	1066	1342	1179	1484	1563	1576	534	1464	1440	1401	1226	1398	1603	1272	1206	1399	1216	1372	1395	1566	1236	687	719	1294	1192	1360	1224	1260	1190	1297	1300	1297	1527	1401					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1323	24	12	108	7	14	8	11	10	9	17	10	10	10	8	13	9	11	4	15	9	27	50	26	38	9	6	4	19	9	5	11	13	6	14	14	9	5	4	11	7	17	22	64	30	21	25	20	23	15	37	16	31	33	13	67	21	32	16	6	6	7	8	8	7	4	11	7	14	14	9	10	10	2	3	8	6	8	5	9	11	9	11	4	8	9					
6	Число погашенных избирательных бюллетеней	88509	518	483	823	833	621	1165	874	1202	898	1321	925	1037	782	959	1004	1096	860	1247	613	1122	684	773	168	698	960	1142	354	807	954	1190	1203	1268	1095	1231	1275	1024	1194	1078	1430	1269	907	707	1035	998	1034	1045	1244	994	1065	1204	1509	1403	825	808	1149	616	1092	1950	1030	1254	1192	1066	1094	890	924	1183	1094	1070	1614	1596	724	1054	611	1278	1098	1202	1332	1271	1231	1299	994	1189	1199	965	1290					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1323	24	12	108	7	14	8	11	10	9	17	10	10	10	8	13	9	11	4	15	9	27	50	26	38	9	6	4	19	9	5	11	13	6	14	14	9	5	4	11	7	17	22	64	30	21	25	20	23	15	37	16	31	33	13	67	21	32	16	6	6	7	8	8	7	4	11	7	14	14	9	10	10	2	3	8	6	8	5	9	11	9	11	4	8	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	104030	457	705	1069	1460	1651	1427	1115	1287	1092	1362	1165	1051	1402	1330	983	1395	1129	1241	1272	868	1286	675	1605	1240	1331	1348	642	1074	1131	1304	1286	1213	1399	1254	1206	1267	1498	1514	1344	1224	1169	1549	898	814	945	1226	1136	1283	1117	1254	1475	1051	1336	1155	1479	1547	1576	534	1455	1440	1400	1224	1398	1603	1272	1193	1390	1209	1372	1395	1258	1234	685	517	1173	1192	1314	1219	1257	1190	1279	1296	1293	1525	1401					
9	Число недействительных избирательных бюллетеней	1695	6	13	32	37	17	22	71	16	11	12	21	6	27	18	18	17	15	14	22	10	44	8	26	22	32	15	12	23	21	13	14	10	15	18	16	24	22	50	14	25	10	29	21	15	15	14	14	16	14	16	23	12	22	10	19	11	23	10	24	8	21	18	12	18	12	22	15	20	23	21	24	27	5	16	12	17	16	122	8	15	18	22	14	17	25					
10	Число действительных избирательных бюллетеней	103658	475	704	1145	1430	1648	1413	1055	1281	1090	1367	1154	1055	1385	1320	978	1387	1125	1231	1265	867	1269	717	1605	1256	1308	1339	634	1070	1119	1296	1283	1216	1390	1250	1204	1252	1481	1468	1341	1206	1176	1542	941	829	951	1237	1142	1290	1118	1275	1468	1070	1347	1158	1527	1557	1585	540	1437	1438	1386	1214	1394	1592	1264	1182	1382	1203	1363	1383	1244	1217	682	504	1169	1181	1306	1102	1258	1186	1270	1285	1283	1516	1385					
