Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																										
Дата голосования: 02.12.2007																																																																																																																										
																																																																																																																										
Наименование Избирательной комиссии:    Выборгская																																																																																																																										
																																																																																																																										
Сводная таблица результатов выборов																																																																																																																										
																																																																																																																										
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
1	"Число избирателей, внесенных в списки избирателей"	155640	982	2126	949	1251	1840	706	1398	1171	2319	1863	1606	1615	1645	2420	1561	1578	1755	1668	1654	1659	1665	1607	1525	1695	1605	1315	1023	1653	1680	1751	1808	1868	2060	2542	2374	2358	2186	1976	784	391	1192	1923	362	682	611	414	807	2498	2375	2412	2388	2359	1778	594	719	2763	2215	768	1510	348	445	964	313	1586	420	1118	331	1271	799	241	1146	1371	2173	2372	857	661	1277	1378	1477	1752	1467	1846	888	928	1163	592	1161	1056	355	282	370	977	895	459	227	1698	1705	2200	1049	1020	1077	755	1642	1943	1803	1698	1082	912	1536	1663	1635	536	462	1178	1078					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	135789	800	1900	800	900	1600	500	1200	1000	2300	1700	1400	1400	1500	1700	1300	1400	1500	1400	1400	1400	1400	1400	1400	1500	1400	1100	900	1500	1500	1600	1700	1700	1900	2300	2200	2200	2000	1900	600	300	1000	1800	250	500	400	400	600	2300	2200	2300	2300	2200	1600	400	600	2600	2000	600	1300	300	300	700	220	1400	300	1000	200	1100	700	200	1000	1200	2000	2200	700	500	1010	1200	1300	1600	1300	1700	700	800	1000	400	1000	900	300	215	300	750	800	350	194	1500	1400	2200	900	900	900	600	1500	1700	1500	1500	900	700	1400	1500	1400	300	300	1000	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	81261	572	1067	428	450	873	388	691	614	1288	1046	898	823	856	985	901	867	987	890	894	865	1045	909	828	998	835	765	602	972	759	996	981	1073	1194	1445	1271	1246	1175	1079	300	202	573	1004	169	271	302	196	395	1329	1306	1324	1285	1319	929	247	350	1380	1271	443	745	247	285	447	140	754	186	564	142	589	339	114	450	664	1079	1270	335	249	710	720	875	886	824	861	463	296	661	276	593	599	230	113	196	591	427	325	111	826	833	1780	656	528	479	404	730	828	799	761	402	462	769	969	890	249	261	632	496					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4728	8	20	10	133	21	51	14	19	28	25	29	31	14	605	16	28	39	17	75	38	22	19	34	20	24	9	19	18	47	21	17	18	9	22	23	33	12	19	5	0	16	35	7	71	29	79	115	47	37	20	42	31	25	32	15	124	94	14	152	22	13	63	69	20	55	9	47	63	75	17	51	11	19	11	59	71	6	25	3	32	30	45	47	125	22	24	36	22	7	94	27	7	42	6	57	9	5	25	36	29	57	42	18	23	75	27	115	10	34	14	73	32	0	50	125					
6	Число погашенных избирательных бюллетеней	49731	220	813	362	317	706	61	495	367	984	629	473	546	630	110	383	505	474	493	431	497	333	472	538	482	541	326	279	510	694	583	702	609	697	833	906	921	813	802	295	98	411	761	74	158	69	125	90	924	857	956	973	850	646	121	235	1096	635	143	403	31	2	190	11	626	59	427	11	448	286	69	499	525	902	919	306	180	225	455	422	682	446	794	190	379	317	100	371	279	63	8	77	152	331	19	26	665	562	395	208	343	364	154	752	849	626	712	383	228	597	517	437	19	39	318	279					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4797	8	20	10	133	21	51	14	19	28	25	29	31	14	605	16	28	39	17	75	38	22	19	34	20	24	9	19	18	47	21	17	18	9	22	23	33	12	19	5	0	16	35	7	71	29	79	115	47	37	20	42	31	25	32	15	124	94	14	152	22	13	63	69	20	55	9	47	63	75	17	51	11	19	11	59	71	75	25	3	32	30	45	47	125	22	24	36	22	7	94	27	7	42	6	57	9	5	25	36	29	57	42	18	23	75	27	115	10	34	14	73	32	0	50	125					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	81215	572	1067	428	450	871	388	691	614	1288	1046	898	823	848	985	901	867	987	890	894	862	1045	909	828	984	834	765	602	972	759	996	981	1071	1192	1445	1271	1246	1175	1079	300	202	573	1004	169	271	302	196	395	1329	1306	1324	1282	1319	929	247	350	1380	1271	443	745	247	285	447	140	754	186	564	142	589	339	114	450	664	1078	1268	335	249	710	720	874	886	821	861	463	295	661	276	593	599	230	113	196	591	427	325	111	826	833	1780	656	528	479	404	730	828	798	761	402	462	769	969	890	249	261	632	494					
9	Число недействительных избирательных бюллетеней	689	5	3	4	6	7	3	1	3	5	6	9	6	9	13	5	8	7	6	5	5	7	3	10	7	4	9	7	13	1	8	6	6	11	9	8	15	12	9	2	1	2	14	0	1	4	4	2	8	15	14	13	7	11	3	5	10	7	2	2	2	0	4	2	3	0	9	0	2	1	2	2	7	8	8	2	1	9	5	8	9	7	9	4	3	3	1	1	7	1	0	3	9	7	0	2	11	10	14	6	3	2	0	9	9	9	7	3	7	5	15	25	4	4	11	6					
10	Число действительных избирательных бюллетеней	85323	575	1084	434	577	885	436	704	630	1311	1065	918	848	853	1577	912	887	1019	901	964	895	1060	925	852	997	854	765	614	977	805	1009	992	1083	1190	1458	1286	1264	1175	1089	303	201	587	1025	176	341	327	271	508	1368	1328	1330	1311	1343	943	276	360	1494	1358	455	895	267	298	506	207	771	241	564	189	650	413	129	499	668	1089	1271	392	319	776	740	869	909	844	897	506	417	680	299	628	614	236	207	220	589	462	331	166	824	828	1791	686	554	534	446	739	842	864	781	514	465	798	968	938	277	257	671	613					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2716	19	39	16	21	34	10	26	22	30	25	30	29	31	34	16	29	33	30	29	31	31	30	28	31	30	24	19	31	31	33	23	35	36	48	43	43	37	37	13	14	22	35	6	11	9	6	11	44	44	45	45	44	30	9	11	52	40	14	27	4	8	16	5	30	7	21	6	23	13	4	21	24	39	41	16	1	32	23	27	32	27	31	16	22	16	11	14	16	5	3	2	12	41	8	4	27	20	88	17	19	18	8	15	24	20	15	9	17	28	24	28	9	7	22	24					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1352	14	18	5	4	11	5	9	7	15	17	12	14	12	16	7	6	10	12	10	13	9	14	7	16	5	10	8	12	10	12	8	19	15	15	13	8	18	29	8	4	9	11	2	8	5	6	3	12	9	8	9	14	10	0	2	24	11	13	12	1	4	9	1	10	0	13	1	6	13	3	20	13	20	24	11	1	31	16	27	14	13	19	12	18	6	10	12	16	1	2	2	12	41	1	2	22	20	84	13	3	12	8	15	24	20	13	4	5	14	8	7	9	5	14	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1316	6	7	7	10	9	35	16	5	12	13	12	20	13	11	10	37	13	12	18	11	17	5	8	11	7	9	13	17	10	2	8	7	13	5	11	5	19	5	3	2	4	6	10	14	11	3	6	21	5	11	13	8	7	7	2	12	12	5	3	20	6	7	5	2	6	4	9	17	3	4	5	10	10	9	4	3	51	9	7	22	10	16	5	13	25	5	15	12	7	5	3	20	20	6	7	22	13	22	16	11	11	21	7	18	53	9	13	17	12	13	10	13	3	19	17					
14	Число погашенных неиспользованных открепительных удостоверений	1364	5	21	11	17	23	5	17	15	15	8	18	15	19	18	9	23	23	18	19	18	22	16	21	15	25	14	11	19	21	21	15	16	21	33	30	35	19	8	5	10	13	24	4	3	4	0	8	32	35	37	36	30	20	9	9	28	29	1	15	3	4	7	4	20	7	8	5	17	0	1	1	11	19	17	5	0	1	7	0	18	14	12	4	4	10	1	2	0	4	1	0	0	0	7	2	5	0	4	4	16	6	0	0	0	0	2	5	12	14	16	21	0	2	8	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																										
