Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Апшеронская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56815	2309	1405	301	2231	1159	1856	1356	1911	1331	1407	1989	2147	1665	1939	1904	349	199	1274	669	1287	1707	1709	1657	167	291	2069	860	765	503	844	1601	650	975	1123	138	361	275	169	1481	602	394	160	132	968	195	654	470	530	1404	721	834	731	205	1931	624	227									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54134	2094	1433	252	2116	1048	1648	1119	1807	1324	1272	1784	2123	1663	1787	1607	322	172	1174	564	1427	1869	1962	1773	158	341	1832	778	798	476	870	1536	655	896	980	115	306	255	136	1351	568	356	130	118	1005	172	673	443	486	1397	747	813	652	222	1741	580	208									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29342	671	718	164	938	337	745	800	965	698	714	876	1205	987	1014	1315	197	106	918	340	745	1005	763	820	70	209	935	473	477	253	285	868	309	625	613	81	268	180	108	796	398	192	77	88	394	101	335	231	253	649	326	298	410	122	1357	374	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5132	61	65	32	178	351	100	53	184	113	87	49	51	26	200	28	36	40	67	98	157	187	293	288	31	30	235	142	61	82	204	35	77	197	126	34	36	38	27	162	99	62	26	7	100	5	40	52	22	118	35	102	32	23	104	38	6									
6	Число погашенных избирательных бюллетеней	19660	1362	650	56	1000	360	803	266	658	513	471	859	867	650	573	264	89	26	189	126	525	677	906	665	57	102	662	163	260	141	381	633	269	74	241	0	2	37	1	393	71	102	27	23	511	66	298	160	211	630	386	413	210	77	280	168	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5132	61	65	32	178	351	100	53	184	113	87	49	51	26	200	28	36	40	67	98	157	187	293	288	31	30	235	142	61	82	204	35	77	197	126	34	36	38	27	162	99	62	26	7	100	5	40	52	22	118	35	102	32	23	104	38	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29145	671	718	164	938	337	745	800	965	698	714	876	1205	987	1014	1315	197	106	918	340	745	1005	763	820	70	209	935	473	477	253	285	868	309	428	613	81	268	180	108	796	398	192	77	88	394	101	335	231	253	649	326	298	410	122	1357	374	146									
9	Число недействительных избирательных бюллетеней	431	18	14	7	18	9	14	5	13	5	22	29	24	2	12	9	3	0	9	4	10	30	19	20	5	6	22	0	2	2	3	0	2	0	4	0	0	4	1	5	4	3	8	0	8	1	6	3	4	16	2	13	0	0	9	2	0									
10	Число действительных избирательных бюллетеней	33846	714	769	189	1098	679	831	848	1136	806	779	896	1232	1011	1202	1334	230	146	976	434	892	1162	1037	1088	96	233	1148	615	536	333	486	903	384	625	735	115	304	214	134	953	493	251	95	95	486	105	369	280	271	751	359	387	442	145	1452	410	152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1208	42	36	6	42	25	30	30	36	42	30	36	42	36	36	36	6	6	25	25	25	42	42	36	6	17	42	18	18	12	12	12	18	25	36	6	6	6	6	25	6	12	6	6	18	6	15	12	12	30	18	18	18	6	30	12	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	403	10	6	3	8	15	19	10	19	15	14	12	16	7	9	8	0	1	3	1	11	11	33	15	6	16	5	1	6	4	2	11	18	1	5	1	1	0	1	10	2	0	0	0	5	0	15	6	4	4	2	2	7	1	9	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	269	6	0	0	11	3	0	6	9	9	6	5	4	0	5	4	1	5	0	5	7	23	13	14	4	4	10	2	3	2	6	3	1	14	10	4	2	2	7	4	7	7	1	1	1	3	1	4	4	2	5	1	3	2	6	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	805	32	30	3	34	10	11	20	17	27	16	24	26	29	27	28	6	5	22	24	14	31	9	21	0	1	37	17	12	8	10	1	0	24	31	5	5	6	5	15	4	12	6	6	13	6	0	6	8	26	16	16	11	5	21	0	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	134	8	2	0	7	2	7	3	7	6	5	7	16	7	5	9	0	0	2	1	5	0	4	4	0	0	0	1	0	2	0	5	1	1	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	7	3	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	564	17	15	0	33	6	18	19	19	21	18	23	39	4	50	30	2	3	13	7	10	12	8	16	2	4	15	3	5	5	9	0	10	5	16	19	1	0	2	5	4	5	0	1	5	4	5	5	2	15	6	3	8	3	11	3	0									
		1.65%	2.32%	1.92%	0.00%	2.96%	0.87%	2.13%	2.23%	1.65%	2.59%	2.25%	2.49%	3.11%	0.39%	4.12%	2.23%	0.86%	2.05%	1.32%	1.60%	1.11%	1.01%	0.76%	1.44%	1.98%	1.67%	1.28%	0.49%	0.93%	1.49%	1.84%	0.00%	2.59%	0.80%	2.17%	16.52%	0.33%	0.00%	1.48%	0.52%	0.80%	1.97%	0.00%	1.05%	1.01%	3.77%	1.33%	1.77%	0.73%	1.96%	1.66%	0.75%	1.81%	2.07%	0.75%	0.73%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	823	15	22	3	20	19	23	20	17	14	26	29	28	11	17	29	5	5	13	12	27	30	29	34	3	8	29	8	15	8	13	12	13	19	27	2	3	4	6	18	13	3	2	2	18	5	10	5	6	29	21	13	10	3	31	8	8									
