Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Козельская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31471	1337	155	431	934	161	523	270	208	360	827	197	924	250	568	157	186	955	847	1118	914	2518	739	1534	2168	1866	1279	1884	1860	1402	1952	1238	1467	242									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31124	1300	180	440	970	160	540	290	230	370	840	200	930	260	590	180	210	890	850	1100	900	2500	750	1500	2000	1750	1300	1900	1850	1400	1900	1200	1400	244									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11846	553	74	201	371	75	166	121	41	80	241	93	464	82	197	51	84	339	262	305	243	799	319	584	870	1096	480	692	737	582	739	368	537	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2132	48	42	61	102	25	82	59	86	183	141	38	82	62	209	56	50	112	38	83	99	174	20	21	22	52	11	6	8	12	43	83	22	0									
6	Число погашенных избирательных бюллетеней	16904	699	64	178	497	60	292	110	103	107	458	69	384	116	184	73	76	439	550	712	558	1527	411	895	1108	602	809	1202	1105	806	1118	749	841	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2131	48	42	61	102	25	82	59	86	183	141	38	82	62	209	56	50	112	38	83	99	174	20	21	22	51	11	6	8	12	43	83	22	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12085	553	74	201	371	75	166	121	41	80	241	93	464	82	197	51	84	339	262	305	243	799	319	584	870	1096	480	692	737	579	739	368	537	242									
9	Число недействительных избирательных бюллетеней	225	6	0	2	5	1	1	1	2	0	2	3	3	2	5	1	4	3	7	8	7	16	11	11	18	24	12	9	15	7	23	6	5	5									
10	Число действительных избирательных бюллетеней	13991	595	116	260	468	99	247	179	125	263	380	128	543	142	401	106	130	448	293	380	335	957	328	594	874	1123	479	689	730	584	759	445	554	237									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1290	70	30	40	60	15	30	40	30	20	55	20	40	20	30	30	30	40	40	40	40	49	40	40	50	41	40	50	40	50	50	70	50	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	610	70	30	13	28	9	6	20	24	20	13	14	31	4	30	24	30	5	6	14	8	49	15	8	24	14	19	9	12	15	20	14	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	209	8	3	4	6	1	7	4	2	11	5	1	2	0	3	2	2	10	20	20	5	12	3	6	23	9	7	3	5	5	3	7	10	0									
14	Число погашенных неиспользованных открепительных удостоверений	680	0	0	27	32	6	24	20	6	0	42	6	9	16	0	6	0	35	34	26	32	0	25	32	26	27	21	41	28	35	30	56	38	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	1	0	0	0	0	1	1	0	0	1	2	4	0	0	0	0	2	2	1	2	8	5	2	10	10	5	5	4	0	4	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	199	6	3	0	2	0	5	0	1	3	3	3	6	2	6	3	0	4	2	6	4	15	1	7	15	19	9	14	11	13	18	10	5	3									
		1.40%	0.99%	2.59%	0.00%	0.42%	0.00%	2.02%	0.00%	0.79%	1.14%	0.79%	2.29%	1.10%	1.39%	1.48%	2.80%	0.00%	0.89%	0.67%	1.55%	1.17%	1.54%	0.29%	1.16%	1.68%	1.66%	1.83%	2.01%	1.48%	2.20%	2.30%	2.22%	0.89%	1.24%									
