Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Октябрьская городская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043					
1	"Число избирателей, внесенных в списки избирателей"	21143	460	591	571	944	1395	1278	1496	1037	1086	1225	692	694	691	719	1370	1346	1251	901	982	1197	1217					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17000	400	500	500	800	1100	1000	1200	800	1000	1000	500	500	500	600	1000	1000	1000	800	800	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9962	210	266	234	342	706	692	819	565	613	502	324	263	249	306	580	638	632	460	399	581	581					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1701	50	54	164	165	89	55	52	85	44	84	61	72	89	71	51	92	86	29	105	91	112					
6	Число погашенных избирательных бюллетеней	5337	140	180	102	293	305	253	329	150	343	414	115	165	162	223	369	270	282	311	296	328	307					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1701	50	54	164	165	89	55	52	85	44	84	61	72	89	71	51	92	86	29	105	91	112					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9962	210	266	234	342	706	692	819	565	613	502	324	263	249	306	580	638	632	460	399	581	581					
9	Число недействительных избирательных бюллетеней	67	1	5	3	1	3	0	5	7	2	3	1	1	2	2	5	5	8	5	0	5	3					
10	Число действительных избирательных бюллетеней	11596	259	315	395	506	792	747	866	643	655	583	384	334	336	375	626	725	710	484	504	667	690					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	480	10	10	10	20	30	30	30	20	20	30	20	20	20	20	30	30	30	20	20	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	239	4	6	4	6	16	17	21	17	20	11	9	8	4	13	13	11	8	14	4	21	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	209	10	7	3	9	15	6	16	13	19	8	8	4	15	11	9	8	8	6	9	13	12					
14	Число погашенных неиспользованных открепительных удостоверений	241	6	4	6	14	14	13	9	3	0	19	11	12	16	7	17	19	22	6	16	9	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	155	2	3	1	9	9	10	13	9	11	2	4	3	3	6	7	13	10	3	10	14	13					
		1.33%	0.77%	0.94%	0.25%	1.78%	1.13%	1.34%	1.49%	1.38%	1.67%	0.34%	1.04%	0.90%	0.89%	1.59%	1.11%	1.78%	1.39%	0.61%	1.98%	2.08%	1.88%					
19	2.Всероссийская политическая партия «Гражданская Сила»	75	0	4	0	4	7	7	5	6	4	2	1	4	1	0	7	6	4	3	1	2	7					
		0.64%	0.00%	1.25%	0.00%	0.79%	0.88%	0.94%	0.57%	0.92%	0.61%	0.34%	0.26%	1.19%	0.30%	0.00%	1.11%	0.82%	0.56%	0.61%	0.20%	0.30%	1.01%					
20	3.Политическая партия «Демократическая партия России»	12	0	0	0	0	3	1	0	0	0	2	0	0	1	0	1	0	0	1	1	2	0					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.38%	0.13%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.30%	0.00%	0.16%	0.00%	0.00%	0.20%	0.20%	0.30%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1932	33	44	28	52	136	140	158	101	97	87	41	37	42	52	107	195	150	95	111	104	122					
		16.57%	12.69%	13.75%	7.04%	10.26%	17.11%	18.74%	18.14%	15.54%	14.76%	14.85%	10.65%	11.04%	12.43%	13.79%	16.96%	26.71%	20.89%	19.43%	22.02%	15.48%	17.60%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	93	3	0	9	2	5	5	7	11	3	3	8	2	2	3	7	2	3	2	6	4	6					
		0.80%	1.15%	0.00%	2.26%	0.39%	0.63%	0.67%	0.80%	1.69%	0.46%	0.51%	2.08%	0.60%	0.59%	0.80%	1.11%	0.27%	0.42%	0.41%	1.19%	0.60%	0.87%					
23	6.Политическая партия «Партия социальной справедливости»	14	1	0	0	0	1	1	1	0	2	1	0	3	1	0	2	0	0	1	0	0	0					
		0.12%	0.38%	0.00%	0.00%	0.00%	0.13%	0.13%	0.11%	0.00%	0.30%	0.17%	0.00%	0.90%	0.30%	0.00%	0.32%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1215	30	42	36	53	81	77	102	80	89	63	37	26	38	36	70	49	71	62	46	59	68					
		10.42%	11.54%	13.13%	9.05%	10.45%	10.19%	10.31%	11.71%	12.31%	13.55%	10.75%	9.61%	7.76%	11.24%	9.55%	11.09%	6.71%	9.89%	12.68%	9.13%	8.78%	9.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1136	32	19	31	34	92	99	71	73	74	36	45	47	29	31	67	66	72	46	44	38	90					
		9.74%	12.31%	5.94%	7.79%	6.71%	11.57%	13.25%	8.15%	11.23%	11.26%	6.14%	11.69%	14.03%	8.58%	8.22%	10.62%	9.04%	10.03%	9.41%	8.73%	5.65%	12.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	54	1	3	1	5	2	5	3	3	2	2	3	4	3	0	4	2	2	4	1	1	3					
		0.46%	0.38%	0.94%	0.25%	0.99%	0.25%	0.67%	0.34%	0.46%	0.30%	0.34%	0.78%	1.19%	0.89%	0.00%	0.63%	0.27%	0.28%	0.82%	0.20%	0.15%	0.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6841	155	200	287	341	452	397	499	353	368	383	244	206	215	245	351	385	396	265	284	437	378					
		58.66%	59.62%	62.50%	72.11%	67.26%	56.86%	53.15%	57.29%	54.31%	56.01%	65.36%	63.38%	61.49%	63.61%	64.99%	55.63%	52.74%	55.15%	54.19%	56.35%	65.03%	54.55%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	69	2	0	2	6	4	5	7	7	5	2	1	2	1	2	3	7	2	2	0	6	3					
		0.59%	0.77%	0.00%	0.50%	1.18%	0.50%	0.67%	0.80%	1.08%	0.76%	0.34%	0.26%	0.60%	0.30%	0.53%	0.48%	0.96%	0.28%	0.41%	0.00%	0.89%	0.43%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
