Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
"Наименование Избирательной комиссии:    Орел, Северная "																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №741									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56046	2570	2907	1243	2191	2397	1839	2712	2682	2241	2175	2103	2359	2193	2626	2335	2359	2438	2469	2206	2006	941	2277	2584	2468	1528	197									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55247	2500	2900	1200	2200	2400	1800	2700	2600	2200	2100	2100	2300	2200	2600	2300	2300	2400	2400	2200	2000	950	2200	2500	2500	1500	197									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22508	827	1266	599	831	866	680	1163	1094	1006	816	943	976	836	1077	836	996	902	1018	991	928	383	894	1070	964	453	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	702	38	21	42	20	27	14	7	25	35	13	21	13	32	22	22	16	26	27	10	23	13	36	39	17	50	93									
6	Число погашенных избирательных бюллетеней	32037	1635	1613	559	1349	1507	1106	1530	1481	1159	1271	1136	1311	1332	1501	1442	1288	1472	1355	1199	1049	554	1270	1391	1519	997	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	702	38	21	42	20	27	14	7	25	35	13	21	13	32	22	22	16	26	27	10	23	13	36	39	17	50	93									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22484	827	1266	599	831	857	680	1163	1094	1006	813	943	972	836	1074	836	992	902	1018	991	928	383	894	1070	963	453	93									
9	Число недействительных избирательных бюллетеней	712	31	23	15	28	24	32	44	39	22	29	29	29	25	27	20	38	41	47	34	17	14	23	34	33	10	4									
10	Число действительных избирательных бюллетеней	22474	834	1264	626	823	860	662	1126	1080	1019	797	935	956	843	1069	838	970	887	998	967	934	382	907	1075	947	493	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1280	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	80	50	50	50	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	482	26	29	5	14	16	4	29	15	16	17	23	16	23	17	16	21	13	21	27	16	9	51	23	23	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	313	17	13	3	9	0	9	5	18	12	12	11	13	7	11	12	44	9	22	10	32	12	12	8	5	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	798	24	21	45	36	34	46	21	35	34	33	27	34	27	33	34	29	37	29	23	34	41	29	27	27	38	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	2	0	1	4	3	0	1	1	4	0	4	2	2	2	2	1	3	2	3	1	1	5	2	4	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	401	17	36	8	14	15	8	27	22	13	9	22	12	9	8	21	15	18	9	26	11	4	16	24	20	14	3									
		1.73%	1.97%	2.80%	1.25%	1.65%	1.70%	1.15%	2.31%	1.97%	1.25%	1.09%	2.28%	1.22%	1.04%	0.73%	2.45%	1.49%	1.94%	0.86%	2.60%	1.16%	1.01%	1.72%	2.16%	2.04%	2.78%	1.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1015	32	46	26	37	39	22	63	48	67	41	54	52	43	43	30	42	45	53	33	38	14	33	52	31	19	12									
		4.38%	3.70%	3.57%	4.06%	4.35%	4.41%	3.17%	5.38%	4.29%	6.44%	4.96%	5.60%	5.28%	4.95%	3.92%	3.50%	4.17%	4.85%	5.07%	3.30%	3.99%	3.54%	3.55%	4.69%	3.16%	3.78%	6.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	510	15	24	12	21	23	13	28	22	25	13	25	22	21	36	25	16	22	31	30	8	7	24	19	14	13	1									
