Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Курманаевская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692					
1	"Число избирателей, внесенных в списки избирателей"	16540	1835	1946	121	867	565	125	1313	103	398	288	148	280	681	39	47	43	1020	965	109	165	137	191	578	134	406	568	98	475	218	427	365	1190	534	161					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16527	1813	1950	113	860	576	126	1321	104	400	286	145	269	691	39	47	43	1025	962	111	163	136	191	577	134	409	567	99	473	217	427	363	1194	535	161					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8732	978	939	90	400	310	93	746	56	193	134	72	142	300	32	35	29	453	492	91	96	84	110	349	82	237	335	62	235	103	213	215	665	244	117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1075	42	37	7	38	24	1	60	20	28	41	8	15	49	0	1	0	84	93	5	12	10	11	15	11	51	51	21	69	40	45	43	65	72	6					
6	Число погашенных избирательных бюллетеней	6720	793	974	16	422	242	32	515	28	179	111	65	112	342	7	11	14	488	377	15	55	42	70	213	41	121	181	16	169	74	169	105	464	219	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1075	42	37	7	38	24	1	60	20	28	41	8	15	49	0	1	0	84	93	5	12	10	11	15	11	51	51	21	69	40	45	43	65	72	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8732	978	939	90	400	310	93	746	56	193	134	72	142	300	32	35	29	453	492	91	96	84	110	349	82	237	335	62	235	103	213	215	665	244	117					
9	Число недействительных избирательных бюллетеней	72	3	8	0	3	3	0	7	0	4	1	0	0	8	0	0	0	6	2	0	0	0	0	4	0	5	1	0	3	4	5	2	1	2	0					
10	Число действительных избирательных бюллетеней	9735	1017	968	97	435	331	94	799	76	217	174	80	157	341	32	36	29	531	583	96	108	94	121	360	93	283	385	83	301	139	253	256	729	314	123					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	10	10	2	5	5	2	10	2	3	3	2	3	5	2	2	2	10	10	2	5	2	3	5	2	4	5	2	5	3	5	2	10	5	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	60	10	10	0	2	3	2	3	0	3	2	0	1	1	0	0	0	1	7	2	0	0	0	2	1	0	0	0	1	0	0	2	5	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	63	6	7	7	1	2	0	2	0	0	3	2	12	0	0	0	0	4	0	0	2	0	0	2	1	1	0	0	6	1	1	0	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	90	0	0	2	3	2	0	7	2	0	1	2	2	4	2	2	2	9	3	0	5	2	3	3	1	4	5	2	4	3	5	0	5	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	504	29	37	1	10	31	5	13	2	10	4	3	6	20	0	2	0	26	26	2	2	2	5	21	2	15	21	3	13	16	18	12	96	34	17					
		5.14%	2.84%	3.79%	1.03%	2.28%	9.28%	5.32%	1.61%	2.63%	4.52%	2.29%	3.75%	3.82%	5.73%	0.00%	5.56%	0.00%	4.84%	4.44%	2.08%	1.85%	2.13%	4.13%	5.77%	2.15%	5.21%	5.44%	3.61%	4.28%	11.19%	6.98%	4.65%	13.15%	10.76%	13.82%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	7	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	2	0	1	0	2	0	1	0	2					
		0.28%	0.69%	0.41%	0.00%	0.23%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.93%	1.06%	0.00%	0.27%	0.00%	0.00%	0.52%	0.00%	0.33%	0.00%	0.78%	0.00%	0.14%	0.00%	1.63%					
20	3.Политическая партия «Демократическая партия России»	9	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0					
