Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Притобольная																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11848	1180	1055	1091	514	804	577	581	347	535	459	278	295	407	131	84	374	183	390	215	276	123	78	140	574	669	164	324									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12090	1160	1080	1110	510	820	590	590	350	530	460	300	310	430	130	90	400	180	430	220	280	120	80	140	590	700	160	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4913	397	414	420	179	266	240	279	141	210	175	131	143	146	60	43	128	81	202	106	145	61	39	70	292	328	78	139									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	918	49	25	26	20	73	53	35	33	67	41	53	58	24	26	9	67	4	35	19	20	15	6	18	22	45	6	69									
6	Число погашенных избирательных бюллетеней	6259	714	641	664	311	481	297	276	176	253	244	116	109	260	44	38	205	95	193	95	115	44	35	52	276	327	76	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	918	49	25	26	20	73	53	35	33	67	41	53	58	24	26	9	67	4	35	19	20	15	6	18	22	45	6	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4912	397	414	420	179	266	240	279	141	210	174	131	143	146	60	43	128	81	202	106	145	61	39	70	292	328	78	139									
9	Число недействительных избирательных бюллетеней	85	11	7	4	3	9	4	3	0	1	2	1	4	1	0	0	2	4	2	0	2	1	0	1	4	10	4	5									
10	Число действительных избирательных бюллетеней	5745	435	432	442	196	330	289	311	174	276	213	183	197	169	86	52	193	81	235	125	163	75	45	87	310	363	80	203									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	449	30	20	15	5	30	20	20	40	20	15	17	15	20	3	3	20	10	50	10	10	3	3	3	15	30	12	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	266	2	6	7	0	15	18	15	9	5	4	17	15	20	0	3	20	4	33	10	10	3	2	3	5	30	0	10									
