Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Чернушинская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341					
1	"Число избирателей, внесенных в список избирателей"	40567	2004	1603	2018	1081	1698	684	1516	1141	1255	1620	1625	1538	1530	1368	1748	1583	751	1302	1607	429	469	293	681	863	898	486	655	647	272	309	330	1172	640	890	1005	718	311	589	293	509	436					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35350	1750	1400	1700	950	1450	600	1350	1000	1100	1350	1400	1350	1350	1200	1500	1400	650	1150	1350	350	400	250	600	750	800	450	600	550	250	250	300	1000	550	800	900	650	300	500	250	450	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	16	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19738	819	781	838	484	713	378	905	654	655	910	867	722	775	716	885	854	349	719	832	260	244	156	229	389	292	215	250	324	119	189	199	524	311	382	430	370	176	285	111	212	215					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2549	57	53	75	39	64	8	27	20	52	71	54	39	65	31	69	37	15	21	73	15	72	27	164	97	203	86	126	36	53	21	23	66	41	145	217	70	22	58	33	46	58					
6	Число погашенных избирательных бюллетеней	13028	874	566	787	427	673	214	418	326	393	369	479	589	510	453	546	509	286	410	445	75	84	67	202	257	305	149	217	190	78	40	78	410	198	273	253	210	102	157	106	176	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2584	57	53	75	39	64	8	27	20	52	71	54	39	65	31	69	37	15	21	73	15	72	27	169	104	203	86	133	36	53	21	23	66	41	145	217	70	22	58	33	62	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19731	818	781	838	484	713	378	905	654	655	910	865	722	775	715	884	854	349	719	832	260	244	156	229	389	292	215	250	324	119	189	199	524	311	382	428	370	176	285	111	212	215					
9	Число недействительных избирательных бюллетеней	419	12	17	25	4	22	4	19	10	15	19	23	14	10	18	21	11	11	17	27	3	0	2	10	8	11	6	4	7	1	1	0	8	7	12	11	9	1	11	2	4	2					
10	Число действительных избирательных бюллетеней	21896	863	817	888	519	755	382	913	664	692	962	896	747	830	728	932	880	353	723	878	272	316	181	388	485	484	295	379	353	171	209	222	582	345	515	634	431	197	332	142	270	271					
