Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Mихайловская																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79									
1	Число избирателей, внесенных в списки	29980	1495	1184	1202	829	822	1181	905	1074	255	727	593	765	1076	1050	1044	441	793	525	502	215	1033	460	124	93	502	102	1023	184	88	205	152	450	287	198	132	966	248	333	284	154	227	144	450	78	178	325	358	234	406	489	353	75	405	186	87	204	367	325	316	1077									
2	Число бюллетеней, полученных участковыми комиссиями	29529	1461	1131	1188	790	810	1133	886	1008	253	720	582	758	1070	1040	1015	430	782	535	512	220	1030	470	125	90	495	107	1000	183	85	217	149	445	291	195	130	965	249	330	282	152	225	143	445	77	171	320	355	230	405	485	345	94	400	175	85	195	370	320	305	1070									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	14531	665	528	677	352	385	471	388	448	192	298	276	346	380	456	434	203	342	270	364	115	632	252	62	54	255	36	459	76	50	62	90	185	119	144	78	397	138	158	235	111	117	84	262	54	98	173	167	158	198	225	205	26	313	94	56	75	208	153	230	452									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	1661	56	29	26	24	16	9	13	20	0	10	11	23	0	0	7	6	0	22	17	18	15	53	13	6	47	51	123	57	25	59	33	103	51	15	13	65	73	40	0	0	45	10	6	3	12	55	51	0	33	18	38	49	20	55	20	77	0	0	4	16									
6	Число погашенных бюллетеней	13337	740	574	485	414	409	653	485	540	61	412	295	389	690	584	574	221	440	243	131	87	383	165	50	30	193	20	418	50	10	96	26	157	121	36	39	503	38	132	47	41	63	49	177	20	61	92	137	72	174	242	102	19	67	26	9	43	162	167	71	602									
7	Число бюллетеней в переносных ящиках для голосования	1659	56	29	26	24	16	9	13	20	0	10	11	23	0	0	7	6	0	22	17	18	15	53	13	6	47	50	123	57	25	59	33	103	51	15	13	65	73	40	0	0	45	10	6	3	12	54	51	0	33	18	38	49	20	55	20	77	0	0	4	16									
8	Число бюллетеней в стационарных ящиках для голосования	14529	665	528	677	352	384	471	388	448	192	298	276	346	380	456	434	203	342	270	364	115	632	252	62	54	254	36	459	76	50	62	90	185	119	144	78	397	138	158	235	111	117	84	262	54	98	173	167	158	198	225	205	26	313	94	56	75	208	153	230	452									
9	Число недействительных бюллетеней	278	1	4	7	12	10	4	6	7	6	6	4	7	5	11	9	9	5	13	1	0	16	1	2	2	5	2	5	1	1	0	4	11	5	0	14	8	0	5	2	0	1	2	11	0	2	0	4	3	2	2	6	0	7	2	1	3	7	1	5	8									
10	Число действительных бюллетеней	15910	720	553	696	364	390	476	395	461	186	302	283	362	375	445	432	200	337	279	380	133	631	304	73	58	296	84	577	132	74	121	119	277	165	159	77	454	211	193	233	111	161	92	257	57	108	227	214	155	229	241	237	75	326	147	75	149	201	152	229	460									
11	Число открепительных удостоверений, полученных участковыми комиссиями	599	30	20	25	16	18	22	18	20	4	15	12	15	20	20	20	10	15	10	10	5	20	10	3	3	10	2	20	4	2	4	3	10	6	4	3	19	5	7	6	3	5	3	9	1	3	7	7	5	8	10	8	2	9	4	2	5	10	6	6	20									
12	Число открепительных удостоверений, выданных участковыми комиссиями	78	8	2	7	4	4	3	1	2	0	4	3	1	2	3	1	1	0	2	5	0	0	6	0	2	2	1	2	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3									
13	Число избирателей, проголосовавших по открепительным удостоверениям	76	0	1	4	0	2	3	0	2	0	0	1	1	0	0	0	3	3	0	0	0	2	9	1	1	1	1	5	0	5	0	1	1	0	3	0	2	1	1	1	1	0	2	2	0	0	2	2	1	0	0	1	1	3	1	2	1	0	1	1	0									
14	Число погашенных открепительных удостоверений	521	22	18	18	12	14	19	17	18	4	11	9	14	18	17	19	9	15	8	5	5	20	4	3	1	8	1	18	4	2	4	3	10	6	3	2	17	4	6	6	3	5	3	8	1	2	7	7	5	8	10	8	2	9	4	1	5	10	6	6	17									
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	218	5	0	2	1	5	5	5	3	3	2	4	5	5	11	9	1	3	2	0	4	8	8	0	2	1	1	14	1	0	4	1	5	5	2	0	10	2	4	3	0	2	0	10	0	6	7	5	0	0	6	5	2	4	5	2	4	2	3	5	4									
