Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Солтонская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6991	267	117	1093	1209	133	126	357	188	602	971	211	787	86	115	556	173									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7015	265	115	1100	1215	135	125	360	185	610	975	210	790	85	110	560	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2827	108	59	414	470	52	70	173	101	236	429	75	278	42	38	219	63									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	318	15	1	32	61	13	1	14	5	33	52	28	21	5	2	27	8									
6	Число погашенных избирательных бюллетеней	3870	142	55	654	684	70	54	173	79	341	494	107	491	38	70	314	104									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	318	15	1	32	61	13	1	14	5	33	52	28	21	5	2	27	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2827	108	59	414	470	52	70	173	101	236	429	75	278	42	38	219	63									
9	Число недействительных избирательных бюллетеней	78	5	1	4	16	0	0	7	1	7	17	2	8	0	1	9	0									
10	Число действительных избирательных бюллетеней	3067	118	59	442	515	65	71	180	105	262	464	101	291	47	39	237	71									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	83	2	2	15	15	2	2	5	2	5	10	2	10	2	2	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	39	0	0	14	9	1	0	1	2	0	3	2	3	0	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	2	2	5	2	1	3	2	2	1	9	3	2	1	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	44	2	2	1	6	1	2	4	0	5	7	0	7	2	2	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	1	0	4	4	0	0	1	0	3	4	0	4	0	0	5	0									
		0.83%	0.81%	0.00%	0.90%	0.75%	0.00%	0.00%	0.53%	0.00%	1.12%	0.83%	0.00%	1.34%	0.00%	0.00%	2.03%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	176	12	6	19	33	2	7	14	4	9	21	7	19	2	2	15	4									
		5.60%	9.76%	10.00%	4.26%	6.21%	3.08%	9.86%	7.49%	3.77%	3.35%	4.37%	6.80%	6.35%	4.26%	5.00%	6.10%	5.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	53	1	1	10	3	2	1	5	3	6	7	1	5	0	1	7	0									
		1.69%	0.81%	1.67%	2.24%	0.56%	3.08%	1.41%	2.67%	2.83%	2.23%	1.46%	0.97%	1.67%	0.00%	2.50%	2.85%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1246	30	27	159	157	34	19	84	52	130	225	58	142	28	4	67	30									
		39.62%	24.39%	45.00%	35.65%	29.57%	52.31%	26.76%	44.92%	49.06%	48.33%	46.78%	56.31%	47.49%	59.57%	10.00%	27.24%	42.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	2									
		0.19%	0.00%	1.67%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.41%	2.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	500	9	9	65	82	11	8	24	19	39	95	16	45	9	14	45	10									
		15.90%	7.32%	15.00%	14.57%	15.44%	16.92%	11.27%	12.83%	17.92%	14.50%	19.75%	15.53%	15.05%	19.15%	35.00%	18.29%	14.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	0	0	5	0	0	1	0	0	1	1	0	1	0	1	0									
		0.32%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.53%	0.00%	0.00%	0.21%	0.97%	0.00%	2.13%	0.00%	0.41%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	1	0	0	2	0	1	1	0	2	2	1	0	0	0	1	0									
		0.35%	0.81%	0.00%	0.00%	0.38%	0.00%	1.41%	0.53%	0.00%	0.74%	0.42%	0.97%	0.00%	0.00%	0.00%	0.41%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0									
