Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Троицко-Печорская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №680									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11871	115	816	738	267	158	390	173	375	180	578	279	549	1883	1021	163	798	1600	622	90	271	284	81	428	12									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10940	100	800	600	200	150	350	150	350	150	500	250	540	1700	1000	150	750	1500	600	80	250	250	60	400	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	110	26	0	20	0	0	0	0	5	0	14	0	0	0	0	0	0	0	0	0	9	0	0	36	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4560	52	366	281	89	73	159	69	172	75	242	91	131	596	353	72	302	756	224	41	121	86	42	158	9									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	342	0	43	9	20	2	9	7	22	12	15	28	13	32	10	2	20	25	44	6	10	2	0	11	0									
6	Число погашенных избирательных бюллетеней	5928	22	391	290	91	75	182	74	151	63	229	131	396	1072	637	76	428	719	332	33	110	162	18	195	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	452	26	43	29	20	2	9	7	27	12	29	28	13	32	10	2	20	25	44	6	19	2	0	47	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4558	52	366	281	89	73	159	69	170	75	242	91	131	596	353	72	302	756	224	41	121	86	42	158	9									
9	Число недействительных избирательных бюллетеней	178	0	16	23	1	0	6	0	3	1	10	4	5	16	13	2	12	27	15	1	4	2	0	15	2									
10	Число действительных избирательных бюллетеней	4832	78	393	287	108	75	162	76	194	86	261	115	139	612	350	72	310	754	253	46	136	86	42	190	7									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	423	5	30	30	15	5	20	5	15	5	30	10	20	40	20	15	30	40	30	10	10	10	5	20	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	119	1	14	9	4	2	0	5	2	3	6	2	6	8	6	2	5	20	14	7	2	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	4	3	4	0	0	0	1	2	0	1	0	5	8	2	4	5	8	4	3	5	2	2	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	304	4	16	21	11	3	20	0	13	2	24	8	14	32	14	13	25	20	16	3	8	10	5	19	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	1	2	1	0	0	1	2	0	0	0	5	6	2	0	3	4	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	0	8	1	3	1	3	0	8	2	6	2	5	12	7	2	3	6	8	0	0	2	0	2	0									
		1.62%	0.00%	1.96%	0.32%	2.75%	1.33%	1.79%	0.00%	4.06%	2.30%	2.21%	1.68%	3.47%	1.91%	1.93%	2.70%	0.93%	0.77%	2.99%	0.00%	0.00%	2.27%	0.00%	0.98%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	223	2	14	19	5	5	10	2	15	3	9	4	6	34	18	2	13	29	5	2	10	0	2	14	0									
		4.45%	2.56%	3.42%	6.13%	4.59%	6.67%	5.95%	2.63%	7.61%	3.45%	3.32%	3.36%	4.17%	5.41%	4.96%	2.70%	4.04%	3.71%	1.87%	4.26%	7.14%	0.00%	4.76%	6.83%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	200	3	20	11	2	2	5	1	8	3	11	7	4	33	13	5	15	22	9	3	8	5	0	10	0									
		3.99%	3.85%	4.89%	3.55%	1.83%	2.67%	2.98%	1.32%	4.06%	3.45%	4.06%	5.88%	2.78%	5.25%	3.58%	6.76%	4.66%	2.82%	3.36%	6.38%	5.71%	5.68%	0.00%	4.88%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1950	30	163	114	34	31	78	47	88	39	102	50	48	205	136	24	113	303	124	26	70	34	19	69	3									
		38.92%	38.46%	39.85%	36.77%	31.19%	41.33%	46.43%	61.84%	44.67%	44.83%	37.64%	42.02%	33.33%	32.64%	37.47%	32.43%	35.09%	38.80%	46.27%	55.32%	50.00%	38.64%	45.24%	33.66%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	2	3	3	1	0	0	0	1	0	3	0	1	5	2	0	3	5	0	2	1	0	0	1	0									
		0.66%	2.56%	0.73%	0.97%	0.92%	0.00%	0.00%	0.00%	0.51%	0.00%	1.11%	0.00%	0.69%	0.80%	0.55%	0.00%	0.93%	0.64%	0.00%	4.26%	0.71%	0.00%	0.00%	0.49%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	0	0	0	1	0	0	0	0	2	1	0	0	2	0	0	3	1	0	0	0	0	0	0									
		0.20%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%	0.74%	0.84%	0.00%	0.00%	0.55%	0.00%	0.00%	0.38%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1129	32	63	66	26	23	32	17	36	21	65	32	31	167	91	24	75	150	69	9	26	16	17	41	0									
		22.53%	41.03%	15.40%	21.29%	23.85%	30.67%	19.05%	22.37%	18.27%	24.14%	23.99%	26.89%	21.53%	26.59%	25.07%	32.43%	23.29%	19.21%	25.75%	19.15%	18.57%	18.18%	40.48%	20.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	0	2	4	0	0	0	0	0	0	2	0	0	1	0	0	1	2	0	1	1	0	0	0	0									
		0.28%	0.00%	0.49%	1.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.16%	0.00%	0.00%	0.31%	0.26%	0.00%	2.13%	0.71%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	0	6	3	3	0	0	1	1	1	3	1	1	3	1	1	4	8	3	0	0	0	0	4	0									
		0.88%	0.00%	1.47%	0.97%	2.75%	0.00%	0.00%	1.32%	0.51%	1.15%	1.11%	0.84%	0.69%	0.48%	0.28%	1.35%	1.24%	1.02%	1.12%	0.00%	0.00%	0.00%	0.00%	1.95%	0.00%									
