Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Нефтеюганская городская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343					
1	"Число избирателей, внесенных в список"	74292	2941	2718	1925	1372	2457	2583	2141	3141	1820	2277	1172	2486	2881	2948	2681	2563	744	987	1526	1580	2846	1877	2517	2896	2408	2800	2944	2645	3543	2589	3158	1126					
2	Число полученных избирательных бюллетеней	73700	2900	2800	2000	1400	2400	2400	2200	3000	1800	2400	1900	2500	2900	2900	2600	2500	800	1000	1500	1600	2700	1800	2500	2800	2300	2900	2900	2600	3200	2500	3000	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42606	1580	1565	1230	818	1442	1538	1229	1647	1060	1339	1106	1441	1654	1700	1497	1380	519	471	738	857	1298	809	1458	1700	1368	1752	1674	1498	2233	1415	1893	697					
5	"Число избирательных бюллетеней, выданных вне помещения"	743	17	23	24	5	41	22	17	245	8	15	66	5	15	11	8	10	0	38	2	5	17	8	10	14	14	16	6	22	26	16	12	5					
6	Число погашенных избирательных бюллетеней	30351	1303	1212	746	577	917	840	954	1108	732	1046	728	1054	1231	1189	1095	1110	281	491	760	738	1385	983	1032	1086	918	1132	1220	1080	941	1069	1095	298					
7	Число избирательных бюллетеней в переносных ящиках	741	17	23	24	5	41	22	17	245	8	15	66	5	15	11	8	10	0	38	2	5	17	8	10	14	14	16	6	20	26	16	12	5					
8	Число бюллетеней в стационарных ящиках для голосования	42597	1580	1565	1229	817	1442	1536	1228	1647	1060	1339	1106	1441	1654	1698	1497	1379	519	471	738	857	1298	809	1458	1700	1368	1752	1674	1498	2233	1415	1893	696					
9	Число недействительных избирательных бюллетеней	282	17	3	15	5	14	6	14	11	9	2	3	9	6	10	14	15	5	2	1	5	20	5	13	12	12	8	7	11	8	8	7	5					
10	Число действительных избирательных бюллетеней	43056	1580	1585	1238	817	1469	1552	1231	1881	1059	1352	1169	1437	1663	1699	1491	1374	514	507	739	857	1295	812	1455	1702	1370	1760	1673	1507	2251	1423	1898	696					
11	Число полученных открепительных  удостоверений	927	36	26	31	15	31	31	32	31	31	31	31	31	31	31	31	31	11	8	31	31	31	31	32	41	21	31	31	31	31	39	31	15					
