Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Кологривская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №128	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176					
1	"Число избирателей, внесенных в списки"	6857	424	287	279	150	295	192	324	132	198	160	341	422	1223	445	1549	301	135					
2	"Число бюллетеней, полученных участковыми комиссиями"	6781	414	285	282	159	299	193	335	137	200	172	346	424	1186	442	1474	296	137					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3510	236	155	130	102	173	111	179	75	95	108	141	214	646	238	702	127	78					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	423	9	32	37	14	11	0	23	10	10	9	54	16	37	10	97	29	25					
6	Число погашенных бюллетеней	2848	169	98	115	43	115	82	133	52	95	55	151	194	503	194	675	140	34					
7	Число бюллетеней в переносных ящиках для голосования	423	9	32	37	14	11	0	23	10	10	9	54	16	37	10	97	29	25					
8	Число бюллетеней в стационарных ящиках для голосования	3510	236	155	130	102	173	111	179	75	95	108	141	214	646	238	702	127	78					
9	Число недействительных бюллетеней	53	4	1	3	1	1	4	6	0	2	2	1	8	7	3	9	1	0					
10	Число действительных бюллетеней	3880	241	186	164	115	183	107	196	85	103	115	194	222	676	245	790	155	103					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	83	3	3	3	5	8	3	7	3	3	3	5	7	9	7	8	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	3	1	0	3	3	0	1	3	0	1	1	1	6	1	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	0	1	0	2	0	0	0	3	0	1	0	1	1	0	1	1	2					
14	Число погашенных открепительных удостоверений	54	0	2	3	2	5	3	6	0	3	2	4	6	3	6	3	3	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	70	4	4	5	1	1	6	8	1	1	2	1	4	7	4	14	4	3					
