Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Нижнедевицкая																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15789	2070	2016	797	534	279	409	210	333	715	295	338	369	383	268	295	459	171	458	293	113	325	368	523	92	411	484	412	250	183	235	415	491	525	270									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16110	2090	2080	800	555	290	420	215	345	730	295	350	375	380	285	300	465	180	475	295	120	310	360	535	100	425	500	430	260	190	240	425	490	530	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8479	1581	1406	569	318	137	131	95	152	289	138	180	248	206	76	95	159	93	202	82	60	179	153	207	63	157	221	248	115	78	127	204	265	155	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3691	187	204	67	111	100	98	53	106	118	124	80	58	78	109	120	122	53	129	141	36	80	160	101	23	149	184	109	102	72	73	72	134	203	135									
6	Число погашенных избирательных бюллетеней	3940	322	470	164	126	53	191	67	87	323	33	90	69	96	100	85	184	34	144	72	24	51	47	227	14	119	95	73	43	40	40	149	91	172	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3691	187	204	67	111	100	98	53	106	118	124	80	58	78	109	120	122	53	129	141	36	80	160	101	23	149	184	109	102	72	73	72	134	203	135									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8479	1581	1406	569	318	137	131	95	152	289	138	180	248	206	76	95	159	93	202	82	60	179	153	207	63	157	221	248	115	78	127	204	265	155	90									
9	Число недействительных избирательных бюллетеней	66	2	8	5	1	0	0	0	4	0	1	7	0	3	1	0	7	0	0	0	0	2	8	2	0	2	2	2	1	0	0	4	2	0	2									
10	Число действительных избирательных бюллетеней	12104	1766	1602	631	428	237	229	148	254	407	261	253	306	281	184	215	274	146	331	223	96	257	305	306	86	304	403	355	216	150	200	272	397	358	223									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	363	29	27	15	9	8	11	8	10	11	8	10	9	10	18	6	10	6	10	8	11	9	9	9	7	10	12	10	8	7	8	10	11	11	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	338	29	27	15	9	8	11	8	10	11	0	10	9	10	18	6	10	6	10	8	11	7	2	9	7	10	12	10	8	7	8	10	3	11	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	7	1	5	0	3	3	0	1	0	1	0	2	3	6	0	3	1	2	3	5	15	1	4	2	1	3	1	1	0	1	0	0	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	25	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	8	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	7	7	3	2	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	3	8	5	2	3	5	2	4	3	0	2	0	2	0	0	0	0	5	0	0	1	0	2	0	2	2	0	0	1	0	1	4	7	0									
		0.53%	0.17%	0.50%	0.79%	0.47%	1.27%	2.18%	1.35%	1.55%	0.74%	0.00%	0.77%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	1.51%	0.00%	0.00%	0.39%	0.00%	0.65%	0.00%	0.65%	0.49%	0.00%	0.00%	0.67%	0.00%	0.36%	1.00%	1.96%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	201	3	22	14	10	5	4	1	2	9	2	12	5	9	1	3	1	1	5	3	6	6	1	9	0	14	10	8	0	1	0	13	7	5	9									
		1.65%	0.17%	1.37%	2.20%	2.33%	2.11%	1.75%	0.68%	0.78%	2.21%	0.76%	4.62%	1.63%	3.17%	0.54%	1.40%	0.36%	0.68%	1.51%	1.35%	6.25%	2.32%	0.32%	2.92%	0.00%	4.58%	2.47%	2.24%	0.00%	0.67%	0.00%	4.71%	1.75%	1.40%	4.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	87	5	4	7	3	0	5	0	1	3	2	3	2	1	2	0	5	0	6	3	1	5	10	1	0	1	4	1	0	1	0	0	4	4	3									
		0.71%	0.28%	0.25%	1.10%	0.70%	0.00%	2.18%	0.00%	0.39%	0.74%	0.76%	1.15%	0.65%	0.35%	1.08%	0.00%	1.78%	0.00%	1.81%	1.35%	1.04%	1.93%	3.19%	0.32%	0.00%	0.33%	0.99%	0.28%	0.00%	0.67%	0.00%	0.00%	1.00%	1.12%	1.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8454	1432	1140	461	270	143	148	119	192	247	209	179	182	194	116	175	176	118	153	163	59	164	215	208	74	147	280	235	163	113	170	171	275	244	119									
