Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Верхнеландеховская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370					
1	"Число избирателей, внесенных в списки избирателей"	4056	922	462	592	221	109	154	516	468	194	240	178					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4030	900	500	580	220	110	155	510	455	190	230	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2496	654	255	378	128	58	91	286	238	136	167	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	860	111	73	126	67	46	33	147	152	35	33	37					
6	Число погашенных избирательных бюллетеней	674	135	172	76	25	6	31	77	65	19	30	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	860	111	73	126	67	46	33	147	152	35	33	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2496	654	255	378	128	58	91	286	238	136	167	105					
9	Число недействительных избирательных бюллетеней	19	5	1	4	3	2	0	0	1	0	3	0					
10	Число действительных избирательных бюллетеней	3337	760	327	500	192	102	124	433	389	171	197	142					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	179	41	28	31	15	6	5	16	16	4	8	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	179	41	28	31	15	6	5	16	16	4	8	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	44	12	4	9	4	3	3	1	1	4	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	7	1	2	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	148	34	31	26	6	1	3	15	14	6	12	0					
		4.41%	4.44%	9.45%	5.16%	3.08%	0.96%	2.42%	3.46%	3.59%	3.51%	6.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	6	3	1	0	0	0	0	0	0	1	0					
		0.33%	0.78%	0.91%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	0	1	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	427	101	43	68	20	19	14	48	32	29	34	19					
		12.72%	13.20%	13.11%	13.49%	10.26%	18.27%	11.29%	11.09%	8.21%	16.96%	17.00%	13.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	2	1	2	0	0	0	2	0	0	0	0					
		0.21%	0.26%	0.30%	0.40%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	4	0	1	1	1	1	0	1	0	0	0					
		0.27%	0.52%	0.00%	0.20%	0.51%	0.96%	0.81%	0.00%	0.26%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	247	60	31	40	18	3	11	21	20	17	17	9					
		7.36%	7.84%	9.45%	7.94%	9.23%	2.88%	8.87%	4.85%	5.13%	9.94%	8.50%	6.34%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	281	90	41	57	2	4	7	23	28	8	11	10					
		8.37%	11.76%	12.50%	11.31%	1.03%	3.85%	5.65%	5.31%	7.18%	4.68%	5.50%	7.04%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	6	2	5	4	0	0	2	3	1	2	0					
		0.74%	0.78%	0.61%	0.99%	2.05%	0.00%	0.00%	0.46%	0.77%	0.58%	1.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2175	455	175	299	141	74	88	322	288	110	119	104					
		64.81%	59.48%	53.35%	59.33%	72.31%	71.15%	70.97%	74.36%	73.85%	64.33%	59.50%	73.24%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	6	2	0	1	0	0	0	0	2	0	1	0					
		0.18%	0.26%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.50%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
