Выборы Президента Российской Федерации																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499					
1	"Число избирателей, внесенных в список"	132271	2344	2471	2330	2177	1680	2195	2237	1990	1436	2113	1553	1403	2661	999	2551	1855	2458	1479	1694	1692	1971	1377	1981	1490	1401	1984	1620	1966	2303	1603	1959	2150	2173	2384	2523	2419	2250	2067	2188	2454	2361	2338	1823	2146	2274	1943	1586	2230	2085	1364	2072	1643	1612	2064	2042	2202	1719	2261	1661	2286	1744	1523	1457	1505	599	2135	1294	71	247	118	71	65	121	231	81	61	1655					
2	Число полученных избирательных бюллетеней	131600	2300	2450	2350	2200	1700	2200	2250	2000	1400	2100	1550	1400	2650	950	2550	1850	2450	1450	1650	1700	1950	1350	1950	1500	1350	2000	1600	1950	2300	1600	1900	2100	2150	2350	2500	2400	2200	2050	2150	2450	2350	2300	1800	2100	2250	1900	1600	2200	2050	1350	2050	1650	1600	2050	2000	2200	1700	2250	1650	2300	1700	1500	1400	1500	550	2100	1300	150	300	250	100	100	150	300	150	100	1650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72621	1171	1417	1315	1182	915	1149	1208	1159	549	1243	879	846	1512	490	1363	916	1249	800	908	971	1016	686	1138	889	633	1151	939	1259	1435	886	1171	1217	1207	1360	1443	1211	1095	1437	1196	1404	1441	1165	882	1209	1325	1077	879	1162	1157	558	1009	930	779	1125	1049	1314	1067	1279	861	1234	841	905	863	707	220	1077	646	71	247	118	69	61	106	214	79	59	821					
5	"Число избирательных бюллетеней, выданных вне помещения"	1959	25	11	22	17	9	25	13	26	14	16	10	29	14	14	7	16	21	26	34	13	16	26	26	9	86	9	22	46	55	49	30	38	46	21	35	12	28	5	15	18	12	11	5	18	31	21	12	17	28	12	113	30	17	5	13	4	2	13	8	9	121	46	54	89	51	171	84	0	0	0	0	0	0	0	0	0	8					
6	Число погашенных избирательных бюллетеней	57020	1104	1022	1013	1001	776	1026	1029	815	837	841	661	525	1124	446	1180	918	1180	624	708	716	918	638	786	602	631	840	639	645	810	665	699	845	897	969	1022	1177	1077	608	939	1028	897	1124	913	873	894	802	709	1021	865	780	928	690	804	920	938	882	631	958	781	1057	738	549	483	704	279	852	570	79	53	132	31	39	44	86	71	41	821					
7	Число избирательных бюллетеней в переносных ящиках	1959	25	11	22	17	9	25	13	26	14	16	10	29	14	14	7	16	21	26	34	13	16	26	26	9	86	9	22	46	55	49	30	38	46	21	35	12	28	5	15	18	12	11	5	18	31	21	12	17	28	12	113	30	17	5	13	4	2	13	8	9	121	46	54	89	51	171	84	0	0	0	0	0	0	0	0	0	8					
8	Число бюллетеней в стационарных ящиках для голосования	72587	1171	1408	1313	1181	914	1149	1207	1159	548	1242	879	845	1511	490	1363	915	1249	800	908	971	1015	686	1138	888	633	1151	939	1259	1435	886	1171	1216	1205	1360	1441	1211	1095	1436	1196	1404	1441	1165	882	1209	1325	1077	878	1160	1156	558	1008	930	779	1125	1049	1314	1065	1279	861	1234	841	905	863	707	220	1077	646	71	247	118	69	61	106	214	79	59	821					
9	Число недействительных избирательных бюллетеней	368	5	6	12	2	9	6	8	5	1	6	8	6	10	1	5	2	3	4	6	1	5	6	8	4	2	2	4	7	10	5	9	5	4	7	2	5	8	6	10	20	7	6	3	2	6	8	10	4	6	3	4	6	7	3	5	6	1	4	2	4	3	9	0	4	2	10	1	1	1	2	0	0	0	1	0	0	2					
10	Число действительных избирательных бюллетеней	74178	1191	1413	1323	1196	914	1168	1212	1180	561	1252	881	868	1515	503	1365	929	1267	822	936	983	1026	706	1156	893	717	1158	957	1298	1480	930	1192	1249	1247	1374	1474	1218	1115	1435	1201	1402	1446	1170	884	1225	1350	1090	880	1173	1178	567	1117	954	789	1127	1057	1312	1066	1288	867	1239	959	942	917	792	269	1238	729	70	246	116	69	61	106	213	79	59	827					
