Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Нарьян-Марская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56					
1	"Число избирателей, внесенных в списки"	14271	767	1462	951	1630	835	842	1446	660	1102	943	382	1609	317	1200	125					
2	"Число бюллетеней, полученных участковыми комиссиями"	11415	500	1150	700	1250	650	700	1115	600	850	800	350	1400	270	850	230					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8582	390	953	557	1058	492	461	935	385	653	566	212	999	172	691	58					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	224	35	7	5	17	8	6	14	6	14	2	11	15	4	13	67					
6	Число погашенных бюллетеней	2613	75	190	139	175	150	233	166	210	183	233	127	386	95	146	105					
7	Число бюллетеней в переносных ящиках для голосования	224	35	7	5	17	8	6	14	6	14	2	11	15	4	13	67					
8	Число бюллетеней в стационарных ящиках для голосования	8575	390	952	556	1057	492	461	932	384	653	566	212	999	172	691	58					
9	Число недействительных бюллетеней	123	4	13	11	9	8	2	8	5	16	4	8	19	4	9	3					
10	Число действительных бюллетеней	8676	421	946	550	1065	492	465	938	385	651	564	215	995	172	695	122					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	147	5	14	10	15	10	10	15	5	15	10	5	15	3	15	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	3	2	2	5	2	1	7	2	5	0	0	3	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	1	11	0	4	0	2	0	2	2	0	1	3	2	6	3					
14	Число погашенных открепительных удостоверений	113	2	12	8	10	8	9	8	3	10	10	5	12	3	13	0					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	4	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	128	11	10	13	14	3	3	10	6	10	9	6	18	2	11	2					
		1.45%	2.58%	1.04%	2.31%	1.30%	0.6%	0.64%	1.05%	1.53%	1.49%	1.58%	2.69%	1.77%	1.13%	1.56%	1.6%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	310	17	40	25	34	11	18	29	15	29	29	6	25	5	22	5					
		3.52%	4.0%	4.17%	4.45%	3.16%	2.2%	3.85%	3.06%	3.84%	4.34%	5.10%	2.69%	2.46%	2.84%	3.12%	4.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	221	17	19	10	21	13	12	22	9	14	16	11	30	7	14	6					
		2.51%	4.0%	1.98%	1.78%	1.95%	2.6%	2.56%	2.32%	2.30%	2.09%	2.81%	4.93%	2.95%	3.97%	1.98%	4.8%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	294	20	27	19	48	17	15	37	15	19	19	2	22	7	22	5					
		3.34%	4.70%	2.81%	3.38%	4.46%	3.4%	3.21%	3.91%	3.84%	2.84%	3.34%	0.89%	2.16%	3.97%	3.12%	4.0%					
22	"5. ""За Русь Святую"""	33	2	2	1	4	3	2	0	6	1	1	2	7	0	2	0					
		0.37%	0.47%	0.20%	0.17%	0.37%	0.6%	0.42%	0.0%	1.53%	0.14%	0.17%	0.89%	0.69%	0.0%	0.28%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	1	2	0	0	3	3	1	0	2	0	2	6	1	1	0					
		0.25%	0.23%	0.20%	0.0%	0.0%	0.6%	0.64%	0.10%	0.0%	0.29%	0.0%	0.89%	0.59%	0.56%	0.14%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	46	3	2	2	6	5	1	3	1	2	3	0	17	0	1	0					
		0.52%	0.70%	0.20%	0.35%	0.55%	1.0%	0.21%	0.31%	0.25%	0.29%	0.52%	0.0%	1.67%	0.0%	0.14%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	1	0	1	0	0	0	2	0	2	1	2	2	0	1	1					
		0.14%	0.23%	0.0%	0.17%	0.0%	0.0%	0.0%	0.21%	0.0%	0.29%	0.17%	0.89%	0.19%	0.0%	0.14%	0.8%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	4	4	2	7	5	1	5	2	6	6	2	4	3	2	1					
		0.61%	0.94%	0.41%	0.35%	0.65%	1.0%	0.21%	0.52%	0.51%	0.89%	1.05%	0.89%	0.39%	1.70%	0.28%	0.8%					
27	"10. ""Аграрная партия России"""	208	7	25	11	35	4	10	22	10	8	16	6	26	3	23	2					
		2.36%	1.64%	2.60%	1.96%	3.25%	0.8%	2.14%	2.32%	2.56%	1.19%	2.81%	2.69%	2.56%	1.70%	3.26%	1.6%					
28	"11. ""Истинные патриоты России"""	10	1	0	0	0	0	0	5	0	0	1	1	1	0	1	0					
		0.11%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.17%	0.44%	0.09%	0.0%	0.14%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	169	12	17	7	15	9	4	21	15	12	19	7	18	2	11	0					
		1.92%	2.82%	1.77%	1.24%	1.39%	1.8%	0.85%	2.21%	3.84%	1.79%	3.34%	3.13%	1.77%	1.13%	1.56%	0.0%					
30	"13. ""Демократическая партия России"""	25	1	0	3	1	0	1	4	0	2	4	2	3	1	2	1					
		0.28%	0.23%	0.0%	0.53%	0.09%	0.0%	0.21%	0.42%	0.0%	0.29%	0.70%	0.89%	0.29%	0.56%	0.28%	0.8%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	0	2	1	1	1	0	3	0	0	2	0	3	1	3	0					
		0.19%	0.0%	0.20%	0.17%	0.09%	0.2%	0.0%	0.31%	0.0%	0.0%	0.35%	0.0%	0.29%	0.56%	0.42%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	1	0	1	1	0	0	0	2	0	0	0	0	1	0					
		0.06%	0.0%	0.10%	0.0%	0.09%	0.2%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	528	28	62	32	64	26	31	47	23	42	45	18	61	14	33	2					
		6.00%	6.58%	6.46%	5.70%	5.95%	5.2%	6.63%	4.96%	5.89%	6.29%	7.92%	8.07%	6.01%	7.95%	4.68%	1.6%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	1	1	0	0	2	1	2	0	2	1	2	2	1	4	1					
		0.22%	0.23%	0.10%	0.0%	0.0%	0.4%	0.21%	0.21%	0.0%	0.29%	0.17%	0.89%	0.19%	0.56%	0.56%	0.8%					
35	"18. ""ЛДПР"""	1288	61	143	68	157	73	70	135	63	90	83	32	173	20	98	22					
		14.63%	14.35%	14.91%	12.12%	14.61%	14.6%	14.98%	14.27%	16.15%	13.49%	14.61%	14.34%	17.06%	11.36%	13.92%	17.6%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	705	16	91	44	93	36	26	78	40	65	42	23	83	10	48	10					
		8.01%	3.76%	9.48%	7.84%	8.65%	7.2%	5.56%	8.24%	10.25%	9.74%	7.39%	10.31%	8.18%	5.68%	6.81%	8.0%					
37	"20. ""Политическая партия ""Единая Россия"""	3113	150	358	216	372	200	197	345	112	243	175	66	332	49	262	36					
		35.37%	35.29%	37.33%	38.50%	34.63%	40.0%	42.18%	36.46%	28.71%	36.43%	30.80%	29.59%	32.74%	27.84%	37.21%	28.8%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	2	0	2	1	0	1	2	1	0	1	0	1	0	2	0					
		0.14%	0.47%	0.0%	0.35%	0.09%	0.0%	0.21%	0.21%	0.25%	0.0%	0.17%	0.0%	0.09%	0.0%	0.28%	0.0%					
39	"22. ""Развитие предпринимательства"""	25	1	2	3	2	0	1	4	2	0	0	0	6	2	1	1					
		0.28%	0.23%	0.20%	0.53%	0.18%	0.0%	0.21%	0.42%	0.51%	0.0%	0.0%	0.0%	0.59%	1.13%	0.14%	0.8%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	905	39	88	67	135	43	31	114	45	57	62	12	82	23	96	11					
		10.28%	9.17%	9.17%	11.94%	12.56%	8.6%	6.63%	12.05%	11.53%	8.54%	10.91%	5.38%	8.08%	13.06%	13.63%	8.8%					
																						
41	Против всех	523	26	50	23	54	37	37	47	20	43	29	13	73	21	34	16					
		5.94%	6.11%	5.21%	4.09%	5.02%	7.4%	7.92%	4.96%	5.12%	6.44%	5.10%	5.82%	7.19%	11.93%	4.82%	12.8%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
