Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Большеуковская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6649	664	51	56	87	403	1290	849	568	756	104	388	61	291	327	116	236	89	313									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6800	676	52	60	87	416	1314	854	584	758	105	396	63	310	337	116	260	98	314									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3169	271	31	30	67	201	594	346	255	307	56	182	34	177	195	49	150	61	163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	357	32	0	0	3	24	34	20	44	31	7	37	6	15	36	6	18	6	38									
6	Число погашенных избирательных бюллетеней	3274	373	21	30	17	191	686	488	285	420	42	177	23	118	106	61	92	31	113									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	357	32	0	0	3	24	34	20	44	31	7	37	6	15	36	6	18	6	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3169	271	31	30	67	201	594	346	255	307	56	182	34	177	195	49	150	61	163									
9	Число недействительных избирательных бюллетеней	91	8	0	2	1	3	12	16	5	11	1	7	3	3	6	3	6	2	2									
10	Число действительных избирательных бюллетеней	3435	295	31	28	69	222	616	350	294	327	62	212	37	189	225	52	162	65	199									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	15	5	5	0	10	25	20	20	20	0	10	5	20	15	5	25	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	108	1	5	0	0	10	6	7	7	9	0	6	2	20	7	0	17	10	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	0	1	2	0	4	5	0	1	2	0	1	3	3	1	1	5	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	117	14	0	5	0	0	19	13	13	11	0	4	3	0	8	5	8	0	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	0	0	0	0	11	2	1	3	0	1	0	0	2	0	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	4	0	0	2	0	6	6	1	2	1	0	1	0	2	1	0	0	1									
		0.77%	1.32%	0.00%	0.00%	2.86%	0.00%	0.96%	1.64%	0.33%	0.59%	1.59%	0.00%	2.50%	0.00%	0.87%	1.82%	0.00%	0.00%	0.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	167	14	1	0	2	14	26	15	14	17	1	23	1	3	18	1	4	2	11									
		4.74%	4.62%	3.23%	0.00%	2.86%	6.22%	4.14%	4.10%	4.68%	5.03%	1.59%	10.50%	2.50%	1.56%	7.79%	1.82%	2.38%	2.99%	5.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	11	0	0	1	4	17	8	8	9	1	4	0	3	2	0	3	0	5									
		2.16%	3.63%	0.00%	0.00%	1.43%	1.78%	2.71%	2.19%	2.68%	2.66%	1.59%	1.83%	0.00%	1.56%	0.87%	0.00%	1.79%	0.00%	2.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1782	131	19	19	52	105	315	160	140	141	34	96	23	128	119	39	92	55	114									
		50.54%	43.23%	61.29%	63.33%	74.29%	46.67%	50.16%	43.72%	46.82%	41.72%	53.97%	43.84%	57.50%	66.67%	51.52%	70.91%	54.76%	82.09%	56.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	1	0	0	1	1	0	1	1	1	0	0	0	1	1	0	8	0	1									
		0.48%	0.33%	0.00%	0.00%	1.43%	0.44%	0.00%	0.27%	0.33%	0.30%	0.00%	0.00%	0.00%	0.52%	0.43%	0.00%	4.76%	0.00%	0.50%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	1.59%	0.46%	0.00%	0.00%	0.43%	1.82%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	505	64	7	4	4	33	84	60	44	58	12	18	2	28	31	6	22	3	25									
		14.32%	21.12%	22.58%	13.33%	5.71%	14.67%	13.38%	16.39%	14.72%	17.16%	19.05%	8.22%	5.00%	14.58%	13.42%	10.91%	13.10%	4.48%	12.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	1	0	1	0	1	2	1	2	0	0	0	1	1	1	0	0	0	0									
		0.31%	0.33%	0.00%	3.33%	0.00%	0.44%	0.32%	0.27%	0.67%	0.00%	0.00%	0.00%	2.50%	0.52%	0.43%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	0	1	0	0	1	8	7	3	4	0	0	0	1	1	0	0	0	0									
		0.74%	0.00%	3.23%	0.00%	0.00%	0.44%	1.27%	1.91%	1.00%	1.18%	0.00%	0.00%	0.00%	0.52%	0.43%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0									
		0.20%	0.33%	3.23%	0.00%	0.00%	0.00%	0.32%	0.00%	0.67%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	1	0	0	0	1	12	5	1	2	0	0	0	0	1	0	0	0	1									
		0.68%	0.33%	0.00%	0.00%	0.00%	0.44%	1.91%	1.37%	0.33%	0.59%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	697	61	2	4	6	55	124	66	71	79	9	66	7	22	47	3	33	3	39									
		19.77%	20.13%	6.45%	13.33%	8.57%	24.44%	19.75%	18.03%	23.75%	23.37%	14.29%	30.14%	17.50%	11.46%	20.35%	5.45%	19.64%	4.48%	19.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	0	0	0	0	1	4	2	0	2	1	1	0	1	0	1	0	0	0									
		0.37%	0.00%	0.00%	0.00%	0.00%	0.44%	0.64%	0.55%	0.00%	0.59%	1.59%	0.46%	0.00%	0.52%	0.00%	1.82%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	78	6	0	0	1	6	16	19	6	12	2	2	2	1	1	0	0	2	2									
