Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Октябрьская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837					
1	"Число избирателей, внесенных в списки избирателей"	103215	2026	1872	1856	1360	2835	1688	2568	1415	1611	1380	2339	2684	3079	2640	3016	2960	2633	3057	2551	2608	2756	1698	2681	1784	2600	2667	2660	2011	2520	2565	2991	2000	2502	1445	2454	1162	2181	1924	536	2267	1343	806	754	365	1457	2100	1608	1918	353	505	600	1112	318	125	113	156					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	101153	2000	1700	1810	1330	2600	1650	2500	1400	1550	1220	2280	2600	2800	2600	2900	2900	2600	3000	2550	2600	2650	1850	2700	1750	2550	2450	2600	1970	2450	2500	2900	2100	2450	1480	2400	1207	2150	1867	528	2297	1262	792	750	362	1447	2138	1640	2098	344	493	578	1037	313	150	140	170					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	83364	1520	1558	1543	1130	2454	1308	2456	961	892	846	2089	1701	2152	2171	2676	2671	1840	2581	2107	2411	2300	1541	2060	1179	2124	1995	2257	1424	2052	2210	2260	1351	2235	1322	1376	992	1852	1696	395	2099	1233	663	619	287	1372	1976	1370	1656	309	318	489	709	227	125	113	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	8913	111	140	51	135	124	222	35	299	243	26	79	244	91	285	120	138	390	344	326	139	206	128	182	162	346	406	290	214	274	278	309	189	145	123	164	136	158	132	89	55	10	79	88	58	41	61	171	222	33	172	89	230	86	0	0	45					
6	Число погашенных избирательных бюллетеней	8876	369	2	216	65	22	120	9	140	415	348	112	655	557	144	104	91	370	75	117	50	144	181	458	409	80	49	53	332	124	12	331	560	70	35	860	79	140	39	44	143	19	50	43	17	34	101	99	220	2	3	0	98	0	25	27	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8913	111	140	51	135	124	222	35	299	243	26	79	244	91	285	120	138	390	344	326	139	206	128	182	162	346	406	290	214	274	278	309	189	145	123	164	136	158	132	89	55	10	79	88	58	41	61	171	222	33	172	89	230	86	0	0	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	83186	1520	1558	1543	1130	2454	1308	2433	961	892	846	2089	1699	2061	2167	2676	2671	1840	2581	2107	2411	2300	1541	2031	1179	2124	1995	2257	1422	2052	2210	2260	1326	2235	1322	1376	992	1852	1696	395	2099	1233	663	617	287	1372	1976	1370	1656	309	318	489	709	227	125	113	111					
9	Число недействительных избирательных бюллетеней	292	5	0	12	4	0	8	22	3	4	10	19	9	1	0	0	0	2	4	1	0	0	27	16	6	21	5	0	8	1	3	10	0	5	0	0	0	0	2	2	5	11	4	12	5	4	0	15	0	14	3	4	2	0	0	1	2					
10	Число действительных избирательных бюллетеней	91807	1626	1698	1582	1261	2578	1522	2446	1257	1131	862	2149	1934	2151	2452	2796	2809	2228	2921	2432	2550	2506	1642	2197	1335	2449	2396	2547	1628	2325	2485	2559	1515	2375	1445	1540	1128	2010	1826	482	2149	1232	738	693	340	1409	2037	1526	1878	328	487	574	937	313	125	112	154					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2868	55	60	53	41	85	35	50	34	55	45	60	90	100	70	100	100	100	95	95	65	70	75	90	50	60	60	65	50	50	70	90	50	50	35	50	60	50	40	15	50	30	10	25	15	35	55	40	50	15	15	20	30	10	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2693	50	44	53	34	85	32	46	33	46	45	59	90	90	69	84	94	84	95	95	65	70	75	82	50	58	57	61	48	50	61	75	45	50	34	50	60	50	40	15	49	30	10	21	15	35	50	39	43	13	12	20	24	8	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1883	25	37	23	16	33	11	14	22	16	84	500	34	197	16	25	25	39	31	8	8	18	100	15	16	20	27	10	24	10	37	26	15	16	20	34	7	17	0	10	5	27	15	7	10	20	11	24	10	6	4	28	22	2	0	50	56					
14	Число погашенных неиспользованных открепительных удостоверений	175	5	16	0	7	0	3	4	1	9	0	1	0	10	1	16	6	16	0	0	0	0	0	8	0	2	3	4	2	0	9	15	5	0	1	0	0	0	0	0	1	0	0	4	0	0	5	1	7	2	3	0	6	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	1.Политическая партия «Аграрная партия России»	210	4	0	0	0	0	1	8	2	4	15	8	10	4	0	2	22	2	3	3	0	7	0	9	3	0	0	0	3	1	0	8	23	1	0	12	6	2	1	0	0	5	8	3	2	1	0	11	4	3	5	1	0	3	0	0	0					
