Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Свободненская городская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41778	1286	2364	1786	2197	1768	1096	1782	847	1732	2291	1772	1861	1560	1576	1664	1190	1327	1796	2000	1983	1334	1679	1017	1864	2006									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38043	1200	2200	1500	2000	1600	900	1500	800	1743	2100	1600	1700	1400	1400	1500	1000	1200	1700	1900	1800	1200	1600	900	1700	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19267	966	743	579	942	715	339	1262	416	991	1084	718	1156	837	692	833	626	639	844	959	711	419	537	304	1157	798									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1181	15	48	103	48	32	60	18	36	21	88	21	69	91	72	14	111	18	48	37	34	11	54	25	85	22									
6	Число погашенных избирательных бюллетеней	17594	219	1409	818	1010	853	501	220	348	731	928	861	475	472	635	653	263	543	808	904	1055	770	1009	571	458	1080									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1181	15	48	103	48	32	60	18	36	21	88	21	69	91	72	14	111	18	48	37	34	11	54	25	85	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19138	966	743	579	905	697	339	1262	416	990	1084	718	1136	837	691	833	626	621	844	959	711	419	537	304	1123	798									
9	Число недействительных избирательных бюллетеней	459	17	14	19	20	13	9	18	5	16	64	13	31	8	17	20	13	8	37	11	18	9	22	15	24	18									
10	Число действительных избирательных бюллетеней	19860	964	777	663	933	716	390	1262	447	995	1108	726	1174	920	746	827	724	631	855	985	727	421	569	314	1184	802									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	15	10	10	15	10	10	10	10	10	10	15	10	10	15	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	141	7	5	1	9	6	0	2	1	4	9	12	6	3	10	7	3	6	9	7	6	6	3	4	8	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	5	1	6	7	2	0	3	4	2	2	6	9	3	7	9	1	5	5	3	5	0	0	2	7	7									
14	Число погашенных неиспользованных открепительных удостоверений	129	8	5	9	6	4	10	8	9	6	1	3	4	7	5	3	7	4	1	3	4	4	7	6	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	6	2	1	2	2	0	1	1	0	0	1	0	2	2	3	0	0	0	0	0	0	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	227	10	8	8	10	4	4	13	6	15	11	6	17	16	12	8	4	13	9	14	8	2	6	1	10	12									
		1.12%	1.02%	1.01%	1.17%	1.05%	0.55%	1.00%	1.02%	1.33%	1.48%	0.94%	0.81%	1.41%	1.72%	1.57%	0.94%	0.54%	2.03%	1.01%	1.41%	1.07%	0.47%	1.02%	0.30%	0.83%	1.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	414	20	17	13	14	9	6	18	9	26	33	12	20	18	23	15	14	15	12	28	16	8	16	11	17	24									
		2.04%	2.04%	2.15%	1.91%	1.47%	1.23%	1.50%	1.41%	1.99%	2.57%	2.82%	1.62%	1.66%	1.94%	3.01%	1.77%	1.90%	2.35%	1.35%	2.81%	2.15%	1.86%	2.71%	3.34%	1.41%	2.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	471	15	14	25	12	21	11	17	12	40	34	12	30	14	20	25	13	19	24	26	12	11	17	6	16	25									
		2.32%	1.53%	1.77%	3.67%	1.26%	2.88%	2.76%	1.33%	2.65%	3.96%	2.90%	1.62%	2.49%	1.51%	2.62%	2.95%	1.76%	2.97%	2.69%	2.61%	1.61%	2.56%	2.88%	1.82%	1.32%	3.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7270	464	203	193	418	311	116	694	198	291	405	217	458	320	196	279	376	230	347	253	162	120	147	89	544	239									
		35.78%	47.30%	25.66%	28.30%	43.86%	42.66%	29.07%	54.22%	43.81%	28.78%	34.56%	29.36%	38.01%	34.48%	25.69%	32.94%	51.02%	35.99%	38.90%	25.40%	21.74%	27.91%	24.87%	27.05%	45.03%	29.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	99	12	5	2	3	0	1	6	2	6	6	4	10	3	2	4	3	8	3	2	3	1	4	0	5	4									
		0.49%	1.22%	0.63%	0.29%	0.31%	0.00%	0.25%	0.47%	0.44%	0.59%	0.51%	0.54%	0.83%	0.32%	0.26%	0.47%	0.41%	1.25%	0.34%	0.20%	0.40%	0.23%	0.68%	0.00%	0.41%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	6	0	0	1	1	0	3	0	3	1	1	0	0	1	0	0	3	1	3	4	1	0	1	1	2									
		0.16%	0.61%	0.00%	0.00%	0.10%	0.14%	0.00%	0.23%	0.00%	0.30%	0.09%	0.14%	0.00%	0.00%	0.13%	0.00%	0.00%	0.47%	0.11%	0.30%	0.54%	0.23%	0.00%	0.30%	0.08%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6657	306	347	263	269	248	162	309	113	321	330	275	311	297	241	267	215	179	287	368	352	179	233	123	342	320									
		32.76%	31.19%	43.87%	38.56%	28.23%	34.02%	40.60%	24.14%	25.00%	31.75%	28.16%	37.21%	25.81%	32.00%	31.59%	31.52%	29.17%	28.01%	32.17%	36.95%	47.25%	41.63%	39.42%	37.39%	28.31%	39.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	72	3	1	2	1	2	1	0	8	3	6	0	7	5	2	6	2	5	4	4	2	2	0	0	5	1									
		0.35%	0.31%	0.13%	0.29%	0.10%	0.27%	0.25%	0.00%	1.77%	0.30%	0.51%	0.00%	0.58%	0.54%	0.26%	0.71%	0.27%	0.78%	0.45%	0.40%	0.27%	0.47%	0.00%	0.00%	0.41%	0.12%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	112	3	0	4	5	5	0	4	6	10	8	7	6	5	10	8	8	0	4	1	4	1	2	2	4	5									
		0.55%	0.31%	0.00%	0.59%	0.52%	0.69%	0.00%	0.31%	1.33%	0.99%	0.68%	0.95%	0.50%	0.54%	1.31%	0.94%	1.09%	0.00%	0.45%	0.10%	0.54%	0.23%	0.34%	0.61%	0.33%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	3	0	0	1	1	0	1	1	1	0	1	2	0	0	3	0	2	0	0	0	0	1	0	0	0									
		0.08%	0.31%	0.00%	0.00%	0.10%	0.14%	0.00%	0.08%	0.22%	0.10%	0.00%	0.14%	0.17%	0.00%	0.00%	0.35%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	174	9	5	3	9	2	2	4	7	13	13	9	9	7	13	9	5	10	7	10	7	4	5	2	8	2									
		0.86%	0.92%	0.63%	0.44%	0.94%	0.27%	0.50%	0.31%	1.55%	1.29%	1.11%	1.22%	0.75%	0.75%	1.70%	1.06%	0.68%	1.56%	0.78%	1.00%	0.94%	0.93%	0.85%	0.61%	0.66%	0.24%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3429	85	150	121	140	80	78	151	69	225	212	147	242	182	175	155	72	94	119	216	137	80	113	60	192	134									
		16.88%	8.66%	18.96%	17.74%	14.69%	10.97%	19.55%	11.80%	15.27%	22.26%	18.09%	19.89%	20.08%	19.61%	22.94%	18.30%	9.77%	14.71%	13.34%	21.69%	18.39%	18.60%	19.12%	18.24%	15.89%	16.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	83	6	4	3	4	1	3	2	3	5	8	2	2	0	0	1	1	13	1	2	3	2	5	3	6	3									
		0.41%	0.61%	0.51%	0.44%	0.42%	0.14%	0.75%	0.16%	0.66%	0.49%	0.68%	0.27%	0.17%	0.00%	0.00%	0.12%	0.14%	2.03%	0.11%	0.20%	0.40%	0.47%	0.85%	0.91%	0.50%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	802	22	23	26	46	31	6	40	13	36	41	33	60	53	51	47	11	40	37	58	17	10	20	16	34	31									
