Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Юхновская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737					
1	"Число избирателей, внесенных в список избирателей"	10056	1055	1857	2710	372	377	360	203	202	219	218	398	525	147	148	492	281	323	169					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8795	900	1500	2400	320	350	300	180	190	200	200	350	450	140	140	450	260	300	165					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6254	840	1068	1743	215	206	241	117	122	145	158	224	277	84	103	317	68	229	97					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1226	0	127	161	55	101	50	45	56	55	41	95	134	29	23	23	116	56	59					
6	Число погашенных избирательных бюллетеней	1315	60	305	496	50	43	9	18	12	0	1	31	39	27	14	110	76	15	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1226	0	127	161	55	101	50	45	56	55	41	95	134	29	23	23	116	56	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6251	839	1067	1742	215	206	241	117	122	145	158	224	277	84	103	317	68	229	97					
9	Число недействительных избирательных бюллетеней	133	11	23	32	3	2	4	4	4	2	4	5	8	6	8	5	3	7	2					
10	Число действительных избирательных бюллетеней	7344	828	1171	1871	267	305	287	158	174	198	195	314	403	107	118	335	181	278	154					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	749	24	77	140	30	48	29	25	27	36	33	35	55	15	22	50	10	43	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	749	24	77	140	30	48	29	25	27	36	33	35	55	15	22	50	10	43	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	309	21	31	63	19	17	17	7	12	9	6	23	19	8	9	13	16	6	13					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	1	8	17	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1183	119	235	320	37	58	36	14	14	15	34	40	65	22	18	58	29	47	22					
		15.82%	14.18%	19.68%	16.82%	13.70%	18.89%	12.37%	8.64%	7.87%	7.50%	17.09%	12.54%	15.82%	19.47%	14.29%	17.06%	15.76%	16.49%	14.10%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1101	137	178	266	59	56	47	35	25	24	30	36	45	13	16	64	18	35	17					
		14.73%	16.33%	14.91%	13.98%	21.85%	18.24%	16.15%	21.60%	14.04%	12.00%	15.08%	11.29%	10.95%	11.50%	12.70%	18.82%	9.78%	12.28%	10.90%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	78	11	19	13	2	1	2	1	2	1	1	2	1	3	5	2	2	4	6					
		1.04%	1.31%	1.59%	0.68%	0.74%	0.33%	0.69%	0.62%	1.12%	0.50%	0.50%	0.63%	0.24%	2.65%	3.97%	0.59%	1.09%	1.40%	3.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1390	123	232	455	56	45	40	19	26	42	31	65	81	13	22	36	26	52	26					
		18.59%	14.66%	19.43%	23.91%	20.74%	14.66%	13.75%	11.73%	14.61%	21.00%	15.58%	20.38%	19.71%	11.50%	17.46%	10.59%	14.13%	18.25%	16.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	139	20	33	35	6	1	2	4	3	4	4	6	4	1	3	2	3	7	1					
		1.86%	2.38%	2.76%	1.84%	2.22%	0.33%	0.69%	2.47%	1.69%	2.00%	2.01%	1.88%	0.97%	0.88%	2.38%	0.59%	1.63%	2.46%	0.64%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3414	407	468	774	106	144	159	84	104	112	94	164	205	54	54	172	101	130	82					
		45.66%	48.51%	39.20%	40.67%	39.26%	46.91%	54.64%	51.85%	58.43%	56.00%	47.24%	51.41%	49.88%	47.79%	42.86%	50.59%	54.89%	45.61%	52.56%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	39	11	6	8	1	0	1	1	0	0	1	1	2	1	0	1	2	3	0					
		0.52%	1.31%	0.50%	0.42%	0.37%	0.00%	0.34%	0.62%	0.00%	0.00%	0.50%	0.31%	0.49%	0.88%	0.00%	0.29%	1.09%	1.05%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
