Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Сосковская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5193	324	242	394	321	193	500	234	181	184	529	214	1468	207	202									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5300	338	244	398	325	194	516	233	226	149	541	245	1431	281	179									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2335	214	122	142	214	104	123	119	85	97	183	91	686	67	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	952	48	66	160	56	44	187	25	45	28	87	47	61	66	32									
6	Число погашенных избирательных бюллетеней	2013	76	56	96	55	46	206	89	96	24	271	107	684	148	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	952	48	66	160	56	44	187	25	45	28	87	47	61	66	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2335	214	122	142	214	104	123	119	85	97	183	91	686	67	88									
9	Число недействительных избирательных бюллетеней	39	1	0	2	0	4	1	3	0	4	3	6	9	4	2									
10	Число действительных избирательных бюллетеней	3248	261	188	300	270	144	309	141	130	121	267	132	738	129	118									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	5	0	8	7	5	3	5	5	5	5	10	24	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	53	5	0	6	5	1	1	0	0	1	2	5	22	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	9	0	2	0	0	0	0	0	0	0	2	0	4	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	37	0	0	2	2	4	2	5	5	4	3	5	2	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	1	1	0	0	0	0	1	1	0	5	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	1	0	2	0	0	2	0	1	0	2	0	0	1	0									
		0.27%	0.38%	0.00%	0.66%	0.00%	0.00%	0.65%	0.00%	0.77%	0.00%	0.74%	0.00%	0.00%	0.75%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	82	12	4	5	0	1	14	6	4	3	13	9	1	4	6									
		2.49%	4.58%	2.13%	1.66%	0.00%	0.68%	4.52%	4.17%	3.08%	2.40%	4.81%	6.52%	0.13%	3.01%	5.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	40	5	1	0	3	5	8	0	2	2	2	4	3	3	2									
		1.22%	1.91%	0.53%	0.00%	1.11%	3.38%	2.58%	0.00%	1.54%	1.60%	0.74%	2.90%	0.40%	2.26%	1.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2090	189	154	193	173	106	179	69	80	80	164	69	481	85	68									
		63.58%	72.14%	81.91%	63.91%	64.07%	71.62%	57.74%	47.92%	61.54%	64.00%	60.74%	50.00%	64.39%	63.91%	56.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	0	0	0	1	0	0	0	0	0	0	3	0	3									
