Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																												
Дата голосования: 18.09.2016																																																																																																												
																																																																																																												
"Наименование Избирательной комиссии:    Калининград, Московская"																																																																																																												
																																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																												
																																																																																																												
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №712	УИК №713	УИК №723	УИК №724	УИК №725	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №736	УИК №737	УИК №738	УИК №739	УИК №741	УИК №742	УИК №743									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	131505	2020	1927	1716	1732	1066	2280	2050	1658	2227	2033	2958	2075	2537	1859	1672	2149	2627	1962	3087	2356	2362	1963	1459	2584	736	1682	2159	2209	2151	2165	1938	2384	2259	2583	1667	2680	2207	2415	2550	1268	1183	1771	1407	1018	2070	1985	1087	2157	1335	768	1965	2114	2143	927	1470	2817	2168	1908	1115	1683	1750	2098	1939	2135	940	1496	334	275	2569	17	17	72	71	73	73	94	91	92	36	70	57	46	41	44	17	17	16	18	15	15	13	71	71	60	39	53	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110558	1500	1500	1500	1500	1000	2000	1500	1500	2000	1500	2500	1500	2000	1500	1500	1500	2000	1500	2500	2000	2000	1500	1400	2000	700	1500	2000	2000	2000	2000	1500	2000	2000	2000	1500	2000	2000	2000	2000	1000	1000	1500	1000	1000	1500	1500	1000	2000	1000	700	1500	2000	2000	900	1400	2500	2000	1500	1000	1500	1500	2000	1500	2000	900	1000	300	252	2000	17	17	74	73	75	75	96	93	94	38	71	59	48	43	46	17	17	16	18	15	15	13	71	71	73	41	53	167									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54782	812	758	682	697	351	990	1019	669	811	730	1311	966	1141	945	934	1111	1109	840	1250	612	1375	906	565	1109	322	816	973	959	929	964	816	943	1107	1077	780	1131	923	1014	1190	630	563	887	677	398	753	767	336	627	470	280	761	714	611	343	510	949	801	700	343	702	763	736	683	808	329	511	124	167	807	17	17	63	71	73	71	87	91	92	36	60	57	46	41	44	17	17	16	18	15	15	13	61	39	60	38	53	167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	705	5	10	8	6	7	7	19	12	10	13	10	6	4	12	24	19	27	3	2	7	9	9	5	7	0	4	10	4	19	9	18	8	3	7	6	5	12	7	5	2	4	2	3	7	10	5	85	3	4	6	7	11	16	1	12	12	15	18	0	6	15	12	7	22	2	2	6	35	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	55068	683	732	810	797	642	1003	462	819	1179	757	1179	528	855	543	542	370	864	657	1248	1381	616	585	830	884	378	680	1014	1037	1052	1027	666	1049	890	916	714	864	1065	979	805	368	433	611	320	595	737	728	579	1370	526	414	732	1275	1373	556	878	1539	1184	782	657	792	722	1252	810	1170	569	487	170	50	1176	0	0	11	2	2	4	9	2	2	2	11	2	2	2	2	0	0	0	0	0	0	0	10	32	13	3	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	705	5	10	8	6	7	7	19	12	10	13	10	6	4	12	24	19	27	3	2	7	9	9	5	7	0	4	10	4	19	9	18	8	3	7	6	5	12	7	5	2	4	2	3	7	10	5	85	3	4	6	7	11	16	1	12	12	15	18	0	6	15	12	7	22	2	2	6	35	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54407	812	757	680	697	343	989	1019	669	809	730	1304	961	1141	921	934	1062	1109	840	1246	610	1373	892	563	1108	322	816	970	957	910	953	816	943	1107	1077	669	1073	920	1010	1188	630	563	887	676	398	753	767	336	626	470	280	761	714	611	342	510	949	801	700	343	702	735	735	683	808	329	511	124	167	807	17	17	63	71	73	71	87	86	91	36	60	57	46	41	44	17	17	16	18	15	15	13	61	39	60	38	53	167									
9	Число недействительных избирательных бюллетеней	2100	29	19	19	31	8	23	52	14	15	10	56	55	52	39	48	70	61	21	45	22	30	34	26	28	9	25	54	40	35	51	31	44	56	56	24	40	30	49	37	27	13	9	20	15	33	24	14	23	23	7	17	32	25	10	13	21	74	14	15	14	24	38	15	28	4	13	5	3	19	0	2	26	2	7	0	5	7	9	2	7	6	1	7	7	1	0	0	1	0	0	2	8	0	2	0	0	18									
10	Число действительных избирательных бюллетеней	53012	788	748	669	672	342	973	986	667	804	733	1258	912	1093	894	910	1011	1075	822	1203	595	1352	867	542	1087	313	795	926	921	894	911	803	907	1054	1028	651	1038	902	968	1156	605	554	880	659	390	730	748	407	606	451	279	751	693	602	333	509	940	742	704	328	694	726	709	675	802	327	500	125	199	805	17	15	37	69	66	71	82	79	82	34	53	51	45	34	37	16	17	16	17	15	15	11	53	39	58	38	53	149									
