Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Ловозерская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8638	1796	2454	1698	2254	332	58	46									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6610	1355	1845	1274	1734	300	54	48									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	29	0	0	0	22	0	0	7									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3118	562	882	644	905	82	23	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	99	27	29	23	13	4	3	0									
6	Число погашенных избирательных бюллетеней	3364	766	934	607	794	214	28	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	128	27	29	23	35	4	3	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3114	562	878	644	905	82	23	20									
9	Число недействительных избирательных бюллетеней	96	16	23	19	36	2	0	0									
10	Число действительных избирательных бюллетеней	3146	573	884	648	904	84	26	27									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	63	15	10	10	13	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	10	6	3	12	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	0	5	3	7	6	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	29	5	4	7	1	2	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	4	5	13	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	9	16	14	13	0	0	1									
		1.63%	1.53%	1.76%	2.10%	1.38%	0.00%	0.00%	3.70%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	99	21	27	18	32	1	0	0									
		3.05%	3.57%	2.98%	2.70%	3.40%	1.16%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	128	22	45	21	36	3	0	1									
		3.95%	3.74%	4.96%	3.15%	3.83%	3.49%	0.00%	3.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1313	245	377	283	347	40	9	12									
		40.50%	41.60%	41.57%	42.43%	36.91%	46.51%	34.62%	44.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	4	9	3	6	0	0	1									
		0.71%	0.68%	0.99%	0.45%	0.64%	0.00%	0.00%	3.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	2	0	0	4	0	0	0									
		0.19%	0.34%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	633	93	167	124	211	18	12	8									
		19.52%	15.79%	18.41%	18.59%	22.45%	20.93%	46.15%	29.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	4	3	2	11	0	0	0									
		0.62%	0.68%	0.33%	0.30%	1.17%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	2	8	5	16	0	0	0									
		0.96%	0.34%	0.88%	0.75%	1.70%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	1	0	1	1	0	0									
		0.09%	0.00%	0.11%	0.00%	0.11%	1.16%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	71	12	22	12	25	0	0	0									
		2.19%	2.04%	2.43%	1.80%	2.66%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	500	94	137	101	141	19	5	3									
		15.42%	15.96%	15.10%	15.14%	15.00%	22.09%	19.23%	11.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	4	3	2	1	0	0	0									
		0.31%	0.68%	0.33%	0.30%	0.11%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	256	61	69	63	60	2	0	1									
		7.90%	10.36%	7.61%	9.45%	6.38%	2.33%	0.00%	3.70%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
