Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
"Наименование Избирательной комиссии:    Самара, Самарская"																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №8002	УИК №8003									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27287	2110	1885	2092	1677	1578	1987	1577	1820	2104	1686	1629	1695	1713	2236	1498									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21486	1600	1400	1700	1200	1100	1600	1200	1400	1600	1300	1200	1300	1350	2236	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12795	791	535	788	723	750	790	610	679	743	688	578	730	656	2236	1498									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	355	32	60	33	27	14	22	27	17	15	22	33	22	31	0	0									
6	Число погашенных избирательных бюллетеней	8536	777	805	879	450	336	788	563	704	842	590	589	548	663	0	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	355	32	60	33	27	14	22	27	17	15	22	33	22	31	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12793	791	535	787	723	750	790	610	678	743	688	578	730	656	2236	1498									
9	Число недействительных избирательных бюллетеней	364	22	18	30	21	12	23	17	21	23	19	24	15	16	49	54									
10	Число действительных избирательных бюллетеней	12784	801	577	790	729	752	789	620	674	735	691	587	737	671	2187	1444									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	40	20	30	30	30	30	20	30	20	30	20	20	30	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	284	32	17	19	24	29	26	16	28	20	20	17	11	25	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	710	13	17	13	105	11	17	17	6	11	15	26	23	9	221	206									
14	Число погашенных неиспользованных открепительных удостоверений	76	8	3	11	6	1	4	4	2	0	10	3	9	5	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	2	3	3	2	1	1	1	2	4	4	3	2	6	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	289	22	19	30	11	19	18	13	9	18	22	10	15	17	34	32									
		2.20%	2.67%	3.19%	3.66%	1.47%	2.49%	2.22%	2.04%	1.29%	2.37%	3.10%	1.64%	1.99%	2.47%	1.52%	2.14%									
