Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
"Наименование Избирательной комиссии:    Киров, Первомайская"																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65675	2383	3036	1723	1887	1897	2238	2045	1810	1997	2086	1086	2125	1442	1587	1563	1863	2116	1807	1539	2366	2693	1298	1362	2643	1722	1398	2102	1955	2243	3121	2857	1313	1309	770	293									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64030	2300	2900	1600	1900	1900	2200	2000	1800	2000	2000	1000	2100	1400	1500	1500	1800	2100	1800	1500	2300	2700	1300	1300	2600	1700	1400	2100	1700	2200	2900	2800	1300	1300	780	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23391	779	786	694	725	762	997	923	673	733	872	364	871	578	540	494	759	758	702	514	948	950	541	338	744	521	463	610	480	824	944	1113	513	342	243	293									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	707	63	36	19	17	6	16	15	8	12	16	11	13	9	60	4	10	21	12	12	12	11	51	31	10	6	18	8	74	14	24	15	18	34	21	0									
6	Число погашенных избирательных бюллетеней	39932	1458	2078	887	1158	1132	1187	1062	1119	1255	1112	625	1216	813	900	1002	1031	1321	1086	974	1340	1739	708	931	1846	1173	919	1482	1146	1362	1932	1672	769	924	516	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	707	63	36	19	17	6	16	15	8	12	16	11	13	9	60	4	10	21	12	12	12	11	51	31	10	6	18	8	74	14	24	15	18	34	21	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23360	779	785	694	724	762	994	908	673	733	872	364	871	578	540	494	759	758	701	514	941	949	541	338	744	521	463	610	480	824	944	1111	513	342	243	293									
9	Число недействительных избирательных бюллетеней	518	20	16	16	18	17	17	28	14	13	10	5	18	6	16	8	17	11	22	7	10	23	11	15	11	7	12	11	19	26	22	30	20	1	12	9									
10	Число действительных избирательных бюллетеней	23549	822	805	697	723	751	993	895	667	732	878	370	866	581	584	490	752	768	691	519	943	937	581	354	743	520	469	607	535	812	946	1096	511	375	252	284									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1630	50	50	40	50	50	50	50	50	50	50	40	50	40	40	40	50	50	50	50	50	50	40	40	50	50	50	50	50	50	50	50	50	50	50	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	710	23	26	21	21	35	39	26	25	23	24	12	26	25	15	15	26	21	27	6	42	32	15	10	28	16	13	18	13	14	23	24	11	3	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	533	50	23	22	12	10	15	22	9	11	18	4	8	11	11	15	15	11	23	11	15	12	13	0	11	6	9	12	12	11	15	10	17	7	1	81									
14	Число погашенных неиспользованных открепительных удостоверений	920	27	24	19	29	15	11	24	25	27	26	28	24	15	25	25	24	29	23	44	8	18	25	30	22	34	37	32	37	36	27	26	39	47	38	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	5	0	2	0	6	4	2	2	3	1	3	0	2	0	0	2	0	1	3	1	0	1	5	1	0	2	0	1	0	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	595	15	21	14	14	17	23	24	18	26	23	18	21	15	20	17	25	21	21	13	21	27	17	3	21	20	8	15	11	16	18	22	14	9	3	4									
		2.47%	1.78%	2.56%	1.96%	1.89%	2.21%	2.28%	2.60%	2.64%	3.49%	2.59%	4.80%	2.38%	2.56%	3.33%	3.41%	3.25%	2.70%	2.95%	2.47%	2.20%	2.81%	2.87%	0.81%	2.79%	3.80%	1.66%	2.43%	1.99%	1.91%	1.86%	1.95%	2.64%	2.39%	1.14%	1.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	520	16	24	13	13	11	28	11	11	18	19	16	10	17	5	10	11	17	12	18	16	20	11	10	22	12	7	9	13	19	20	20	9	42	6	4									
