Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Неклиновская																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586					
1	"Число избирателей, внесенных в список"	64434	2645	2650	2538	2543	1028	350	68	767	222	420	720	756	1639	1741	852	1495	1104	465	1715	2293	1475	1504	1448	719	588	671	1329	1620	194	131	681	168	146	106	161	386	1739	2757	1846	451	422	1347	676	1126	624	802	678	295	314	1176	214	715	423	1693	80	67	152	868	91	741	242	289	1309	150	180	296	1537	257	664	545	440	142	522	99	122	447	208	350					
2	Число полученных избирательных бюллетеней	64161	2545	2530	2420	2420	1050	352	70	775	222	412	720	770	1640	1760	858	1515	1100	465	1740	2290	1480	1510	1435	720	570	695	1350	1620	195	130	683	168	148	105	160	394	1775	2800	1870	455	420	1397	665	1145	630	800	685	291	315	1155	220	710	430	1690	79	70	150	880	92	748	249	291	1290	151	185	292	1495	240	648	535	432	145	518	101	105	425	212	358					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43844	1895	1590	2060	2118	774	253	59	489	171	334	436	467	1132	1029	473	857	740	333	1312	1404	928	828	669	489	411	343	744	1200	132	79	506	147	122	89	97	293	1385	1507	1269	284	276	927	530	965	483	548	535	223	225	849	161	411	366	1119	40	35	93	658	77	622	204	247	863	116	169	225	733	219	453	345	330	131	311	91	97	340	158	221					
5	"Число избирательных бюллетеней, выданных вне помещения"	6233	362	146	220	150	158	72	7	160	32	37	224	233	99	260	97	194	111	40	175	177	111	147	155	37	21	72	115	100	41	26	68	8	17	7	49	33	88	330	77	56	37	83	22	80	36	96	10	30	46	130	23	157	6	98	24	25	35	57	7	59	32	8	182	19	0	27	100	13	26	40	20	0	119	0	6	0	3	65					
6	Число погашенных избирательных бюллетеней	14084	288	794	140	152	118	27	4	126	19	41	60	70	409	471	288	464	249	92	253	709	441	535	611	194	138	280	491	320	22	25	109	13	9	9	14	68	302	963	524	115	107	387	113	100	111	156	140	38	44	176	36	142	58	473	15	10	22	165	8	67	13	36	245	16	16	40	662	8	169	150	82	14	88	10	2	85	51	72					
7	Число избирательных бюллетеней в переносных ящиках	6233	362	146	220	150	158	72	7	160	32	37	224	233	99	260	97	194	111	40	175	177	111	147	155	37	21	72	115	100	41	26	68	8	17	7	49	33	88	330	77	56	37	83	22	80	36	96	10	30	46	130	23	157	6	98	24	25	35	57	7	59	32	8	182	19	0	27	100	13	26	40	20	0	119	0	6	0	3	65					
8	Число бюллетеней в стационарных ящиках для голосования	43843	1895	1590	2060	2118	774	253	59	489	171	334	436	467	1132	1029	473	857	740	333	1312	1403	928	828	669	489	411	343	744	1200	132	79	506	147	122	89	97	293	1385	1507	1269	284	276	927	530	965	483	548	535	223	225	849	161	411	366	1119	40	35	93	658	77	622	204	247	863	116	169	225	733	219	453	345	330	131	311	91	97	340	158	221					
9	Число недействительных избирательных бюллетеней	439	15	12	0	0	0	2	0	29	8	1	0	7	7	9	5	15	14	2	13	25	13	12	9	6	10	7	16	7	5	0	7	0	0	0	0	10	5	5	11	6	3	12	0	0	4	7	6	2	4	0	5	5	0	21	0	0	2	10	0	4	1	3	10	3	2	3	4	3	0	6	13	0	2	0	0	9	0	2					
10	Число действительных избирательных бюллетеней	49637	2242	1724	2280	2268	932	323	66	620	195	370	660	693	1224	1280	565	1036	837	371	1474	1555	1026	963	815	520	422	408	843	1293	168	105	567	155	139	96	146	316	1468	1832	1335	334	310	998	552	1045	515	637	539	251	267	979	179	563	372	1196	64	60	126	705	84	677	235	252	1035	132	167	249	829	229	479	379	337	131	428	91	103	331	161	284					
