Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Тере-Хольская													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №140	УИК №141									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1084	586	498									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1215	704	511									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	231	109	122									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	426	238	188									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	36	15	21									
6	Число погашенных избирательных бюллетеней	522	342	180									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	267	124	143									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	426	238	188									
9	Число недействительных избирательных бюллетеней	19	13	6									
10	Число действительных избирательных бюллетеней	674	349	325									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	3	7									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	4	2	2									
		0.58%	0.55%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	15	8	7									
		2.16%	2.21%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	11	4	7									
		1.59%	1.10%	2.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	537	270	267									
		77.49%	74.59%	80.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1	0	1									
		0.14%	0.00%	0.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	3	0									
		0.43%	0.83%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	19	17	2									
		2.74%	4.70%	0.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	4	7									
		1.59%	1.10%	2.11%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	0	0	0									
		0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0									
		0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	17	13									
		4.33%	4.70%	3.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	38	21	17									
		5.48%	5.80%	5.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0	0									
		0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5	3	2									
		0.72%	0.83%	0.60%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
