Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Канавинская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	129532	1769	2082	2268	2215	1592	2398	2439	2492	2448	1804	2086	2096	2312	1870	2167	1872	1909	1854	1502	1595	2150	2323	2262	2480	2268	2119	1698	2684	2661	1503	1532	1322	1739	841	1605	1410	990	1911	2126	1284	1353	1993	1211	1600	2112	511	1816	1376	1640	1604	2357	2914	2774	2465	2292	2350	2582	2369	2345	2853	1823	2083	1737	1340	1807	2507	17	23									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101101	1300	1500	2000	2000	1200	2000	2000	2000	2000	1300	1500	1500	2000	1400	2000	1400	1400	1400	1100	1200	1600	1700	2000	2000	2000	2000	1200	2000	2000	1100	1100	473	1300	800	1200	671	800	1400	2000	300	1000	1400	446	1200	2000	511	1300	1000	1200	1200	2000	2100	2000	2000	2000	2000	2000	2000	2000	2000	1300	2000	1300	1000	1300	2000	500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41779	410	744	683	627	343	861	669	863	721	677	900	726	698	556	698	424	493	435	518	573	866	1032	852	915	832	811	706	640	988	480	669	380	608	201	506	325	271	628	536	291	314	661	307	363	573	371	455	368	448	413	835	835	959	779	971	919	932	704	997	944	665	739	497	450	472	612	17	23									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6241	60	421	21	30	159	7	8	131	16	110	16	104	261	212	1	72	69	53	183	44	49	59	58	62	114	10	59	127	30	111	141	93	44	85	13	346	73	144	164	9	22	15	139	54	187	140	148	109	174	130	137	152	152	50	22	61	49	12	9	31	13	103	210	123	95	135	0	0									
6	Число погашенных избирательных бюллетеней	53087	830	335	1296	1343	698	1132	1323	1006	1263	513	584	670	1041	632	1301	904	838	912	399	583	685	609	1090	1023	1054	1179	435	1233	982	509	290	0	648	514	681	0	456	628	1300	0	664	724	0	783	1240	6	697	523	578	657	1028	1113	889	1171	1007	1020	1019	1284	994	1025	622	1158	593	427	733	1253	483	477									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6237	60	421	21	30	159	7	8	131	16	110	16	104	261	212	1	72	69	53	183	44	49	59	58	62	114	10	59	127	30	111	141	91	44	85	13	344	73	144	164	9	22	15	139	54	187	140	148	109	174	130	137	152	152	50	22	61	49	12	9	31	13	103	210	123	95	135	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41650	410	744	683	627	343	861	667	863	721	677	864	726	698	556	698	424	424	435	518	573	866	1032	852	915	832	811	706	640	988	480	669	379	608	201	506	325	271	628	536	291	314	646	307	363	573	365	455	368	448	413	835	835	959	779	971	919	932	704	997	944	665	739	497	450	472	612	17	23									
9	Число недействительных избирательных бюллетеней	649	3	23	6	10	0	0	4	6	15	20	20	12	18	32	2	1	6	0	12	22	3	5	16	15	0	53	18	0	5	10	8	3	4	0	5	10	8	6	5	7	3	10	6	31	15	4	11	16	34	9	10	9	17	0	0	5	5	11	2	12	2	5	13	7	5	12	0	2									
10	Число действительных избирательных бюллетеней	47238	467	1142	698	647	502	868	671	988	722	767	860	818	941	736	697	495	487	488	689	595	912	1086	894	962	946	768	747	767	1013	581	802	467	648	286	514	659	336	766	695	293	333	651	440	386	745	501	592	461	588	534	962	978	1094	829	993	975	976	705	1004	963	676	837	694	566	562	735	17	21									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1980	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	785	5	6	9	11	6	9	4	11	14	14	18	6	6	16	16	10	8	5	4	6	13	18	14	14	16	16	5	15	30	5	25	11	11	5	8	8	9	16	11	4	9	14	3	8	22	9	13	12	6	14	12	20	22	15	16	17	20	16	15	16	10	10	14	8	13	13	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	402	7	1	2	1	1	2	3	5	11	5	10	1	4	0	7	1	3	1	2	1	3	4	3	7	5	0	5	9	2	1	8	0	6	3	32	3	6	6	1	27	16	6	2	8	9	9	21	9	8	1	0	8	5	8	5	6	0	8	5	8	7	10	2	6	11	7	17	1									
14	Число погашенных неиспользованных открепительных удостоверений	1195	25	24	21	19	24	21	26	19	16	16	12	24	24	14	14	20	22	25	26	24	17	12	16	16	14	14	25	15	0	25	5	19	19	25	22	22	21	14	19	26	21	16	27	22	8	21	17	18	24	16	18	10	8	15	14	13	10	14	15	14	20	20	16	22	17	17	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	0	0	0	0	0	2	0	4	1	0	0	2	0	0	1	1	1	0	0	1	2	2	1	8	0	2	4	0	1	0	0	0	1	0	2	1	0	0	6	0	1	0	2	2	3	1	0	1	2	2	1	0	2	0	2	1	0	1	3	2	0	1	1	4	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	538	2	10	2	10	7	8	10	18	11	10	11	10	5	9	3	1	10	3	6	5	13	2	8	28	14	17	5	5	11	8	0	16	1	1	1	16	6	4	5	12	5	3	10	4	5	17	7	0	8	13	0	2	22	9	2	3	11	11	14	15	11	7	10	5	19	1	0	0									
		1.12%	0.43%	0.86%	0.28%	1.52%	1.39%	0.92%	1.48%	1.81%	1.49%	1.27%	1.25%	1.20%	0.52%	1.17%	0.43%	0.20%	2.03%	0.61%	0.86%	0.81%	1.42%	0.18%	0.88%	2.87%	1.48%	2.07%	0.65%	0.65%	1.08%	1.35%	0.00%	3.40%	0.15%	0.35%	0.19%	2.39%	1.74%	0.52%	0.71%	4.00%	1.49%	0.45%	2.24%	0.96%	0.66%	3.37%	1.16%	0.00%	1.29%	2.39%	0.00%	0.20%	1.98%	1.09%	0.20%	0.31%	1.12%	1.54%	1.39%	1.54%	1.62%	0.83%	1.41%	0.87%	3.35%	0.13%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	497	4	12	2	13	10	13	8	10	11	16	10	11	3	10	9	1	4	3	6	1	16	6	2	12	13	9	12	11	10	3	6	21	10	0	0	42	1	1	2	18	5	2	19	11	2	21	5	0	16	1	4	1	5	2	3	2	6	3	4	4	5	5	10	5	2	0	1	1									
		1.04%	0.85%	1.03%	0.28%	1.98%	1.99%	1.50%	1.19%	1.01%	1.49%	2.03%	1.14%	1.33%	0.31%	1.30%	1.29%	0.20%	0.81%	0.61%	0.86%	0.16%	1.75%	0.55%	0.22%	1.23%	1.37%	1.10%	1.57%	1.43%	0.98%	0.51%	0.74%	4.47%	1.53%	0.00%	0.00%	6.28%	0.29%	0.13%	0.29%	6.00%	1.49%	0.30%	4.26%	2.64%	0.26%	4.16%	0.83%	0.00%	2.57%	0.18%	0.41%	0.10%	0.45%	0.24%	0.30%	0.20%	0.61%	0.42%	0.40%	0.41%	0.74%	0.59%	1.41%	0.87%	0.35%	0.00%	5.88%	4.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	400	2	10	2	9	10	11	9	0	4	15	15	8	9	7	5	2	3	0	9	2	10	3	4	5	1	6	14	4	3	1	0	16	4	2	4	14	6	12	9	6	3	6	9	11	2	15	11	0	23	8	8	3	6	4	2	4	5	4	3	4	1	4	3	1	4	0	0	0									
		0.84%	0.43%	0.86%	0.28%	1.37%	1.99%	1.27%	1.33%	0.00%	0.54%	1.91%	1.70%	0.96%	0.94%	0.91%	0.72%	0.40%	0.61%	0.00%	1.28%	0.32%	1.09%	0.27%	0.44%	0.51%	0.11%	0.73%	1.83%	0.52%	0.29%	0.17%	0.00%	3.40%	0.61%	0.70%	0.77%	2.09%	1.74%	1.55%	1.29%	2.00%	0.89%	0.91%	2.02%	2.64%	0.26%	2.97%	1.82%	0.00%	3.70%	1.47%	0.82%	0.30%	0.54%	0.48%	0.20%	0.41%	0.51%	0.56%	0.30%	0.41%	0.15%	0.48%	0.42%	0.17%	0.71%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35266	354	980	528	398	365	655	503	710	580	499	569	627	768	552	512	372	370	357	530	491	683	871	671	760	712	432	572	578	801	448	620	225	489	216	411	377	252	619	520	173	253	480	271	290	559	285	459	346	447	407	725	795	815	537	786	735	730	537	791	735	520	618	542	432	425	569	15	12									
		73.64%	75.32%	84.12%	75.00%	60.58%	72.71%	75.46%	74.52%	71.43%	78.70%	63.41%	64.66%	75.54%	80.08%	71.88%	73.25%	75.00%	75.05%	73.16%	75.61%	79.58%	74.64%	79.84%	73.74%	77.79%	75.26%	52.62%	74.77%	75.36%	78.68%	75.80%	76.54%	47.87%	75.00%	75.52%	79.19%	56.35%	73.26%	80.18%	74.29%	57.67%	75.30%	72.62%	60.76%	69.54%	73.55%	56.44%	76.12%	72.54%	71.86%	74.95%	74.59%	80.55%	73.36%	64.78%	79.15%	75.00%	74.41%	75.00%	78.63%	75.38%	76.70%	73.40%	76.66%	75.39%	74.96%	76.17%	88.24%	52.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	173	0	7	0	4	3	4	3	2	0	1	3	0	1	2	1	1	2	0	1	2	4	0	3	2	0	4	6	4	2	6	1	4	0	1	0	1	3	1	7	3	2	0	6	1	0	6	2	0	10	4	2	0	5	2	2	6	7	4	4	5	4	1	2	3	2	3	0	1									
		0.36%	0.00%	0.60%	0.00%	0.61%	0.60%	0.46%	0.44%	0.20%	0.00%	0.13%	0.34%	0.00%	0.10%	0.26%	0.14%	0.20%	0.41%	0.00%	0.14%	0.32%	0.44%	0.00%	0.33%	0.20%	0.00%	0.49%	0.78%	0.52%	0.20%	1.02%	0.12%	0.85%	0.00%	0.35%	0.00%	0.15%	0.87%	0.13%	1.00%	1.00%	0.60%	0.00%	1.35%	0.24%	0.00%	1.19%	0.33%	0.00%	1.61%	0.74%	0.21%	0.00%	0.45%	0.24%	0.20%	0.61%	0.71%	0.56%	0.40%	0.51%	0.59%	0.12%	0.28%	0.52%	0.35%	0.40%	0.00%	4.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	73	0	0	0	0	0	0	2	0	1	1	1	0	1	0	1	0	0	3	0	1	0	1	1	0	0	3	0	0	5	2	2	3	0	0	0	1	0	0	1	0	0	0	1	2	0	0	5	0	14	1	0	0	3	2	4	2	0	0	1	0	1	2	1	1	1	1	0	1									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.14%	0.13%	0.11%	0.00%	0.10%	0.00%	0.14%	0.00%	0.00%	0.61%	0.00%	0.16%	0.00%	0.09%	0.11%	0.00%	0.00%	0.37%	0.00%	0.00%	0.49%	0.34%	0.25%	0.64%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.22%	0.48%	0.00%	0.00%	0.83%	0.00%	2.25%	0.18%	0.00%	0.00%	0.27%	0.24%	0.40%	0.20%	0.00%	0.00%	0.10%	0.00%	0.15%	0.24%	0.14%	0.17%	0.18%	0.13%	0.00%	4.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3417	42	20	95	74	41	91	32	126	36	93	76	42	61	63	85	54	44	58	39	34	23	51	90	38	92	81	48	68	71	42	61	44	66	30	45	77	26	74	36	32	29	70	42	21	47	59	32	50	12	23	30	60	70	48	41	23	77	48	30	45	27	82	42	33	21	51	0	3									
