Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																						
Дата голосования: 02.12.2007																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Сызранская городская																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
		Сумма	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138					
1	"Число избирателей, внесенных в списки избирателей"	143283	664	2444	1950	477	385	1861	2175	1909	2395	1107	1465	1217	1347	1790	1686	1562	1674	840	2565	2023	2562	2153	1684	1860	2179	2271	2651	2645	2912	2781	2587	2854	2794	1790	705	1155	1396	717	1093	1214	1214	2094	1211	1735	1995	1506	365	69	412	1412	1774	1646	1939	1493	1992	1423	1947	1428	1273	863	1140	704	2051	1725	2121	943	1067	1111	2264	1661	746	1111	687	2803	1466	224	2461	2554	1615	2520	1318	1576	1575	1831	1821	1070	1270	1242	110	178	117	592	69	70	140					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	138520	650	2400	1900	450	370	1800	2150	1880	2350	1000	1400	1200	1350	1750	1650	1500	1650	800	2500	2200	2500	2100	1590	1850	2100	2200	2600	2650	2900	2750	2600	2800	2700	1700	650	1100	1300	680	1000	1100	1100	2050	1190	1550	2000	1400	360	70	400	1300	1650	1550	1900	1400	1850	1400	1900	1350	1200	800	1100	640	1900	1650	2000	880	1000	1100	2200	1550	700	1200	600	2750	1450	200	2450	2300	1500	2450	1300	1500	1550	1800	1800	980	1230	1070	110	200	150	600	100	70	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	75067	371	1393	907	166	177	955	1019	970	1234	557	740	668	736	980	833	811	853	422	1383	1199	1376	1242	888	1071	1156	1228	1436	1472	1513	1453	1351	1587	1363	866	353	642	570	341	505	628	557	975	633	789	1039	608	262	65	199	680	653	684	1003	731	1058	799	980	707	703	412	567	280	1039	888	970	432	452	548	1084	799	330	1111	299	1354	815	163	1402	1884	889	1604	690	726	825	992	907	519	658	945	90	107	105	363	69	70	139					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3724	36	57	53	65	14	49	52	15	27	67	11	26	27	30	42	38	21	50	38	66	45	73	28	28	45	62	40	19	37	86	21	26	54	44	27	25	49	11	24	29	30	72	10	22	33	55	83	4	16	58	83	44	49	19	39	41	26	25	19	12	29	33	45	39	56	33	36	61	79	40	14	0	30	81	5	3	17	24	105	66	36	21	45	24	34	47	55	43	20	68	12	226	0	0	0					
6	Число погашенных избирательных бюллетеней	59729	243	950	940	219	179	796	1079	895	1089	376	649	506	587	740	775	651	776	328	1079	935	1079	785	674	751	899	910	1124	1159	1350	1211	1228	1187	1283	790	270	433	681	328	471	443	513	1003	547	739	928	737	15	1	185	562	914	822	848	650	753	560	894	618	478	376	504	327	816	723	974	415	512	491	1037	711	356	89	271	1315	630	34	1031	392	506	780	574	753	680	784	859	414	517	82	0	25	33	11	31	0	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3724	36	57	53	65	14	49	52	15	27	67	11	26	27	30	42	38	21	50	38	66	45	73	28	28	45	62	40	19	37	86	21	26	54	44	27	25	49	11	24	29	30	72	10	22	33	55	83	4	16	58	83	44	49	19	39	41	26	25	19	12	29	33	45	39	56	33	36	61	79	40	14	0	30	81	5	3	17	24	105	66	36	21	45	24	34	47	55	43	20	68	12	226	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	75047	371	1393	907	166	177	954	1019	970	1234	557	740	668	736	980	833	811	853	422	1377	1199	1375	1242	888	1071	1156	1226	1436	1472	1513	1453	1351	1587	1363	866	353	642	570	341	505	628	557	975	633	789	1039	608	262	65	199	680	653	684	1000	731	1058	798	980	707	703	412	567	280	1039	888	970	432	452	548	1084	796	330	1111	299	1354	813	163	1402	1884	889	1604	690	726	825	992	907	518	658	945	90	107	105	363	69	70	139					
9	Число недействительных избирательных бюллетеней	933	11	14	18	2	1	14	12	19	18	7	11	14	11	19	8	9	11	5	13	21	16	11	7	18	17	15	17	16	13	14	16	22	17	8	6	12	8	10	9	4	12	11	3	16	13	6	4	0	1	6	12	5	19	2	14	10	12	13	10	0	3	0	11	11	10	5	8	4	20	10	2	3	5	19	10	2	13	24	4	16	10	8	12	6	12	4	12	9	3	1	5	7	0	1	0					
10	Число действительных избирательных бюллетеней	77838	396	1436	942	229	190	989	1059	966	1243	617	740	680	752	991	867	840	863	467	1402	1244	1404	1304	909	1081	1184	1273	1459	1475	1537	1525	1356	1591	1400	902	374	655	611	342	520	653	575	1036	640	795	1059	657	341	69	214	732	724	723	1030	748	1083	829	994	719	712	424	593	313	1073	916	1016	460	480	605	1143	826	342	1108	324	1416	808	164	1406	1884	990	1654	716	739	858	1010	929	561	701	979	107	174	112	582	69	69	139					
