Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
"Наименование Избирательной комиссии:    Архангельск, Октябрьская"																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
1	"Число избирателей, внесенных в списки избирателей"	72875	2973	2741	2380	2144	2517	2169	2263	2104	2736	2551	2465	2737	2651	2382	2364	2021	2521	2981	2691	2430	2761	2753	2748	1456	1822	2175	1903	2664	2755	60	112	742	227	31	188	136	521					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	64905	2650	2400	2150	1750	2300	1950	2050	1900	2500	2250	2200	2500	2350	2000	2150	1800	2250	2600	2400	2150	2450	2500	2450	1250	1650	1950	1750	2300	2400	75	103	630	204	31	176	136	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38207	1502	1364	1382	1059	1377	1297	1288	1241	1309	1270	1406	1362	1317	1334	1279	1180	1393	1599	1452	1411	1315	1197	1411	803	968	1061	703	1223	1358	60	58	270	148	30	145	114	521					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1084	15	27	15	20	14	23	13	10	44	70	7	23	27	28	25	27	18	17	20	14	17	16	22	16	11	23	87	11	34	0	45	260	40	1	22	22	0					
6	Число погашенных избирательных бюллетеней	25614	1133	1009	753	671	909	630	749	649	1147	910	787	1115	1006	638	846	593	839	984	928	725	1118	1287	1017	431	671	866	960	1066	1008	15	0	100	16	0	9	0	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1084	15	27	15	20	14	23	13	10	44	70	7	23	27	28	25	27	18	17	20	14	17	16	22	16	11	23	87	11	34	0	45	260	40	1	22	22	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38086	1502	1363	1382	1059	1373	1294	1287	1200	1308	1268	1404	1362	1317	1332	1276	1141	1392	1592	1452	1408	1311	1197	1409	803	968	1059	703	1223	1356	60	58	270	148	30	144	114	521					
9	Число недействительных избирательных бюллетеней	407	12	13	21	5	13	18	13	12	20	13	11	11	15	10	17	4	16	11	5	29	16	15	11	7	4	11	9	10	19	0	0	4	1	1	0	1	29					
10	Число действительных избирательных бюллетеней	38763	1505	1377	1376	1074	1374	1299	1287	1198	1332	1325	1400	1374	1329	1350	1284	1164	1394	1598	1467	1393	1312	1198	1420	812	975	1071	781	1224	1371	60	103	526	187	30	166	135	492					
