Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Новобурасская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178					
1	"Число избирателей, внесенных в список избирателей"	12658	131	413	352	150	274	1581	433	402	449	461	1206	1211	1070	1354	528	933	110	340	260	350	650					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12438	142	423	362	151	297	1578	435	394	452	460	1175	1100	1047	1309	523	920	110	338	255	324	643					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7457	74	260	261	86	172	719	273	270	263	314	649	660	561	763	290	674	95	280	184	243	366					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1339	21	33	47	15	26	114	61	44	105	130	103	94	68	93	99	110	7	26	46	44	53					
6	Число погашенных избирательных бюллетеней	3642	47	130	54	50	99	745	101	80	84	16	423	346	418	453	134	136	8	32	25	37	224					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1339	21	33	47	15	26	114	61	44	105	130	103	94	68	93	99	110	7	26	46	44	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7447	74	260	261	86	172	719	273	270	263	314	649	660	561	753	290	674	95	280	184	243	366					
9	Число недействительных избирательных бюллетеней	120	3	2	2	2	3	13	0	6	4	6	12	11	8	10	0	25	0	2	3	3	5					
10	Число действительных избирательных бюллетеней	8666	92	291	306	99	195	820	334	308	364	438	740	743	621	836	389	759	102	304	227	284	414					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	530	9	25	25	5	40	30	20	20	40	15	42	37	40	40	10	40	5	10	30	15	32					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	524	9	25	25	5	40	30	20	20	40	15	42	37	40	38	6	40	5	10	30	15	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	94	4	7	6	3	2	2	3	4	5	2	11	5	8	5	4	8	2	4	2	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	3	1	0	0	1	5	1	2	6	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	817	9	24	24	10	16	107	23	34	28	28	75	84	83	88	23	63	2	24	14	18	40					
		9.30%	9.47%	8.19%	7.79%	9.90%	8.08%	12.85%	6.89%	10.83%	7.61%	6.31%	9.97%	11.14%	13.20%	10.40%	5.91%	8.04%	1.96%	7.84%	6.09%	6.27%	9.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	704	3	28	13	9	17	75	20	26	14	18	78	76	64	103	22	50	8	9	14	18	39					
		8.01%	3.16%	9.56%	4.22%	8.91%	8.59%	9.00%	5.99%	8.28%	3.80%	4.05%	10.37%	10.08%	10.17%	12.17%	5.66%	6.38%	7.84%	2.94%	6.09%	6.27%	9.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	1	3	3	1	0	10	1	0	1	0	5	4	6	16	2	5	0	1	0	0	3					
		0.71%	1.05%	1.02%	0.97%	0.99%	0.00%	1.20%	0.30%	0.00%	0.27%	0.00%	0.66%	0.53%	0.95%	1.89%	0.51%	0.64%	0.00%	0.33%	0.00%	0.00%	0.72%					
