Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Алеутская								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №180					
1	"Число избирателей, внесенных в списки избирателей"	596	596					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	555	555					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	424	424					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	7	7					
6	Число погашенных избирательных бюллетеней	124	124					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	424	424					
9	Число недействительных избирательных бюллетеней	7	7					
10	Число действительных избирательных бюллетеней	424	424					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	27	27					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	27	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	20	20					
		4.64%	4.64%					
19	2.Всероссийская политическая партия «Гражданская Сила»	15	15					
		3.48%	3.48%					
20	3.Политическая партия «Демократическая партия России»	0	0					
		0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13	13					
		3.02%	3.02%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	4					
		0.93%	0.93%					
23	6.Политическая партия «Партия социальной справедливости»	0	0					
		0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	60	60					
		13.92%	13.92%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	20	20					
		4.64%	4.64%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	4	4					
		0.93%	0.93%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	279	279					
		64.73%	64.73%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	9	9					
		2.09%	2.09%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
