Выборы Президента Российской Федерации																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская городская																																																																																																													
																																																																																																													
Итоги голосования 																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в список"	228305	2289	2331	2267	2139	858	2306	1685	1526	2072	1517	1748	1884	1938	1329	1345	1469	2176	1151	1944	2524	1570	2340	2313	2208	2806	1749	2392	1598	2255	1794	2434	2254	1873	2092	2401	2295	2734	2392	2937	2273	2471	2544	2205	2650	2319	1725	1919	1801	1916	2211	1981	1633	1949	2006	2126	2554	2872	2961	2882	140	2868	2223	2509	2802	2960	2387	2298	2404	2670	2451	2445	2476	2856	2806	2820	2990	2730	2688	2925	2789	2513	3036	2038	2171	2896	2753	2830	2566	2370	2762	1573	2830	2086	2894	2462	89	3722	2364	2065	2408	2199	508					
2	Число полученных избирательных бюллетеней	224250	2200	2300	2200	2000	800	2300	1600	1500	2000	1400	1700	1700	1900	1300	1300	1500	2100	1100	1900	2500	1500	2300	2300	2200	2800	1700	2300	1650	2300	1800	2400	2200	1800	2100	2400	2300	2700	2300	2900	2400	2400	2500	2200	2600	2200	1700	1900	1800	1900	2200	2000	1600	1900	1900	2100	2500	2800	2900	2800	400	2800	2200	2500	2700	2900	2300	2300	2400	2600	2400	2400	2400	2800	2800	2800	2900	2700	2600	2900	2700	2500	3000	2000	2000	2800	2700	2800	2500	2400	2700	1500	2700	2000	2800	2400	600	3600	2300	2000	2400	2100	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	114228	720	977	946	948	408	950	792	802	1076	734	1013	917	1151	656	760	833	911	490	1113	1333	762	1059	1321	1151	1570	865	1327	778	825	971	1157	1061	994	1207	1394	1301	1499	1302	1487	1051	1257	1351	1176	1382	944	898	1006	963	978	1100	903	848	1062	1020	1074	1241	1327	1562	1528	16	1384	1184	1324	1496	1517	1279	1182	1269	1311	1169	1120	1249	1352	1380	1361	1456	1297	1289	1371	1368	1218	1479	997	1074	1328	1281	1393	1275	1243	1462	841	1309	1071	1579	1229	20	1770	1251	1089	1258	1174	281					
5	"Число избирательных бюллетеней, выданных вне помещения"	2379	38	38	47	59	35	17	11	23	23	25	31	25	36	11	24	30	8	22	35	40	81	29	30	24	61	34	32	27	10	17	39	18	38	29	33	29	31	20	29	23	14	31	21	23	10	18	17	10	33	12	15	17	19	23	15	13	11	23	28	42	20	19	24	13	13	19	13	7	11	6	2	21	11	11	14	9	6	13	20	18	3	18	2	11	13	7	13	7	7	17	30	125	2	17	20	0	155	13	10	10	9	13					
6	Число погашенных избирательных бюллетеней	107641	1442	1285	1207	993	357	1333	797	675	901	641	656	758	713	633	516	637	1181	588	752	1127	657	1212	949	1025	1169	801	941	845	1465	812	1204	1121	768	864	973	970	1170	978	1384	1325	1129	1118	1003	1195	1246	784	877	827	889	1088	1082	735	819	857	1011	1246	1462	1315	1244	342	1396	997	1152	1191	1370	1002	1105	1124	1278	1225	1278	1130	1437	1409	1425	1435	1397	1298	1509	1314	1279	1503	1001	915	1459	1412	1394	1218	1150	1221	629	1266	927	1203	1151	580	1675	1036	901	1132	917	106					
7	Число избирательных бюллетеней в переносных ящиках	2379	38	38	47	59	35	17	11	23	23	25	31	25	36	11	24	30	8	22	35	40	81	29	30	24	61	34	32	27	10	17	39	18	38	29	33	29	31	20	29	23	14	31	21	23	10	18	17	10	33	12	15	17	19	23	15	13	11	23	28	42	20	19	24	13	13	19	13	7	11	6	2	21	11	11	14	9	6	13	20	18	3	18	2	11	13	7	13	7	7	17	30	125	2	17	20	0	155	13	10	10	9	13					
8	Число бюллетеней в стационарных ящиках для голосования	114066	720	977	946	948	408	950	792	802	1076	734	1010	916	1150	656	760	833	911	490	1109	1333	762	1059	1321	1151	1570	865	1327	778	825	965	1155	1061	994	1207	1391	1300	1499	1300	1458	1050	1256	1350	1176	1382	944	898	1006	963	978	1100	903	848	1055	1020	1063	1239	1327	1562	1527	16	1384	1165	1324	1496	1517	1279	1182	1268	1252	1169	1120	1249	1352	1380	1361	1452	1297	1289	1371	1368	1218	1479	997	1074	1327	1281	1393	1275	1243	1462	841	1309	1069	1579	1229	20	1770	1251	1089	1258	1174	281					
9	Число недействительных избирательных бюллетеней	636	6	11	15	6	6	7	3	2	10	3	8	9	4	3	4	3	6	4	6	2	6	12	4	6	8	7	7	6	4	6	4	10	5	6	7	5	5	11	9	3	10	4	2	6	5	7	6	2	3	10	0	7	10	6	8	8	5	8	13	0	13	3	15	10	7	12	2	8	7	6	5	5	8	4	7	6	8	2	2	3	12	5	4	8	7	7	11	9	3	4	2	12	4	0	8	0	15	6	3	8	6	0					
10	Число действительных избирательных бюллетеней	115809	752	1004	978	1001	437	960	800	823	1089	756	1033	932	1182	664	780	860	913	508	1138	1371	837	1076	1347	1169	1623	892	1352	799	831	976	1190	1069	1027	1230	1417	1324	1525	1309	1478	1070	1260	1377	1195	1399	949	909	1017	971	1008	1102	918	858	1064	1037	1070	1244	1333	1577	1542	58	1391	1181	1333	1499	1523	1286	1193	1267	1256	1169	1117	1265	1355	1387	1368	1455	1295	1300	1389	1383	1209	1492	995	1077	1333	1281	1395	1273	1247	1475	869	1422	1067	1596	1241	20	1910	1258	1096	1260	1177	294					
