Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Эльбрусская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355					
1	"Число избирателей, внесенных в список"	18990	729	660	639	810	470	299	1283	162	1641	774	713	707	1501	792	1780	1714	1492	336	411	1362	715					
2	Число полученных избирательных бюллетеней	19101	736	670	650	820	476	304	1279	174	1618	769	745	702	1473	784	1758	1735	1575	346	413	1350	724					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18225	717	653	622	801	453	253	1093	153	1610	756	688	697	1470	774	1745	1677	1470	271	406	1272	644					
5	"Число избирательных бюллетеней, выданных вне помещения"	491	0	0	8	0	10	41	171	6	5	8	13	5	3	8	13	15	1	61	0	65	58					
6	Число погашенных избирательных бюллетеней	385	19	17	20	19	13	10	15	15	3	5	44	0	0	2	0	43	104	14	7	13	22					
7	Число избирательных бюллетеней в переносных ящиках	491	0	0	8	0	10	41	171	6	5	8	13	5	3	8	13	15	1	61	0	65	58					
8	Число бюллетеней в стационарных ящиках для голосования	18221	717	653	622	801	453	253	1093	153	1610	756	688	697	1470	774	1741	1677	1470	271	406	1272	644					
9	Число недействительных избирательных бюллетеней	25	0	0	0	1	2	0	0	0	0	10	3	0	2	0	0	0	0	0	0	7	0					
10	Число действительных избирательных бюллетеней	18687	717	653	630	800	461	294	1264	159	1615	754	698	702	1471	782	1754	1692	1471	332	406	1330	702					
11	Число полученных открепительных  удостоверений	197	8	7	7	9	5	3	14	2	17	7	6	8	16	9	19	18	15	3	4	14	6					
12	Число выданных открепительных удостоверений	43	0	2	1	0	0	0	0	0	10	3	2	3	2	1	8	6	4	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	1	0	0	22	133					
14	Число неиспользованных открепительных удостоверений	154	8	5	6	9	5	3	14	2	7	4	4	5	14	8	11	12	11	3	4	13	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	15	0	0	2	0	0	0	0	1	0	3	0	0	3	0	1	4	0	1	0	0	0					
		0.08%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.39%	0.00%	0.00%	0.20%	0.00%	0.06%	0.24%	0.00%	0.30%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	11	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	4	0	1	0	1	0					
		0.06%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.11%	0.24%	0.00%	0.30%	0.00%	0.07%	0.00%					
20	. Миронов Сергей Михайлович	8	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	2	0	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.13%	0.00%	0.00%	0.07%	0.00%	0.11%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	18460	709	645	622	791	454	290	1245	157	1605	749	695	695	1455	772	1724	1655	1460	326	402	1313	696					
		98.65%	98.88%	98.77%	98.73%	98.75%	98.06%	98.64%	98.50%	98.74%	99.38%	98.04%	99.14%	99.00%	98.78%	98.72%	98.29%	97.81%	99.25%	98.19%	99.01%	98.20%	99.15%					
22	. Хакамада Ирина Муцуовна	14	0	0	0	1	0	0	5	0	0	0	0	0	0	0	3	3	0	0	2	0	0					
		0.07%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.18%	0.00%	0.00%	0.49%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	164	8	8	4	6	7	4	12	1	10	1	3	7	9	8	18	19	11	4	2	16	6					
		0.88%	1.12%	1.23%	0.63%	0.75%	1.51%	1.36%	0.95%	0.63%	0.62%	0.13%	0.43%	1.00%	0.61%	1.02%	1.03%	1.12%	0.75%	1.20%	0.49%	1.20%	0.85%					
																												
24	Против всех	15	0	0	0	2	0	0	0	0	0	0	0	0	2	2	4	5	0	0	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.26%	0.23%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
