Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Пителинская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314					
1	"Число избирателей, внесенных в список избирателей"	5107	237	255	305	597	148	100	155	151	119	344	362	202	168	766	702	496					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4850	200	200	300	600	150	100	150	150	100	300	350	200	150	700	700	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2578	93	116	147	321	59	34	75	92	69	196	184	99	88	397	374	234					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	542	54	30	38	48	31	22	24	18	16	32	48	41	20	41	20	59					
6	Число погашенных избирательных бюллетеней	1730	53	54	115	231	60	44	51	40	15	72	118	60	42	262	306	207					
7	Число избирательных бюллетеней в переносных ящиках для голосования	542	54	30	38	48	31	22	24	18	16	32	48	41	20	41	20	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2578	93	116	147	321	59	34	75	92	69	196	184	99	88	397	374	234					
9	Число недействительных избирательных бюллетеней	42	2	3	1	6	0	0	1	0	0	2	4	2	3	5	10	3					
10	Число действительных избирательных бюллетеней	3078	145	143	184	363	90	56	98	110	85	226	228	138	105	433	384	290					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	164	10	10	10	10	14	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	75	1	9	4	5	8	0	1	3	0	3	8	0	10	6	9	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	2	2	4	1	2	2	1	3	3	1	1	3	4	7	7	3					
14	Число погашенных неиспользованных открепительных удостоверений	89	9	1	6	5	6	10	9	7	10	7	2	10	0	4	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	389	17	9	20	46	19	4	5	10	8	29	37	21	9	71	46	38					
		12.47%	11.56%	6.16%	10.81%	12.47%	21.11%	7.14%	5.05%	9.09%	9.41%	12.72%	15.95%	15.00%	8.33%	16.21%	11.68%	12.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	439	9	21	26	47	9	3	11	17	14	52	37	11	16	66	68	32					
		14.07%	6.12%	14.38%	14.05%	12.74%	10.00%	5.36%	11.11%	15.45%	16.47%	22.81%	15.95%	7.86%	14.81%	15.07%	17.26%	10.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	2	2	4	0	1	0	1	1	2	2	3	1	5	4	4	3					
		1.12%	1.36%	1.37%	2.16%	0.00%	1.11%	0.00%	1.01%	0.91%	2.35%	0.88%	1.29%	0.71%	4.63%	0.91%	1.02%	1.02%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	662	42	24	56	84	27	12	27	24	17	55	57	19	34	40	124	20					
		21.22%	28.57%	16.44%	30.27%	22.76%	30.00%	21.43%	27.27%	21.82%	20.00%	24.12%	24.57%	13.57%	31.48%	9.13%	31.47%	6.83%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	33	1	3	4	2	0	0	0	0	0	2	6	2	0	9	4	0					
		1.06%	0.68%	2.05%	2.16%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	2.59%	1.43%	0.00%	2.05%	1.02%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1503	71	84	73	183	33	37	53	57	43	84	88	84	41	239	136	197					
		48.17%	48.30%	57.53%	39.46%	49.59%	36.67%	66.07%	53.54%	51.82%	50.59%	36.84%	37.93%	60.00%	37.96%	54.57%	34.52%	67.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	17	3	0	1	1	1	0	1	1	1	2	0	0	0	4	2	0					
		0.54%	2.04%	0.00%	0.54%	0.27%	1.11%	0.00%	1.01%	0.91%	1.18%	0.88%	0.00%	0.00%	0.00%	0.91%	0.51%	0.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
