Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Тюмень, Калининская"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843					
1	"Число избирателей, внесенных в список избирателей"	138614	553	1672	917	1980	1607	1092	1986	2155	321	2307	2293	2262	1162	2568	1501	1607	1912	2142	2432	1263	2653	2326	2434	282	2138	734	1479	2381	1886	921	2520	2010	1713	1288	1397	1675	2730	2494	1134	1861	1764	1902	1728	2031	655	1224	2346	1981	2391	1904	1774	2589	1134	1467	575	1917	2923	2405	2560	1602	2499	973	2374	1651	1395	944	2512	2443	2293	2060	2717	1329	1343	931	660	1970	1601	1030	1229					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	125350	500	1500	1000	1700	1500	1000	1600	2000	300	2000	2000	2000	1000	2400	1300	1400	2000	2000	2200	1000	2500	2000	2200	250	2000	700	1300	2000	1700	1100	2300	1800	1500	1000	1200	1500	2500	2300	1000	1700	1600	1700	1600	2000	600	1000	2000	1800	2000	1600	1500	2400	1000	1200	500	2500	2700	2000	2400	1400	2300	1100	2000	1500	1200	800	2300	2200	2100	2000	2600	1200	1000	800	500	1800	1500	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	97283	417	1231	917	1383	1157	660	1454	1522	273	1559	1455	1640	987	1877	1098	1158	1227	1564	1657	851	1974	1689	1531	130	1458	482	1094	1553	1266	835	1792	1312	1232	952	998	1221	1913	1647	803	1090	1211	1304	1170	1295	447	852	1686	1372	1673	1288	1188	1719	723	903	428	1892	1956	1692	1827	1077	1690	954	1953	1091	815	707	1793	1670	1648	1402	1739	825	890	678	441	1432	1071	808	914					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1338	6	19	0	18	10	5	10	7	0	20	23	13	0	13	9	11	33	10	26	12	17	26	46	110	45	3	20	12	12	32	4	21	14	25	15	22	20	17	85	6	5	17	16	34	20	16	9	15	16	10	6	13	6	10	11	25	20	15	23	9	15	19	17	10	16	7	17	12	15	10	12	2	2	9	20	19	14	7	22					
6	Число погашенных избирательных бюллетеней	26729	77	250	83	299	333	335	136	471	27	421	522	347	13	510	193	231	740	426	517	137	509	285	623	10	497	215	186	435	422	233	504	467	254	23	187	257	567	636	112	604	384	379	414	671	133	132	305	413	311	302	306	668	271	287	61	583	724	293	550	314	595	127	30	399	369	86	490	518	437	588	849	373	108	113	39	349	415	185	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1338	6	19	0	18	10	5	10	7	0	20	23	13	0	13	9	11	33	10	26	12	17	26	46	110	45	3	20	12	12	32	4	21	14	25	15	22	20	17	85	6	5	17	16	34	20	16	9	15	16	10	6	13	6	10	11	25	20	15	23	9	15	19	17	10	16	7	17	12	15	10	12	2	2	9	20	19	14	7	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	97063	411	1228	917	1383	1152	660	1443	1522	273	1556	1455	1640	987	1877	1098	1158	1227	1554	1657	848	1971	1689	1528	130	1458	472	1092	1553	1266	833	1792	1290	1218	948	998	1221	1913	1647	803	1089	1211	1304	1170	1293	446	852	1686	1372	1673	1288	1180	1706	723	899	428	1892	1956	1692	1774	1077	1690	954	1953	1091	812	707	1793	1670	1645	1402	1739	825	888	678	441	1432	1071	801	892					
9	Число недействительных избирательных бюллетеней	1830	4	27	0	25	16	16	20	0	2	21	19	32	15	36	9	15	21	38	25	14	37	27	32	0	29	14	27	41	35	21	36	39	18	26	28	15	32	29	27	24	26	5	28	29	7	16	33	19	20	33	22	44	14	26	5	19	44	87	39	16	30	21	16	25	12	15	22	34	27	18	31	22	25	23	13	29	15	13	15					
10	Число действительных избирательных бюллетеней	96571	413	1220	917	1376	1146	649	1433	1529	271	1555	1459	1621	972	1854	1098	1154	1239	1526	1658	846	1951	1688	1542	240	1474	461	1085	1524	1243	844	1760	1272	1214	947	985	1228	1901	1635	861	1071	1190	1316	1158	1298	459	852	1662	1368	1669	1265	1164	1675	715	883	434	1898	1932	1620	1758	1070	1675	952	1954	1076	816	699	1788	1648	1633	1394	1720	805	865	664	448	1422	1070	795	899					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1753	20	20	0	30	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	30	20	20	0	20	20	20	20	20	20	20	20	20	25	30	30	30	40	20	20	30	20	20	20	20	20	30	28	20	20	20	30	20	20	20	30	40	20	50	20	20	20	20	20	20	20	30	20	20	20	30	20	20	20	20	30	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1136	5	10	0	21	15	12	14	19	0	20	10	17	5	17	5	13	19	13	19	10	25	19	14	0	11	3	12	15	9	3	18	13	12	21	19	19	30	30	13	15	23	19	12	14	1	14	25	21	17	16	16	16	5	16	1	23	31	18	42	16	15	14	14	13	12	7	23	12	17	16	20	10	11	8	5	25	5	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2408	27	22	148	31	43	17	208	31	63	26	19	20	27	52	11	19	22	15	15	22	21	88	33	12	58	9	15	40	12	4	14	22	13	12	19	24	42	15	28	18	16	29	21	15	10	13	22	8	28	33	23	26	8	24	13	25	29	43	15	28	22	10	21	20	19	7	48	27	28	24	18	12	164	15	7	14	9	33	144					
14	Число погашенных неиспользованных открепительных удостоверений	617	15	10	0	9	5	8	6	1	20	10	10	3	15	3	15	7	1	7	1	10	5	1	6	0	9	17	8	5	11	17	2	7	8	4	11	11	0	10	7	5	7	1	8	6	19	6	5	7	3	4	4	14	15	4	19	7	9	2	8	4	5	6	6	7	8	13	7	8	3	4	10	10	9	12	15	5	15	10	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	105	0	1	0	0	1	2	0	0	1	1	1	2	0	2	3	1	0	4	1	0	2	4	0	0	1	1	2	0	0	0	3	3	2	0	1	2	1	0	3	2	0	0	0	0	1	1	2	0	6	6	3	3	0	0	0	2	2	4	1	0	2	0	4	0	1	0	2	1	3	1	2	0	4	1	4	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11693	39	177	91	178	144	86	166	174	24	185	149	236	37	253	123	135	173	231	247	123	285	267	201	27	163	56	145	154	126	85	202	147	170	150	154	110	228	227	110	110	146	141	156	128	48	118	218	168	173	126	151	192	86	103	67	235	240	149	196	120	170	97	115	147	87	96	246	241	234	176	230	115	88	83	34	180	111	94	100					
		11.88%	9.35%	14.19%	9.92%	12.71%	12.39%	12.93%	11.42%	11.38%	8.79%	11.74%	10.08%	14.28%	3.75%	13.39%	11.11%	11.55%	13.73%	14.77%	14.68%	14.30%	14.34%	15.57%	12.77%	11.25%	10.84%	11.79%	13.04%	9.84%	9.86%	9.83%	11.25%	11.21%	13.80%	15.42%	15.20%	8.85%	11.80%	13.64%	12.39%	10.05%	12.01%	10.67%	13.15%	9.65%	10.30%	13.59%	12.86%	12.11%	10.24%	9.71%	12.73%	11.17%	11.80%	11.33%	15.26%	12.26%	12.15%	8.73%	10.91%	11.05%	9.97%	9.97%	5.84%	13.35%	10.51%	13.45%	13.59%	14.33%	14.10%	12.46%	13.14%	13.91%	9.89%	12.08%	7.38%	12.41%	10.23%	11.63%	10.94%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	24008	90	222	9	290	212	168	353	364	39	399	77	390	149	426	110	315	306	371	394	208	474	433	409	54	423	137	264	468	380	225	560	412	327	243	259	327	510	474	222	290	351	353	311	381	115	205	466	364	462	357	343	481	215	232	84	485	527	364	456	283	426	232	250	291	229	156	401	383	421	314	399	223	221	204	128	429	336	148	199					
		24.40%	21.58%	17.80%	0.98%	20.70%	18.24%	25.26%	24.29%	23.81%	14.29%	25.32%	5.21%	23.59%	15.10%	22.54%	9.94%	26.95%	24.29%	23.72%	23.41%	24.19%	23.84%	25.25%	25.98%	22.50%	28.14%	28.84%	23.74%	29.90%	29.73%	26.01%	31.18%	31.43%	26.54%	24.97%	25.57%	26.31%	26.38%	28.49%	25.00%	26.48%	28.87%	26.72%	26.22%	28.71%	24.68%	23.62%	27.49%	26.24%	27.35%	27.50%	28.92%	27.98%	29.49%	25.52%	19.13%	25.30%	26.67%	21.32%	25.38%	26.06%	24.99%	23.84%	12.69%	26.43%	27.66%	21.85%	22.15%	22.77%	25.36%	22.24%	22.79%	26.96%	24.83%	29.69%	27.77%	29.57%	30.97%	18.32%	21.77%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1315	4	14	0	19	20	11	23	16	1	16	17	28	6	31	2	26	16	16	27	10	21	18	24	2	20	4	12	24	12	12	40	14	12	13	14	74	14	24	11	21	21	7	18	16	4	13	18	21	17	11	21	21	9	7	8	29	22	13	24	16	17	13	29	15	10	9	21	31	22	23	32	8	10	1	8	21	12	16	12					
		1.34%	0.96%	1.12%	0.00%	1.36%	1.72%	1.65%	1.58%	1.05%	0.37%	1.02%	1.15%	1.69%	0.61%	1.64%	0.18%	2.22%	1.27%	1.02%	1.60%	1.16%	1.06%	1.05%	1.52%	0.83%	1.33%	0.84%	1.08%	1.53%	0.94%	1.39%	2.23%	1.07%	0.97%	1.34%	1.38%	5.95%	0.72%	1.44%	1.24%	1.92%	1.73%	0.53%	1.52%	1.21%	0.86%	1.50%	1.06%	1.51%	1.01%	0.85%	1.77%	1.22%	1.23%	0.77%	1.82%	1.51%	1.11%	0.76%	1.34%	1.47%	0.99%	1.34%	1.47%	1.36%	1.21%	1.26%	1.16%	1.84%	1.33%	1.63%	1.83%	0.97%	1.12%	0.15%	1.74%	1.45%	1.11%	1.98%	1.31%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17468	68	327	9	268	247	112	300	16	24	320	298	306	92	351	153	208	302	343	323	172	392	280	361	50	256	88	237	249	173	109	266	236	195	204	183	260	352	269	161	193	200	220	214	206	78	163	307	251	310	214	214	274	113	162	60	365	411	219	355	240	341	174	235	228	159	116	379	338	297	280	355	150	133	122	67	269	166	140	190					
		17.75%	16.31%	26.22%	0.98%	19.13%	21.26%	16.84%	20.65%	1.05%	8.79%	20.30%	20.16%	18.51%	9.32%	18.57%	13.82%	17.79%	23.97%	21.93%	19.19%	20.00%	19.72%	16.33%	22.94%	20.83%	17.03%	18.53%	21.31%	15.91%	13.54%	12.60%	14.81%	18.00%	15.83%	20.97%	18.07%	20.92%	18.21%	16.17%	18.13%	17.63%	16.45%	16.65%	18.04%	15.52%	16.74%	18.78%	18.11%	18.10%	18.35%	16.49%	18.04%	15.94%	15.50%	17.82%	13.67%	19.04%	20.80%	12.83%	19.76%	22.10%	20.00%	17.88%	11.93%	20.71%	19.20%	16.25%	20.94%	20.10%	17.89%	19.83%	20.27%	18.14%	14.94%	17.76%	14.53%	18.54%	15.30%	17.33%	20.79%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4260	21	91	10	115	101	38	39	278	5	91	22	87	7	117	8	45	40	74	95	30	105	72	61	5	28	19	66	33	19	22	70	33	52	47	40	52	88	67	32	51	51	42	59	55	13	40	97	60	90	63	34	49	16	44	37	81	68	46	93	36	73	32	34	41	24	35	106	74	91	81	96	25	20	14	10	72	15	43	24					
		4.33%	5.04%	7.30%	1.09%	8.21%	8.69%	5.71%	2.68%	18.18%	1.83%	5.77%	1.49%	5.26%	0.71%	6.19%	0.72%	3.85%	3.17%	4.73%	5.64%	3.49%	5.28%	4.20%	3.88%	2.08%	1.86%	4.00%	5.94%	2.11%	1.49%	2.54%	3.90%	2.52%	4.22%	4.83%	3.95%	4.18%	4.55%	4.03%	3.60%	4.66%	4.19%	3.18%	4.97%	4.14%	2.79%	4.61%	5.72%	4.33%	5.33%	4.85%	2.87%	2.85%	2.19%	4.84%	8.43%	4.23%	3.44%	2.69%	5.18%	3.31%	4.28%	3.29%	1.73%	3.72%	2.90%	4.90%	5.86%	4.40%	5.48%	5.74%	5.48%	3.02%	2.25%	2.04%	2.17%	4.96%	1.38%	5.32%	2.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36321	189	367	798	483	409	233	542	87	176	529	894	559	676	640	700	416	395	479	557	294	651	609	470	99	568	155	346	589	525	383	602	425	451	285	331	393	677	556	320	393	408	539	383	506	197	305	522	486	592	471	378	639	270	324	176	687	649	813	620	367	638	396	1278	345	298	283	607	560	556	504	596	275	386	235	200	442	423	347	369					
		36.91%	45.32%	29.43%	87.02%	34.48%	35.20%	35.04%	37.30%	5.69%	64.47%	33.57%	60.49%	33.82%	68.49%	33.86%	63.23%	35.59%	31.35%	30.63%	33.10%	34.19%	32.75%	35.51%	29.86%	41.25%	37.79%	32.63%	31.12%	37.64%	41.08%	44.28%	33.52%	32.42%	36.61%	29.29%	32.68%	31.62%	35.02%	33.41%	36.04%	35.89%	33.55%	40.80%	32.29%	38.13%	42.27%	35.14%	30.80%	35.04%	35.05%	36.29%	31.87%	37.17%	37.04%	35.64%	40.09%	35.84%	32.84%	47.63%	34.50%	33.79%	37.42%	40.70%	64.87%	31.34%	35.99%	39.64%	33.54%	33.29%	33.49%	35.69%	34.04%	33.25%	43.37%	34.21%	43.38%	30.46%	38.99%	42.95%	40.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1506	2	22	0	23	13	1	10	594	2	15	2	15	5	36	2	9	7	12	15	9	23	9	16	3	16	2	15	7	8	8	20	5	7	5	4	12	32	18	5	13	13	14	17	6	4	8	34	18	25	23	23	19	6	11	2	16	15	16	14	8	10	8	13	9	9	4	28	21	12	16	12	9	7	5	1	9	7	7	5					
		1.53%	0.48%	1.76%	0.00%	1.64%	1.12%	0.15%	0.69%	38.85%	0.73%	0.95%	0.14%	0.91%	0.51%	1.90%	0.18%	0.77%	0.56%	0.77%	0.89%	1.05%	1.16%	0.52%	1.02%	1.25%	1.06%	0.42%	1.35%	0.45%	0.63%	0.92%	1.11%	0.38%	0.57%	0.51%	0.39%	0.97%	1.66%	1.08%	0.56%	1.19%	1.07%	1.06%	1.43%	0.45%	0.86%	0.92%	2.01%	1.30%	1.48%	1.77%	1.94%	1.11%	0.82%	1.21%	0.46%	0.83%	0.76%	0.94%	0.78%	0.74%	0.59%	0.82%	0.66%	0.82%	1.09%	0.56%	1.55%	1.25%	0.72%	1.13%	0.69%	1.09%	0.79%	0.73%	0.22%	0.62%	0.65%	0.87%	0.55%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
