Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Ладушкинская													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №25	УИК №26									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3220	2588	632									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2600	2000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1460	1178	282									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	68	41	27									
6	Число погашенных избирательных бюллетеней	1072	781	291									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	68	41	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1454	1177	277									
9	Число недействительных избирательных бюллетеней	43	35	8									
10	Число действительных избирательных бюллетеней	1479	1183	296									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	40	30	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	19	13	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	18	2									
14	Число погашенных неиспользованных открепительных удостоверений	21	17	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	21	7									
		1.84%	1.72%	2.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	43	34	9									
		2.83%	2.79%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	31	26	5									
		2.04%	2.13%	1.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	747	568	179									
		49.08%	46.63%	58.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	14	0									
		0.92%	1.15%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1	0									
		0.07%	0.08%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	238	199	39									
		15.64%	16.34%	12.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	9	1									
		0.66%	0.74%	0.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	33	28	5									
		2.17%	2.30%	1.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1	0									
		0.07%	0.08%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	16	5									
		1.38%	1.31%	1.64%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	191	154	37									
		12.55%	12.64%	12.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	22	20	2									
		1.45%	1.64%	0.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	99	92	7									
		6.50%	7.55%	2.30%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
