Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Нижнекамская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283					
1	"Число избирателей, внесенных в списки избирателей"	159148	1850	2634	2530	1651	1931	1918	1838	2170	1970	1823	2332	1599	707	623	1958	1958	2166	2242	2638	2390	2193	2328	2234	1781	1621	1647	1780	1833	2382	2305	2283	2150	1791	1335	1982	1740	2045	2015	2151	2140	1950	2039	2118	2335	2305	2105	2288	2434	2179	1740	1618	1325	309	1830	1693	2575	2515	2480	2486	2376	2080	2474	2504	2338	1311	2297	2042	2144	1902	1630	2009	1950	1358	1694	1657	1648	1962	1909	2474	2401					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	156755	1800	2600	2515	1635	1890	1950	1750	2165	1970	1810	2290	1575	750	600	1940	1980	2245	2235	2630	2365	2160	2275	2195	1740	1605	1655	1830	1810	2345	2325	2245	2120	1730	1325	1960	1715	2010	2030	2150	2210	1930	2040	2090	2225	2255	2100	2080	2375	2110	1720	1585	1310	310	1790	1685	2525	2485	2420	2375	2360	2060	2385	2345	2445	1220	2265	2020	2120	1880	1625	1915	1850	1355	1665	1635	1645	1805	1830	2435	2355					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	135163	1379	2197	2075	1379	1645	1615	1641	1595	1547	1391	1995	1390	2	501	1554	1512	1776	1951	1980	1823	1727	1881	1903	1592	1326	1429	1514	1579	2065	2145	2015	1869	1503	1193	1693	1460	1768	1700	1989	1987	1722	1780	1867	2074	1983	1938	1955	2000	1758	1446	1405	1113	63	1577	1570	2284	2234	2360	2307	2110	1914	2092	2328	2148	1201	2112	1824	1891	1514	1401	1576	1648	1096	1415	1429	1324	1715	1665	2139	1899					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3806	16	44	40	25	33	33	22	104	34	50	71	16	705	32	55	41	100	71	83	132	62	33	51	39	53	47	30	30	28	39	46	28	30	8	32	12	50	41	41	48	18	40	38	29	36	41	48	59	23	22	33	21	246	28	39	27	13	18	15	28	42	101	12	28	14	15	14	21	28	19	9	15	15	18	22	17	90	25	14	10					
6	Число погашенных избирательных бюллетеней	17786	405	359	400	231	212	302	87	466	389	369	224	169	43	67	331	427	369	213	567	410	371	361	241	109	226	179	286	201	252	141	184	223	197	124	235	243	192	289	120	175	190	220	185	122	236	121	77	316	329	252	147	176	1	185	76	214	238	42	53	222	104	192	5	269	5	138	182	208	338	205	330	187	244	232	184	304	0	140	282	446					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3806	16	44	40	25	33	33	22	104	34	50	71	16	705	32	55	41	100	71	83	132	62	33	51	39	53	47	30	30	28	39	46	28	30	8	32	12	50	41	41	48	18	40	38	29	36	41	48	59	23	22	33	21	246	28	39	27	13	18	15	28	42	101	12	28	14	15	14	21	28	19	9	15	15	18	22	17	90	25	14	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	135149	1378	2197	2075	1379	1645	1615	1641	1592	1547	1391	1995	1390	2	500	1554	1512	1776	1951	1980	1823	1725	1881	1903	1592	1326	1429	1514	1579	2065	2145	2015	1869	1503	1193	1693	1460	1768	1700	1989	1987	1722	1780	1867	2074	1981	1938	1955	2000	1758	1446	1405	1113	63	1577	1570	2284	2234	2360	2307	2110	1914	2092	2328	2145	1201	2112	1824	1891	1514	1401	1576	1648	1096	1415	1429	1324	1715	1665	2139	1897					
9	Число недействительных избирательных бюллетеней	2452	14	0	50	26	52	10	22	5	33	33	169	31	9	4	6	15	14	18	31	26	1	17	20	8	13	141	10	172	11	19	18	15	14	7	9	82	9	8	16	4	11	123	0	190	355	20	63	13	20	5	2	9	1	28	0	11	11	27	20	22	4	25	98	15	0	18	10	21	10	35	13	11	3	7	13	49	12	0	1	14					
10	Число действительных избирательных бюллетеней	136503	1380	2241	2065	1378	1626	1638	1641	1691	1548	1408	1897	1375	698	528	1603	1538	1862	2004	2032	1929	1786	1897	1934	1623	1366	1335	1534	1437	2082	2165	2043	1882	1519	1194	1716	1390	1809	1733	2014	2031	1729	1697	1905	1913	1662	1959	1940	2046	1761	1463	1436	1125	308	1577	1609	2300	2236	2351	2302	2116	1952	2168	2242	2158	1215	2109	1828	1891	1532	1385	1572	1652	1108	1426	1438	1292	1793	1690	2152	1893					
