Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Нижнекамская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270					
1	"Число избирателей, внесенных в список избирателей"	172683	2738	2495	2423	1890	1988	1972	2182	2043	1853	2371	1751	572	712	1948	1968	2302	2364	2683	2520	2158	2342	2578	2597	2562	1810	1989	2491	2565	2354	2353	2081	2158	2015	1873	2107	2134	2311	2258	1964	2116	2107	2335	2270	2401	2280	2386	2159	1859	1677	1337	166	1798	1707	2789	2812	2782	2710	2559	2865	2767	1974	1947	2500	1308	2603	2749	2703	1822	2438	1924	2047	2497	2305	1581	1638	2578	2071	1895	2215	2531					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	172720	2740	2500	2430	1890	2000	1880	2180	2040	1860	2360	1750	700	700	1950	1960	2290	2370	2680	2520	2160	2360	2570	2590	2570	1820	1990	2490	2570	2360	2350	2090	2120	2030	1870	2110	2120	2320	2250	1960	2120	2110	2340	2280	2400	2260	2390	2150	1850	1680	1340	300	1790	1710	2790	2820	2790	2710	2570	2850	2760	1980	1990	2490	1310	2600	2760	2700	1810	2410	1930	2040	2480	2310	1590	1640	2500	2020	1890	2230	2530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	127370	1930	1607	1600	1381	1316	1408	1481	1677	1394	1573	1216	572	539	1276	1575	1631	1705	1626	1524	1454	1576	1613	2021	1613	1452	1448	1916	2039	1697	1629	1670	1677	1465	1304	1727	1683	1622	1851	1711	1693	1852	1719	1536	2001	1588	1921	1867	1367	1298	1155	166	1325	1258	2003	2055	2180	2163	2209	2322	1846	1595	1407	1825	937	2054	2341	2016	1261	1938	1398	1488	1885	1604	1305	1081	1905	1260	1274	1473	1600					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2611	44	32	19	24	22	12	93	56	41	56	11	0	37	45	40	68	67	65	122	72	57	75	44	52	25	33	29	14	50	36	31	18	30	19	43	60	25	45	14	41	26	14	14	28	48	28	27	15	20	13	0	18	42	34	24	3	11	13	24	95	10	19	19	7	11	16	19	21	26	25	17	16	18	17	20	118	21	16	12	19					
6	Число погашенных избирательных бюллетеней	42739	766	861	811	485	662	460	606	307	425	731	523	128	124	629	345	591	598	989	874	634	727	882	525	905	343	509	545	517	613	685	389	425	535	547	340	377	673	354	235	386	232	607	730	371	624	441	256	468	362	172	134	447	410	753	741	607	536	348	504	819	375	564	646	366	535	403	665	528	446	507	535	579	688	268	539	477	739	600	745	911					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2611	44	32	19	24	22	12	93	56	41	56	11	0	37	45	40	68	67	65	122	72	57	75	44	52	25	33	29	14	50	36	31	18	30	19	43	60	25	45	14	41	26	14	14	28	48	28	27	15	20	13	0	18	42	34	24	3	11	13	24	95	10	19	19	7	11	16	19	21	26	25	17	16	18	17	20	118	21	16	12	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	127363	1930	1607	1600	1381	1316	1408	1481	1677	1394	1573	1216	572	539	1276	1575	1631	1705	1626	1524	1453	1576	1613	2021	1613	1452	1448	1916	2039	1697	1629	1670	1677	1465	1304	1727	1683	1622	1851	1711	1693	1852	1719	1536	2001	1587	1920	1867	1367	1298	1155	166	1325	1258	2003	2055	2180	2163	2209	2322	1846	1595	1405	1825	935	2054	2341	2016	1261	1938	1398	1488	1885	1604	1305	1081	1905	1260	1274	1473	1600					
9	Число недействительных избирательных бюллетеней	2321	9	2	32	16	10	34	11	23	20	25	38	62	6	31	30	35	11	50	40	39	29	53	40	136	2	13	13	197	29	18	20	24	0	3	5	13	138	30	13	23	7	49	0	2	41	33	264	21	14	2	3	44	20	24	0	3	44	35	4	36	12	17	35	19	25	19	0	19	10	2	34	34	6	18	0	29	8	21	14	30					
10	Число действительных избирательных бюллетеней	127653	1965	1637	1587	1389	1328	1386	1563	1710	1415	1604	1189	510	570	1290	1585	1664	1761	1641	1606	1486	1604	1635	2025	1529	1475	1468	1932	1856	1718	1647	1681	1671	1495	1320	1765	1730	1509	1866	1712	1711	1871	1684	1550	2027	1594	1915	1630	1361	1304	1166	163	1299	1280	2013	2079	2180	2130	2187	2342	1905	1593	1407	1809	923	2040	2338	2035	1263	1954	1421	1471	1867	1616	1304	1101	1994	1273	1269	1471	1589					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1785	25	20	20	15	25	25	25	25	15	20	20	0	10	20	20	25	25	30	25	30	30	25	20	20	20	20	25	25	25	25	20	20	20	20	20	20	25	30	20	25	25	25	25	25	20	25	25	15	15	15	0	15	15	25	25	25	30	30	30	30	30	30	25	25	25	25	25	15	20	20	20	20	20	25	20	30	30	15	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	818	10	9	12	2	10	9	20	8	11	6	6	0	2	9	4	10	3	11	16	19	18	12	9	13	9	6	19	17	12	8	16	9	2	13	13	9	12	7	7	15	14	18	9	15	8	8	4	5	11	3	0	5	4	11	9	9	17	12	10	5	13	16	4	6	5	16	10	5	7	12	17	11	18	20	13	17	11	6	15	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	292	4	3	1	1	5	26	0	3	2	4	4	1	3	4	2	3	0	8	7	5	7	2	8	1	8	2	1	6	0	4	5	20	1	0	2	2	2	2	0	0	0	7	2	3	2	4	1	2	3	0	0	7	0	4	5	4	1	2	3	4	0	2	5	6	7	0	3	5	6	1	6	7	6	1	2	5	5	5	0	7					
14	Число погашенных неиспользованных открепительных удостоверений	967	15	11	8	13	15	16	5	17	4	14	14	0	8	11	16	15	22	19	9	11	12	13	11	7	11	14	6	8	13	17	4	11	18	7	7	11	13	23	13	10	11	7	16	10	12	17	21	10	4	12	0	10	11	14	16	16	13	18	20	25	17	14	21	19	20	9	15	10	13	8	3	9	2	5	7	13	19	9	10	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	1	4	1	1	1	4	0	2	1	2	1	0	0	2	5	1	1	1	0	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	2	2	0	2	1	0	0	1	1	1	0	2	0	0	0	2	2	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12548	252	211	213	193	151	104	163	256	181	187	62	36	40	141	144	76	217	210	122	163	76	245	228	225	117	122	137	127	199	146	93	186	129	181	114	10	230	200	147	118	56	231	132	406	270	123	88	72	97	100	8	205	191	214	211	129	357	169	230	102	87	89	179	132	250	309	208	176	89	68	84	172	235	120	93	259	67	187	101	100					
		9.65%	12.77%	12.87%	13.16%	13.74%	11.29%	7.32%	10.36%	14.77%	12.61%	11.48%	5.05%	6.29%	6.94%	10.67%	8.92%	4.47%	12.25%	12.42%	7.41%	10.69%	4.65%	14.51%	11.04%	13.51%	7.92%	8.24%	7.04%	6.19%	11.39%	8.77%	5.47%	10.97%	8.63%	13.68%	6.44%	0.57%	13.96%	10.55%	8.52%	6.81%	2.98%	13.33%	8.52%	20.01%	16.51%	6.31%	4.65%	5.21%	7.36%	8.56%	4.82%	15.26%	14.69%	10.51%	10.15%	5.91%	16.42%	7.61%	9.80%	5.26%	5.42%	6.25%	9.71%	14.01%	12.11%	13.11%	10.22%	13.73%	4.53%	4.78%	5.58%	9.05%	14.49%	9.08%	8.45%	12.80%	5.23%	14.50%	6.80%	6.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6178	186	16	192	136	148	41	15	51	81	188	49	23	0	97	72	82	71	213	69	134	84	168	106	131	75	83	76	58	25	61	115	12	93	20	2	13	98	82	77	17	93	186	103	4	168	11	57	153	8	3	2	92	138	39	39	88	43	174	0	16	33	24	84	114	217	35	207	167	4	73	21	39	20	71	8	10	104	167	58	45					
		4.75%	9.42%	0.98%	11.86%	9.68%	11.06%	2.89%	0.95%	2.94%	5.64%	11.54%	3.99%	4.02%	0.00%	7.34%	4.46%	4.83%	4.01%	12.60%	4.19%	8.79%	5.14%	9.95%	5.13%	7.87%	5.08%	5.60%	3.91%	2.83%	1.43%	3.66%	6.76%	0.71%	6.22%	1.51%	0.11%	0.75%	5.95%	4.32%	4.46%	0.98%	4.95%	10.73%	6.65%	0.20%	10.28%	0.56%	3.01%	11.07%	0.61%	0.26%	1.20%	6.85%	10.62%	1.91%	1.88%	4.03%	1.98%	7.83%	0.00%	0.82%	2.06%	1.69%	4.56%	12.10%	10.51%	1.48%	10.17%	13.03%	0.20%	5.13%	1.40%	2.05%	1.23%	5.37%	0.73%	0.49%	8.12%	12.95%	3.91%	2.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	998	43	5	16	6	13	18	9	10	8	9	3	3	0	6	13	12	13	19	14	76	18	16	14	13	8	22	9	8	24	11	15	10	5	5	2	11	18	45	4	18	13	16	0	2	17	3	16	17	10	3	1	6	21	10	21	7	14	19	0	6	8	12	24	5	19	21	14	14	2	0	13	7	5	13	0	14	14	17	7	15					
		0.77%	2.18%	0.31%	0.99%	0.43%	0.97%	1.27%	0.57%	0.58%	0.56%	0.55%	0.24%	0.52%	0.00%	0.45%	0.80%	0.71%	0.73%	1.12%	0.85%	4.98%	1.10%	0.95%	0.68%	0.78%	0.54%	1.49%	0.46%	0.39%	1.37%	0.66%	0.88%	0.59%	0.33%	0.38%	0.11%	0.63%	1.09%	2.37%	0.23%	1.04%	0.69%	0.92%	0.00%	0.10%	1.04%	0.15%	0.84%	1.23%	0.76%	0.26%	0.60%	0.45%	1.62%	0.49%	1.01%	0.32%	0.64%	0.86%	0.00%	0.31%	0.50%	0.84%	1.30%	0.53%	0.92%	0.89%	0.69%	1.09%	0.10%	0.00%	0.86%	0.37%	0.31%	0.98%	0.00%	0.69%	1.09%	1.32%	0.47%	0.93%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	24182	494	492	414	229	352	167	269	181	97	399	119	58	126	206	193	386	328	537	338	283	294	418	339	241	145	173	196	200	463	257	240	211	214	335	405	457	291	155	300	435	280	426	226	193	512	414	249	163	210	238	13	378	337	307	415	522	271	296	470	436	322	271	352	194	493	403	417	376	625	260	355	310	392	225	270	159	235	364	118	248					
		18.61%	25.03%	30.02%	25.57%	16.30%	26.31%	11.76%	17.09%	10.44%	6.76%	24.49%	9.70%	10.14%	21.88%	15.59%	11.95%	22.72%	18.51%	31.76%	20.53%	18.56%	18.00%	24.76%	16.42%	14.47%	9.82%	11.68%	10.08%	9.74%	26.50%	15.44%	14.11%	12.45%	14.31%	25.32%	22.88%	26.22%	17.67%	8.18%	17.39%	25.09%	14.91%	24.58%	14.58%	9.51%	31.31%	21.25%	13.15%	11.79%	15.93%	20.38%	7.83%	28.15%	25.92%	15.07%	19.96%	23.91%	12.47%	13.32%	20.03%	22.46%	20.06%	19.03%	19.09%	20.59%	23.87%	17.10%	20.49%	29.33%	31.82%	18.27%	23.59%	16.31%	24.17%	17.02%	24.52%	7.86%	18.35%	28.22%	7.95%	15.32%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1615	34	14	24	25	15	8	10	7	11	26	6	4	0	26	12	18	23	35	33	86	32	38	13	27	24	22	26	20	33	15	15	26	10	5	1	6	49	37	7	16	37	37	25	2	33	7	39	16	5	3	0	16	38	21	28	7	7	29	0	5	6	16	26	32	58	10	27	41	1	8	20	9	9	27	2	50	14	49	4	12					
