Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Новосергиевская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, внесенных в списки избирателей"	27068	2445	2058	1495	1334	1607	1227	380	41	71	546	100	614	113	79	219	340	709	115	768	194	124	860	47	34	716	290	882	595	789	863	195	80	203	462	224	70	48	114	517	110	86	431	980	53	135	191	261	653	91	180	582	265	54	407	391	201	429					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26118	2310	1968	1395	1314	1500	1154	350	41	65	548	95	614	113	79	211	329	690	107	763	183	121	836	46	31	685	282	868	588	779	827	182	73	183	464	224	63	46	107	492	99	84	435	957	53	132	195	261	634	92	178	547	249	54	399	391	201	431					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19991	1634	1170	753	779	893	818	350	41	65	484	88	489	107	76	199	282	690	105	667	155	105	616	30	31	685	194	540	471	457	647	140	69	181	369	196	53	46	102	483	99	84	309	662	52	127	187	254	622	87	170	457	211	49	379	380	201	401					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	897	77	77	54	81	84	21	0	0	0	0	0	54	0	0	0	0	0	0	3	0	0	0	1	0	0	42	31	16	57	43	10	0	0	12	0	3	0	0	0	0	0	49	97	0	0	0	0	0	0	0	52	15	0	18	0	0	0					
6	Число погашенных избирательных бюллетеней	5230	599	721	588	454	523	315	0	0	0	64	7	71	6	3	12	47	0	2	93	28	16	220	15	0	0	46	297	101	265	137	32	4	2	83	28	7	0	5	9	0	0	77	198	1	5	8	7	12	5	8	38	23	5	2	11	0	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	897	77	77	54	81	84	21	0	0	0	0	0	54	0	0	0	0	0	0	3	0	0	0	1	0	0	42	31	16	57	43	10	0	0	12	0	3	0	0	0	0	0	49	97	0	0	0	0	0	0	0	52	15	0	18	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19991	1634	1170	753	779	893	818	350	41	65	484	88	489	107	76	199	282	690	105	667	155	105	616	30	31	685	194	540	471	457	647	140	69	181	369	196	53	46	102	483	99	84	309	662	52	127	187	254	622	87	170	457	211	49	379	380	201	401					
9	Число недействительных избирательных бюллетеней	139	0	14	3	3	2	6	3	0	0	6	1	6	1	0	0	1	10	0	2	6	0	1	0	0	2	0	9	1	3	7	1	0	2	4	1	1	0	3	1	0	0	16	4	3	0	0	0	0	4	2	0	5	0	0	1	2	2					
10	Число действительных избирательных бюллетеней	20749	1711	1233	804	857	975	833	347	41	65	478	87	537	106	76	199	281	680	105	668	149	105	615	31	31	683	236	562	486	511	683	149	69	179	377	195	55	46	99	482	99	84	342	755	49	127	187	254	622	83	168	509	221	49	397	379	199	399					
