Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Корочанская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30553	1558	1307	1685	1050	1638	299	689	281	545	248	300	1738	1504	402	703	366	335	578	488	433	831	308	1444	1217	865	563	204	303	506	1221	1187	1185	292	690	258	494	242	595	215	222	1364	200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28380	1400	1250	1600	1000	1600	250	600	250	500	200	250	1600	1400	390	650	300	300	500	400	400	800	250	1400	1100	800	520	200	300	500	1150	1150	1150	270	650	250	450	200	550	200	200	1250	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18345	802	735	970	544	972	213	435	193	367	147	205	922	817	340	444	212	223	335	298	247	509	185	736	1026	678	426	139	223	341	682	704	723	146	296	132	303	108	387	147	149	766	118									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3739	110	42	155	124	151	28	151	57	62	39	30	98	148	36	104	41	45	102	97	90	74	39	309	50	16	84	32	32	110	68	71	128	110	159	63	82	86	77	53	51	271	64									
6	Число погашенных избирательных бюллетеней	6296	488	473	475	332	477	9	14	0	71	14	15	580	435	14	102	47	32	63	5	63	217	26	355	24	106	10	29	45	49	400	375	299	14	195	55	65	6	86	0	0	213	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3739	110	42	155	124	151	28	151	57	62	39	30	98	148	36	104	41	45	102	97	90	74	39	309	50	16	84	32	32	110	68	71	128	110	159	63	82	86	77	53	51	271	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18345	802	735	970	544	972	213	435	193	367	147	205	922	817	340	444	212	223	335	298	247	509	185	736	1026	678	426	139	223	341	682	704	723	146	296	132	303	108	387	147	149	766	118									
9	Число недействительных избирательных бюллетеней	360	19	12	30	14	27	5	6	1	4	4	4	19	8	4	11	6	1	9	0	10	4	2	7	14	14	10	4	5	6	22	25	7	1	6	6	2	4	10	0	1	13	3									
10	Число действительных избирательных бюллетеней	21724	893	765	1095	654	1096	236	580	249	425	182	231	1001	957	372	537	247	267	428	395	327	579	222	1038	1062	680	500	167	250	445	728	750	844	255	449	189	383	190	454	200	199	1024	179									
