Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Агидельская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в списки избирателей"	13265	2014	2777	2226	1673	2047	2528					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12620	1910	2670	2160	1612	1876	2392					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8201	1284	1694	1375	1102	1260	1486					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	110	20	22	21	13	16	18					
6	Число погашенных избирательных бюллетеней	4309	606	954	764	497	600	888					
7	Число избирательных бюллетеней в переносных ящиках для голосования	110	20	22	21	13	16	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8200	1284	1693	1375	1102	1260	1486					
9	Число недействительных избирательных бюллетеней	59	8	13	9	5	17	7					
10	Число действительных избирательных бюллетеней	8251	1296	1702	1387	1110	1259	1497					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	831	147	137	142	113	99	193					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	734	127	124	142	103	83	155					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	101	16	15	16	13	13	28					
14	Число погашенных неиспользованных открепительных удостоверений	97	20	13	0	10	16	38					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	104	11	21	17	16	12	27					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	119	21	30	20	20	9	19					
		1.43%	1.61%	1.75%	1.43%	1.79%	0.71%	1.26%					
19	2.Всероссийская политическая партия «Гражданская Сила»	44	8	4	7	10	9	6					
		0.53%	0.61%	0.23%	0.50%	0.90%	0.71%	0.40%					
20	3.Политическая партия «Демократическая партия России»	10	1	3	2	1	2	1					
		0.12%	0.08%	0.17%	0.14%	0.09%	0.16%	0.07%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1026	162	207	194	146	142	175					
		12.35%	12.42%	12.07%	13.90%	13.09%	11.13%	11.64%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	38	7	5	5	4	11	6					
		0.46%	0.54%	0.29%	0.36%	0.36%	0.86%	0.40%					
23	6.Политическая партия «Партия социальной справедливости»	15	1	5	3	2	1	3					
		0.18%	0.08%	0.29%	0.21%	0.18%	0.08%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	481	91	101	83	42	88	76					
		5.79%	6.98%	5.89%	5.95%	3.77%	6.90%	5.05%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	876	127	197	130	136	128	158					
		10.54%	9.74%	11.49%	9.31%	12.20%	10.03%	10.51%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	39	5	9	6	4	11	4					
		0.47%	0.38%	0.52%	0.43%	0.36%	0.86%	0.27%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5581	869	1138	933	742	852	1047					
		67.16%	66.64%	66.36%	66.83%	66.55%	66.77%	69.61%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	22	4	3	4	3	6	2					
		0.26%	0.31%	0.17%	0.29%	0.27%	0.47%	0.13%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
