Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Усть-Лабинская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №5601	УИК №5602	УИК №5603	УИК №5604	УИК №5605	УИК №5606	УИК №5607	УИК №5608	УИК №5609	УИК №5610	УИК №5611	УИК №5612	УИК №5613	УИК №5614	УИК №5615	УИК №5616	УИК №5617	УИК №5618	УИК №5619	УИК №5620	УИК №5621	УИК №5622	УИК №5623	УИК №5624	УИК №5625	УИК №5626	УИК №5627	УИК №5628	УИК №5629	УИК №5630	УИК №5631	УИК №5632	УИК №5633	УИК №5634	УИК №5635	УИК №5636	УИК №5637	УИК №5638	УИК №5639	УИК №5640	УИК №5641	УИК №5642	УИК №5643	УИК №5644	УИК №5645	УИК №5646	УИК №5647	УИК №5648	УИК №5649	УИК №5650	УИК №5651	УИК №5652	УИК №5653	УИК №5654	УИК №5655	УИК №5656	УИК №5657	УИК №5658	УИК №5659					
1	"Число избирателей, внесенных в список"	83064	1255	2700	2482	2144	1851	1188	1345	1914	1448	1284	2307	1416	1043	2300	1100	2318	1432	2278	1736	366	1143	1797	312	636	310	1249	415	415	369	1066	539	1160	1564	1300	843	2219	2159	2128	1246	224	386	1455	1794	2506	2212	1720	2458	1463	1020	1432	2080	299	566	1350	1357	278	1642	2096	1949					
2	Число полученных избирательных бюллетеней	81400	1100	2600	2400	2000	1800	1100	1300	1900	1400	1200	2200	1400	1000	2200	1000	2000	1300	2000	1700	370	1100	1800	300	600	300	1200	400	400	300	1000	550	1100	1500	1300	800	2200	2100	2200	1300	230	380	2000	1800	2550	2600	1700	2500	1650	1000	1400	2000	300	600	1300	1300	270	1600	2000	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47443	607	1315	1199	1140	916	642	609	885	656	681	1027	793	546	1203	508	1220	719	1095	945	366	558	1129	205	460	175	710	270	350	250	743	506	758	855	818	483	1129	1173	1082	798	164	307	1352	1028	1680	1484	896	1205	1122	732	815	1216	188	329	1106	834	165	1112	1177	1007					
5	"Число избирательных бюллетеней, выданных вне помещения"	3456	40	61	28	85	44	35	67	62	27	50	42	33	49	63	72	57	34	62	34	0	19	153	41	2	37	75	22	0	50	21	0	13	99	48	38	45	83	60	107	28	4	103	118	95	57	136	78	27	113	90	126	36	51	82	82	62	143	153	14					
6	Число погашенных избирательных бюллетеней	30501	453	1224	1173	775	840	423	624	953	717	469	1131	574	405	934	420	723	547	843	721	4	523	518	54	138	88	415	108	50	0	236	44	329	546	434	279	1026	844	1058	395	38	69	545	654	775	1059	668	1217	501	155	495	658	76	220	112	384	43	345	670	779					
7	Число избирательных бюллетеней в переносных ящиках	3456	40	61	28	85	44	35	67	62	27	50	42	33	49	63	72	57	34	62	34	0	19	153	41	2	37	75	22	0	50	21	0	13	99	48	38	45	83	60	107	28	4	103	118	95	57	136	78	27	113	90	126	36	51	82	82	62	143	153	14					
8	Число бюллетеней в стационарных ящиках для голосования	47442	607	1315	1199	1140	916	642	609	885	656	681	1027	793	546	1203	508	1220	719	1095	945	366	558	1129	205	460	175	710	270	350	250	743	506	758	855	818	483	1129	1173	1082	798	164	307	1352	1028	1680	1484	895	1205	1122	732	815	1216	188	329	1106	834	165	1112	1177	1007					
9	Число недействительных избирательных бюллетеней	434	6	11	6	7	5	5	6	7	7	6	6	4	4	11	2	8	2	7	1	0	8	4	2	0	0	2	0	0	2	3	1	3	5	8	7	13	2	3	30	0	2	14	14	9	7	9	5	15	75	11	12	1	1	4	5	0	17	18	11					
10	Число действительных избирательных бюллетеней	50464	641	1365	1221	1218	955	672	670	940	676	725	1063	822	591	1255	578	1269	751	1150	978	366	569	1278	244	462	212	783	292	350	298	761	505	768	949	858	514	1161	1254	1139	875	192	309	1441	1132	1766	1534	1022	1278	1134	770	894	1330	223	379	1184	911	227	1238	1312	1010					
