Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №820	УИК №821	УИК №827	УИК №828	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №879	УИК №880	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №910	УИК №914	УИК №915	УИК №916	УИК №917	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №936	УИК №937	УИК №938					
1	"Число избирателей, внесенных в список"	111154	1142	1661	1483	1469	1632	2263	2395	2230	2361	1833	2628	2667	1927	2273	1665	1776	1691	1240	1238	1504	2639	2493	2285	1788	1934	1488	1343	2627	1971	1744	1587	1970	1539	1371	2900	2701	2231	1218	2354	2388	2206	2610	1513	2083	1266	1336	2340	935	2532	1770	2231	2075	2423	1895	874	667	2786	1557	45	191	170					
2	Число полученных избирательных бюллетеней	99500	1000	1500	1300	1300	1500	2000	2200	2000	2100	1600	2400	2400	1700	2000	1500	1600	1500	1100	1100	1300	2400	2200	2000	1600	1700	1300	1200	2400	1800	1500	1400	1800	1400	1200	2600	2400	2000	1100	2100	2200	2000	2300	1400	1900	1100	1200	2100	850	2300	1600	2000	1800	2200	1700	800	520	2500	1400	50	210	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59298	653	873	747	720	949	1370	1159	1096	1318	962	1312	1456	1028	1247	867	919	946	689	661	823	1483	1394	1305	831	958	663	721	1363	1070	937	880	1044	790	701	1407	1518	1244	578	1318	1291	1237	1346	833	1097	678	731	1203	442	1395	921	1314	1037	1266	1008	425	356	1615	848	36	128	91					
5	"Число избирательных бюллетеней, выданных вне помещения"	1501	26	19	13	20	5	21	54	60	24	34	37	14	27	22	26	23	20	18	28	25	29	20	25	26	15	25	12	33	30	11	20	32	33	30	16	15	2	25	13	17	24	6	21	20	12	6	36	35	17	7	12	16	14	7	39	154	12	12	0	51	55					
6	Число погашенных избирательных бюллетеней	38701	321	608	540	560	546	609	987	844	758	604	1051	930	645	731	607	658	534	393	411	452	888	786	670	743	727	612	467	1004	700	552	500	724	577	469	1177	867	754	497	769	892	739	948	546	783	410	463	861	373	888	672	674	747	920	685	336	10	873	540	14	31	24					
7	Число избирательных бюллетеней в переносных ящиках	1501	26	19	13	20	5	21	54	60	24	34	37	14	27	22	26	23	20	18	28	25	29	20	25	26	15	25	12	33	30	11	20	32	33	30	16	15	2	25	13	17	24	6	21	20	12	6	36	35	17	7	12	16	14	7	39	154	12	12	0	51	55					
8	Число бюллетеней в стационарных ящиках для голосования	59273	653	873	747	720	949	1370	1159	1096	1318	962	1312	1456	1028	1247	867	919	946	689	661	823	1479	1394	1302	831	958	663	721	1360	1070	937	880	1044	787	700	1407	1517	1244	578	1318	1290	1233	1346	833	1097	678	731	1203	441	1395	921	1314	1035	1266	1008	425	356	1613	848	36	128	91					
9	Число недействительных избирательных бюллетеней	453	7	6	2	0	2	8	9	11	7	12	10	14	10	11	11	4	9	6	8	3	13	10	7	3	9	2	10	16	6	8	9	13	5	7	11	7	9	0	7	12	11	9	10	10	2	4	11	1	16	7	15	11	5	7	2	3	8	5	1	1	0					
10	Число действительных избирательных бюллетеней	60321	672	886	758	740	952	1383	1204	1145	1335	984	1339	1456	1045	1258	882	938	957	701	681	845	1495	1404	1320	854	964	686	723	1377	1094	940	891	1063	815	723	1412	1525	1237	603	1324	1295	1246	1343	844	1107	688	733	1228	475	1396	921	1311	1040	1275	1008	462	507	1617	855	35	178	146					
