Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    район Кузьминки																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82549	2594	2512	1461	2265	2369	2189	1491	1850	2387	1870	2391	1598	2352	1758	2600	2583	2405	2523	2549	2531	2504	2435	2548	1711	1890	2251	2484	2414	1715	1430	2564	2647	2486	1491	1962	1646	2036	2057									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67300	2100	2050	1250	1850	1950	1750	1200	1500	1950	1550	1950	1300	1900	1450	2100	2100	1950	2050	2100	2050	2050	2000	2050	1400	1550	1800	2000	1950	1400	1150	2100	2150	2050	1250	1600	1350	1650	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25370	802	851	425	633	684	648	466	581	714	617	704	507	712	505	865	757	694	786	743	785	867	733	775	623	596	684	804	660	519	463	859	840	631	414	650	508	614	651									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1046	46	31	8	27	40	41	16	28	48	28	42	6	19	20	37	51	33	35	28	47	22	32	23	8	20	15	28	22	12	14	27	24	22	14	27	21	40	44									
6	Число погашенных избирательных бюллетеней	40884	1252	1168	817	1190	1226	1061	718	891	1188	905	1204	787	1169	925	1198	1292	1223	1229	1329	1218	1161	1235	1252	769	934	1101	1168	1268	869	673	1214	1286	1397	822	923	821	996	1005									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1045	46	31	8	27	40	41	16	28	48	28	42	6	19	20	37	51	33	35	28	47	22	32	23	8	20	15	28	22	12	14	27	24	21	14	27	21	40	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25322	802	851	425	633	684	648	466	580	714	617	704	507	712	502	864	755	694	784	738	784	867	731	775	623	596	684	804	660	518	463	859	840	629	414	623	508	613	651									
9	Число недействительных избирательных бюллетеней	493	13	14	8	12	12	8	11	13	21	16	18	8	11	12	15	11	18	16	24	13	11	14	8	11	15	13	16	13	8	9	16	10	12	6	18	7	19	13									
10	Число действительных избирательных бюллетеней	25874	835	868	425	648	712	681	471	595	741	629	728	505	720	510	886	795	709	803	742	818	878	749	790	620	601	686	816	669	522	468	870	854	638	422	632	522	634	682									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	762	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	454	13	15	7	8	17	8	13	10	15	17	9	9	10	8	15	10	20	14	20	4	18	17	13	12	6	14	13	7	9	11	11	8	16	11	15	10	11	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	463	12	11	6	13	15	12	12	11	13	15	15	5	28	12	15	11	14	28	9	4	12	4	8	11	1	26	17	10	16	11	8	16	13	5	20	7	9	8									
14	Число погашенных неиспользованных открепительных удостоверений	308	7	5	13	12	3	12	7	10	5	3	11	11	10	12	5	10	2	6	0	16	2	3	7	8	14	6	7	13	11	9	9	12	4	9	5	10	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	1	3	0	0	4	0	2	0	0	4	0	1	0	1	0	2	1	5	1	2	2	2	2	0	2	0	0	1	1	0	2	1	0	1	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	829	22	34	7	22	11	14	18	23	22	13	18	22	24	18	28	20	33	27	22	30	17	34	26	26	22	27	26	22	20	9	31	23	20	8	26	23	27	14									
		3.14%	2.59%	3.85%	1.62%	3.33%	1.52%	2.03%	3.73%	3.78%	2.89%	2.02%	2.41%	4.29%	3.28%	3.45%	3.11%	2.48%	4.54%	3.30%	2.87%	3.61%	1.91%	4.46%	3.26%	4.12%	3.57%	3.86%	3.13%	3.23%	3.77%	1.89%	3.50%	2.66%	3.08%	1.87%	4.00%	4.35%	4.13%	2.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	529	19	9	9	11	11	8	10	15	12	16	14	16	10	15	21	16	11	11	13	14	14	18	21	14	15	21	12	14	15	12	17	29	12	9	10	7	15	13									
		2.01%	2.24%	1.02%	2.08%	1.67%	1.52%	1.16%	2.07%	2.47%	1.57%	2.48%	1.88%	3.12%	1.37%	2.87%	2.33%	1.99%	1.51%	1.34%	1.70%	1.68%	1.57%	2.36%	2.63%	2.22%	2.44%	3.00%	1.44%	2.05%	2.83%	2.52%	1.92%	3.36%	1.85%	2.10%	1.54%	1.32%	2.30%	1.87%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	848	29	27	16	18	29	17	17	19	23	22	30	16	21	17	30	34	22	31	23	26	28	23	26	16	22	18	39	21	15	11	29	30	14	23	21	13	15	17									
		3.22%	3.42%	3.06%	3.70%	2.73%	4.01%	2.47%	3.53%	3.13%	3.02%	3.41%	4.02%	3.12%	2.87%	3.26%	3.33%	4.22%	3.03%	3.79%	3.00%	3.13%	3.15%	3.01%	3.26%	2.54%	3.57%	2.58%	4.69%	3.08%	2.83%	2.31%	3.27%	3.47%	2.15%	5.37%	3.23%	2.46%	2.30%	2.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10060	298	345	154	280	266	241	182	258	297	222	280	176	306	188	293	290	276	300	317	327	361	304	325	205	261	266	309	256	221	163	296	356	266	161	233	212	273	296									
		38.15%	35.14%	39.12%	35.57%	42.42%	36.74%	34.98%	37.76%	42.43%	38.98%	34.42%	37.53%	34.31%	41.86%	36.02%	32.52%	35.98%	37.96%	36.63%	41.38%	39.35%	40.61%	39.84%	40.73%	32.49%	42.37%	38.05%	37.14%	37.54%	41.70%	34.17%	33.41%	41.20%	40.92%	37.62%	35.85%	40.08%	41.81%	42.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	396	16	9	5	9	12	12	4	7	15	12	9	10	17	7	20	9	11	11	8	17	13	9	13	15	4	7	10	12	8	5	12	9	3	6	3	13	16	18									
		1.50%	1.89%	1.02%	1.15%	1.36%	1.66%	1.74%	0.83%	1.15%	1.97%	1.86%	1.21%	1.95%	2.33%	1.34%	2.22%	1.12%	1.51%	1.34%	1.04%	2.05%	1.46%	1.18%	1.63%	2.38%	0.65%	1.00%	1.20%	1.76%	1.51%	1.05%	1.35%	1.04%	0.46%	1.40%	0.46%	2.46%	2.45%	2.59%									
24	"6. Политическая партия ""Гражданская Платформа"""	88	3	3	1	4	1	3	0	3	2	3	1	1	2	3	2	4	1	4	1	0	3	2	5	2	3	3	2	5	0	2	8	3	4	2	1	0	1	0									
