Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Оленинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779					
1	"Число избирателей, внесенных в список"	11352	303	199	120	391	139	147	146	219	160	373	202	246	209	829	1680	213	134	97	144	233	297	109	329	215	2011	2207					
2	Число полученных избирательных бюллетеней	11472	300	204	123	385	144	153	147	219	162	360	208	245	221	838	1703	210	131	99	141	240	301	117	325	218	2045	2233					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5928	170	98	62	230	60	100	70	150	80	166	128	117	92	409	947	136	71	50	88	144	161	57	198	116	996	1032					
5	"Число избирательных бюллетеней, выданных вне помещения"	1964	73	61	28	93	54	14	37	38	48	129	35	104	50	208	269	63	42	31	41	47	47	39	63	62	138	150					
6	Число погашенных избирательных бюллетеней	3580	57	45	33	62	30	39	40	31	34	65	45	24	79	221	487	11	18	18	12	49	93	21	64	40	911	1051					
7	Число избирательных бюллетеней в переносных ящиках	1964	73	61	28	93	54	14	37	38	48	129	35	104	50	208	269	63	42	31	41	47	47	39	63	62	138	150					
8	Число бюллетеней в стационарных ящиках для голосования	5928	170	98	62	230	60	100	70	150	80	166	128	117	92	409	947	136	71	50	88	144	161	57	198	116	996	1032					
9	Число недействительных избирательных бюллетеней	17	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	1	0	0	0	9					
10	Число действительных избирательных бюллетеней	7875	243	159	90	322	114	114	107	188	128	295	162	221	142	616	1215	199	113	81	129	189	207	95	261	178	1134	1173					
11	Число полученных открепительных  удостоверений	365	10	10	10	10	10	10	10	10	10	10	10	10	15	20	35	10	10	10	10	10	10	10	10	10	45	40					
12	Число выданных открепительных удостоверений	183	5	10	8	3	8	1	1	0	1	0	8	0	15	7	30	1	1	0	0	10	4	5	6	3	41	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	1	1	2	6	2	0	1	1	1	6	5	0	3	2	3	1	1	0	0	1	3	0	2	0	16	8					
14	Число неиспользованных открепительных удостоверений	182	5	0	2	7	2	9	9	10	9	10	2	10	0	13	5	9	9	10	10	0	6	5	4	7	4	25					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	0	0	1	0	0	0	1	3	0	0	4	0	0	1	0	0	0	1	0	0	0	2	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	160	2	1	0	8	0	0	3	1	2	5	2	1	2	7	26	1	0	3	2	3	0	0	3	3	34	51					
		2.03%	0.82%	0.63%	0.00%	2.48%	0.00%	0.00%	2.80%	0.53%	1.56%	1.69%	1.23%	0.45%	1.41%	1.13%	2.14%	0.50%	0.00%	3.70%	1.55%	1.57%	0.00%	0.00%	1.15%	1.69%	3.00%	4.31%					
19	. Малышкин Олег Александрович	168	8	1	1	4	6	2	19	3	2	5	1	4	5	5	25	7	5	1	2	1	1	0	8	2	30	20					
		2.13%	3.29%	0.63%	1.11%	1.24%	5.26%	1.75%	17.76%	1.60%	1.56%	1.69%	0.61%	1.81%	3.52%	0.81%	2.06%	3.52%	4.42%	1.23%	1.55%	0.52%	0.48%	0.00%	3.07%	1.12%	2.65%	1.69%					
20	. Миронов Сергей Михайлович	61	3	2	0	3	1	0	0	0	1	4	1	2	2	3	11	0	0	0	2	0	0	1	2	3	7	13					
