Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Закаменская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18934	210	373	1064	453	326	164	169	539	196	408	493	322	176	390	711	305	473	522	173	702	710	241	594	900	1147	1748	1372	1318	919	488	620	708									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18785	210	370	1070	450	335	165	165	545	185	410	485	325	175	395	740	300	475	525	175	690	730	230	605	920	1120	1760	1335	1230	815	505	635	710									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1310	93	202	226	56	55	10	21	43	0	91	0	75	10	85	0	40	43	122	8	44	80	0	6	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8097	98	124	330	306	232	138	97	264	176	252	299	122	103	219	259	185	251	221	153	260	446	197	298	344	371	517	339	429	248	175	359	285									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1138	10	32	62	21	26	3	12	39	5	18	33	10	13	18	52	29	86	112	5	50	82	21	84	24	7	30	67	50	59	24	28	26									
6	Число погашенных избирательных бюллетеней	8240	9	12	452	67	22	14	35	199	4	49	153	118	49	73	429	46	95	70	9	336	122	12	217	552	742	1213	929	751	508	306	248	399									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2448	103	234	288	77	81	13	33	82	5	109	33	85	23	103	52	69	129	234	13	94	162	21	90	24	7	30	67	50	59	24	28	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8097	98	124	330	306	232	138	97	264	176	252	299	122	103	219	259	185	251	221	153	260	446	197	298	344	371	517	339	429	248	175	359	285									
9	Число недействительных избирательных бюллетеней	153	0	2	8	2	0	1	2	1	0	0	7	3	2	1	6	1	0	0	9	11	0	10	9	12	11	9	11	13	7	3	8	4									
10	Число действительных избирательных бюллетеней	10392	201	356	610	381	313	150	128	345	181	361	325	204	124	321	305	253	380	455	157	343	608	208	379	356	367	538	395	466	300	196	379	307									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	410	10	10	20	10	10	5	5	15	5	10	15	10	5	10	15	10	10	10	5	20	20	10	15	15	20	20	20	20	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	410	10	10	20	10	10	5	5	15	5	10	15	10	5	10	15	10	10	10	5	20	20	10	15	15	20	20	20	20	15	15	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	254	3	1	7	2	5	3	6	4	3	4	7	2	6	3	5	5	10	13	7	11	6	3	3	10	31	5	15	45	10	10	5	4									
