Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Новичихинская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149					
1	"Число избирателей, внесенных в списки избирателей"	8860	1046	2680	609	363	87	57	116	376	109	360	713	736	873	113	492	130					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8580	1000	2500	600	360	85	55	110	380	110	350	700	750	850	110	490	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5906	616	1653	438	233	70	50	89	270	84	280	511	480	587	89	353	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	432	62	68	34	34	2	4	3	18	7	19	28	40	63	8	30	12					
6	Число погашенных избирательных бюллетеней	2242	322	779	128	93	13	1	18	92	19	51	161	230	200	13	107	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	432	62	68	34	34	2	4	3	18	7	19	28	40	63	8	30	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5906	616	1653	438	233	70	50	89	270	84	280	511	480	587	89	353	103					
9	Число недействительных избирательных бюллетеней	49	4	4	3	3	0	0	0	2	0	10	3	11	2	0	5	2					
10	Число действительных избирательных бюллетеней	6289	674	1717	469	264	72	54	92	286	91	289	536	509	648	97	378	113					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	94	5	23	5	5	5	5	2	5	5	2	5	8	4	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	51	4	15	1	5	2	1	0	2	5	0	5	8	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	30	0	9	1	4	0	0	1	2	1	1	1	3	4	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	43	1	8	4	0	3	4	2	3	0	2	0	0	2	5	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	341	22	72	32	22	2	8	7	17	1	22	26	26	32	8	36	8					
		5.38%	3.24%	4.18%	6.78%	8.24%	2.78%	14.81%	7.61%	5.90%	1.10%	7.36%	4.82%	5.00%	4.92%	8.25%	9.40%	6.96%					
