Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Славянская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК №4261	УИК №4262	УИК №4263	УИК №4264	УИК №4299									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97020	2388	1559	1564	1293	2920	2244	2690	2623	1639	2230	2635	2492	1540	2254	1507	2654	1316	1165	2629	1925	2969	2704	1190	2490	1897	1286	2607	240	1140	1931	198	1821	708	366	1520	1396	752	829	1192	459	2019	1861	1756	1756	1741	811	320	2946	945	861	2177	957	1110	1221	1249	1118	1235	1046	594	273	395	428	491	498	250									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97657	2400	1550	1560	1300	2930	2207	2700	2650	1650	2230	2650	2515	1503	2260	1500	2546	1310	1150	2630	1935	2970	2720	1170	2580	1850	1339	2615	243	1150	1960	195	1860	729	373	1550	1455	720	870	1200	460	2020	1860	1765	1755	1720	820	330	2980	939	876	2215	952	1120	1230	1380	1130	1298	1050	617	302	452	430	492	489	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41519	821	456	482	488	780	705	843	766	509	722	965	887	667	794	518	998	475	379	906	566	885	850	337	1033	1046	607	974	202	652	1058	120	1084	427	266	1060	1034	415	499	557	85	1096	1164	1204	1222	1105	521	133	1328	360	316	715	555	791	639	562	519	429	633	175	135	203	227	258	295	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	8433	200	149	148	162	230	180	194	220	136	163	151	109	132	118	92	110	127	135	127	164	150	296	175	226	200	84	205	14	68	142	20	148	63	44	90	119	88	67	63	109	210	95	133	64	130	78	70	284	78	95	151	147	128	152	106	55	232	101	188	70	45	84	44	50	225									
6	Число погашенных избирательных бюллетеней	47705	1379	945	930	650	1920	1322	1663	1664	1005	1345	1534	1519	704	1348	890	1438	708	636	1597	1205	1935	1574	658	1321	604	648	1436	27	430	760	55	628	239	63	400	302	217	304	580	266	714	601	428	469	485	221	127	1368	501	465	1349	250	201	439	712	556	637	316	254	97	204	119	190	144	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	8425	200	149	148	162	230	180	194	220	136	163	151	109	132	118	92	110	127	135	127	164	150	296	175	226	200	84	205	14	68	135	20	148	63	44	90	119	87	67	63	109	210	95	133	64	130	78	70	284	78	95	151	147	128	152	106	55	232	101	188	70	45	84	44	50	225									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41492	821	456	482	488	780	705	843	766	508	722	965	887	667	794	518	998	475	379	906	566	885	850	337	1033	1046	607	974	202	652	1043	120	1084	427	266	1060	1034	415	499	557	85	1090	1164	1204	1222	1105	521	133	1328	360	314	715	555	788	639	562	519	429	633	175	135	203	227	258	295	16									
9	Число недействительных избирательных бюллетеней	803	38	6	10	12	26	24	21	4	14	23	20	35	11	15	10	27	16	14	23	10	19	19	10	24	6	14	29	7	0	15	0	3	1	2	1	14	6	5	0	0	27	0	20	18	4	5	2	21	11	12	28	13	9	8	21	8	16	4	7	1	1	4	5	18	6									
10	Число действительных избирательных бюллетеней	49114	983	599	620	638	984	861	1016	982	630	862	1096	961	788	897	600	1081	586	500	1010	720	1016	1127	502	1235	1240	677	1150	209	720	1163	140	1229	489	308	1149	1139	496	561	620	194	1273	1259	1317	1268	1231	594	201	1591	427	397	838	689	907	783	647	566	645	730	356	204	247	307	297	327	235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1260	32	15	30	35	25	20	27	30	45	28	30	36	15	25	14	30	15	15	32	20	20	25	15	20	10	20	10	5	9	55	5	30	10	5	20	15	10	10	10	5	10	10	10	10	10	10	5	30	10	15	40	10	10	10	10	10	50	50	30	25	50	7	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1125	24	15	30	35	25	19	23	28	29	25	30	36	15	25	12	26	13	10	32	20	20	24	5	20	10	20	10	0	9	50	2	30	10	5	20	15	4	5	10	5	3	10	8	5	8	4	5	28	10	11	40	3	10	10	10	10	50	50	26	17	50	7	3	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	518	18	6	7	12	15	18	4	15	19	10	20	8	48	28	4	15	12	5	17	5	12	7	25	0	4	9	0	4	2	9	9	4	2	1	9	9	5	1	7	1	6	2	5	5	3	3	4	0	13	5	7	10	4	5	5	3	3	0	10	1	3	6	3	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	135	8	0	0	0	0	1	4	2	16	3	0	0	0	0	2	4	2	5	0	0	0	1	10	0	0	0	0	5	0	5	3	0	0	0	0	0	6	5	0	0	7	0	2	5	2	6	0	2	0	4	0	7	0	0	0	0	0	0	4	8	0	0	2	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	124	4	1	3	3	5	0	3	10	5	4	11	1	0	6	6	9	1	2	3	1	4	3	5	1	0	0	1	0	5	7	0	1	0	0	1	4	5	1	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	608	14	9	13	10	18	24	17	11	8	21	22	23	18	20	6	23	10	10	22	11	15	30	9	19	18	10	14	2	7	23	0	3	6	0	8	10	5	7	0	3	5	0	3	10	5	3	4	5	4	5	7	2	7	1	11	6	5	5	1	0	1	9	3	6	1									
